,trigram,chi-sq
67,"('librivox', 'recording', 'be')",8315810.253779656
68,"('the', 'Sports', 'Club')",8303108.549995626
69,"('the', 'Eighth', 'Color')",8303047.008836901
70,"('great', 'huge', 'bear')",8268825.8531207815
71,"('Wive', ""'"", 'tale')",8121128.699386866
72,"('sooner', 'or', 'later')",6894678.758029835
73,"('college', 'of', 'Sages')",6703512.5206138
74,"('the', 'Widow', 'Hullins')",6653081.4002283
75,"('St', 'Paul', ""'s"")",6413093.4098622985
76,"('Pig', 'little', 'Pig')",6181808.1557450425
77,"('said', 'mrs', 'Baine')",6087007.781624803
78,"('Asaph', ""'s"", 'road')",6050472.050269644
79,"('the', 'Gy', 'ei')",5877056.159428802
80,"('by', 'mutual', 'consent')",5807677.524236187
81,"('on', 'Christmas', 'Eve')",5762087.299349959
82,"('central', 'and', 'Suburban')",5685628.380153591
83,"('I', 's', ""'pose"")",5437096.173720276
84,"('the', 'Agony', 'column')",5266855.298112087
85,"('twenty', 'four', 'hour')",4978307.273757921
86,"('beg', 'you', 'pardon')",4886246.7880650675
87,"('at', 'any', 'rate')",4854205.44604518
88,"('five', 'bar', 'gate')",4625743.855601443
89,"('to', 'volunteer', 'please')",4367238.551923235
90,"('of', '15', 'lb')",4328445.715487299
91,"('the', 'Ambermere', 'Arm')",4324508.496421421
92,"('chin', 'chin', 'then')",4233000.200160107
93,"('half', 'past', 'eleven')",4224781.536764613
94,"('', 'can', 'not')",4186409.9572413294
95,"('the', 'public', 'domain')",4136891.7220196933
96,"('secretary', 'and', 'Steward')",4080048.3882635646
97,"('the', 'grand', 'Babylon')",3739192.6929786364
98,"('of', 'Reginald', 'Dimmock')",3669383.6064130976
99,"('thirty', 'five', 'pound')",3650630.7174496274
100,"('in', 'South', 'Africa')",3517854.227101143
101,"('mister', 'Theodore', 'Racksole')",3451855.209812387
102,"('into', 'warp', 'drive')",3374853.4357312606
103,"('fifteen', 'year', 'ago')",3109626.6821253644
104,"('faster', 'than', 'light')",3058601.027805826
105,"('the', 'mantel', 'shelf')",2859259.390180785
106,"('Master', 'Bloomfield', ""'s"")",2816103.358862639
107,"('Aribert', 'of', 'Posen')",2702122.1297493307
108,"('chest', 'of', 'drawer')",2652575.4346736474
109,"('once', 'or', 'twice')",2607574.3749676575
110,"('', 'ai', 'not')",2606094.0651810216
111,"('the', 'Vril', 'yum')",2592473.106338428
112,"('to', 'Scotland', 'Yard')",2510188.9732000455
113,"('admit', 'mister', 'Carlyle')",2461499.4861610695
114,"('Olga', 'Bracely', 'and')",2442683.273373479
115,"('domain', 'for', 'more')",2418521.4634136744
116,"('five', 'hundred', 'pound')",2380315.9221014185
117,"('eight', 'o', ""'"")",2342466.9248314644
118,"('said', 'mrs', 'Dallas')",2285629.7522118273
119,"('half', 'past', 'nine')",2246940.3962953268
120,"(""'"", 'Captain', 'Arcoll')",2197582.47976532
121,"('more', 'information', 'or')",2171176.881256948
122,"('-', 'in', '-')",2156901.6614398966
123,"('the', 'five', 'towns')",2070551.9823879318
124,"('clench', 'his', 'fist')",2060038.1148189716
125,"('five', 'pound', 'note')",2042491.2685508714
126,"('M.', 'Pelet', ""'s"")",2030912.054790764
127,"('age', 'of', 'Fable')",2002398.3999327177
128,"('six', 'week', 'ago')",1975074.3148625144
129,"('of', 'cosmic', 'dust')",1959446.3033300475
130,"('I', 'don', '’t')",1944017.052855039
131,"('mrs', 'Maldon', ""'s"")",1929920.6311098787
132,"('say', 'Ronicky', 'Doone')",1864554.1928696039
133,"('seven', 'year', 'ago')",1777608.6355423867
134,"('I', 'didn', ""'t"")",1769899.7280676155
135,"('shrugge', 'his', 'shoulder')",1752040.721754398
136,"('Milton', 'allude', 'to')",1748129.9587922925
137,"('cup', 'and', 'saucer')",1726854.5509910006
138,"('Arthur', ""'s"", 'court')",1722274.4234222574
139,"('bread', 'and', 'butter')",1705794.8773964206
140,"('eleven', 'o', ""'"")",1701281.4018299289
141,"('the', 'chocolate', 'remedy')",1701039.8618643358
142,"('say', 'Sir', 'Launcelot')",1696901.8857838581
143,"('say', 'miss', 'Terry')",1618995.6497055194
144,"('the', 'dry', '-town')",1614968.0383313862
145,"('the', 'Deputy', 'Mayor')",1605652.6047575786
146,"('I', ""'"", 'll')",1578247.1383622636
147,"('the', 'observation', 'Lounge')",1538801.285508849
148,"('a', 'Angel', 'Kiss')",1536845.7847411158
149,"('the', 'orphan', 'asylum')",1522948.3052623163
150,"('a', 'Orphan', 'asylum')",1507435.160899167
151,"('Uncle', 'Sam', ""'s"")",1471509.4314906977
152,"('Miss', 'Katherine', 'Trent')",1450106.7234995116
153,"('say', 'Bill', 'Gregg')",1446512.6825350814
154,"('Sangree', ""'s"", 'tent')",1441865.9557035768
155,"('the', 'Staffordshire', 'signal')",1441490.7364511567
156,"('agency', 'of', 'vril')",1409741.9799014204
157,"('half', 'past', 'eight')",1364452.8438235146
158,"('of', 'North', 'Wales')",1339489.637105165
159,"('Fraser', 'Freer', 'of')",1302536.3864187098
160,"('the', 'ghost', 'Wind')",1262299.3713122183
161,"('stubbornly', 'refuse', 'to')",1259103.1542643297
162,"('ten', 'minute', 'later')",1243741.1310491487
163,"('do', 'not', 'know')",1240191.3587474024
164,"('Fraser', 'Freer', 'be')",1239597.5305712882
165,"('five', 'minute', 'later')",1232990.6001453614
166,"('Vril', 'ya', 'be')",1195037.039241421
167,"('Rupert', 'Steele', 'I')",1179628.3688645458
168,"('Mary', 'Ann', ""'s"")",1162082.2957548753
169,"('mrs', 'Quantock', ""'s"")",1159589.2468172065
170,"('Bronte', 'CHAPTER', 'I')",1134952.3762006494
171,"('Scotland', 'Yard', 'and')",1125629.0216277807
172,"('Eugen', 'of', 'Posen')",1084292.709518403
173,"('the', 'Christmas', 'Angel')",1065128.5400265697
174,"('of', 'Captain', 'Fraser')",1052238.1442523848
175,"('the', 'taxi', 'driver')",1010226.6943278072
176,"('middle', 'age', 'man')",1008002.069113802
177,"('knife', 'and', 'fork')",1006117.7207537248
178,"('of', 'Prester', 'John')",1004606.1199774771
179,"('', 'will', 'not')",1003282.0107754795
180,"('the', 'British', 'Museum')",1002130.3715895144
181,"('the', 'training', 'tape')",941630.502915432
182,"('God', ""'s"", 'sake')",939312.3433595884
183,"('a', 'Mentorian', 'interpreter')",933290.1190446258
184,"('of', 'Mdlle', 'Reuter')",930612.6476146922
185,"('on', 'either', 'side')",928135.4205212841
186,"('the', 'daily', 'Mail')",917032.4176462634
187,"('the', 'grand', 'Duke')",913279.130178508
188,"('thousand', 'year', 'ago')",908892.5484050993
189,"('Raynor', 'three', 'say')",890945.3773472932
190,"('we', ""'"", 'll')",876180.786854171
191,"('dunno', 'say', 'Ronicky')",870742.1008340325
192,"('strip', 'of', 'beach')",869436.3857798149
193,"('ten', 'year', 'ago')",866729.3238045451
194,"('about', 'nine', 'o')",857731.7226277591
195,"('dining', 'room', 'where')",855119.1260401526
196,"('for', 'more', 'information')",853587.0550421553
197,"('Prince', 'Aribert', 'of')",836960.1881582905
198,"('ask', 'Bill', 'Gregg')",820520.9524333383
199,"('five', 'or', 'six')",819572.3412728356
200,"('say', 'Theodore', 'Racksole')",814716.2468536919
201,"('South', 'Africa', 'be')",814454.171377556
202,"('inch', 'by', 'inch')",811324.8017564798
203,"('shake', 'his', 'head')",811271.8203902068
204,"('I', 'beg', 'pardon')",801656.0667887587
205,"('drawing', 'room', 'door')",801110.1771184204
206,"('the', 'post', 'mortem')",787748.2122232254
207,"('seven', 'o', ""'"")",787481.1827269119
208,"('few', 'minute', 'later')",778082.8834479905
209,"('', 'Ai', 'not')",775049.7313136583
210,"('lady', ""'s"", 'maid')",768392.3653275756
211,"('six', 'o', ""'"")",762649.2221794918
212,"('nine', 'o', ""'"")",759420.7282815236
213,"('the', 'Five', 'town')",739499.219683078
214,"('more', 'or', 'less')",738669.9005248315
215,"('a', 'great', 'deal')",736184.9534239563
216,"('said', 'mrs', 'Maldon')",732781.4469455505
217,"('Felix', 'Babylon', 'have')",732551.5846804606
218,"('then', 'Sir', 'Launcelot')",723634.0092401655
219,"('three', 'year', 'ago')",720957.7548282403
220,"('of', 'St', 'Paul')",716133.3876634066
221,"('year', 'younger', 'than')",703868.9251363361
222,"('mister', 'Povey', ""'s"")",702570.7468233679
223,"('Uncle', 'Sam', 'I')",695071.3721355861
224,"('I', '', 'do')",693219.3658622192
225,"('more', 'closely', 'together')",692208.875885614
226,"('', 'shan', 'not')",684944.9320882226
227,"('Theodore', 'Racksole', ""'"")",684653.785578621
228,"('you', ""'"", 'll')",664810.2844624311
229,"('Miss', 'Webb', 'say')",654751.5762522123
230,"('half', 'past', 'ten')",647251.5503169987
231,"('Crimsworth', ""'s"", 'mill')",646302.9640921297
232,"('five', 'year', 'ago')",642898.5490296435
233,"('pay', 'much', 'attention')",642750.8158792473
234,"('M.', 'Pelet', 'and')",629955.7408137701
235,"('the', 'dining', 'room')",622158.6360928023
236,"('the', 'spaceport', 'cafe')",617753.5101340506
237,"('to', 'Prince', 'Aribert')",617551.3089229976
238,"('Uncle', 'Sam', 'and')",617361.0363987543
239,"('ten', 'o', ""'"")",615963.9737423786
240,"('Uncle', 'Sam', 'be')",612011.3468934107
241,"('the', 'Terran', 'Empire')",611365.2056342923
242,"('by', '-the', 'by')",590715.6854433549
243,"('of', 'M.', 'Pelet')",588882.3978498561
244,"('and', 'buck', 'Daniels')",584173.1095242238
245,"('say', 'Jack', 'Ryder')",583032.8417168901
246,"('Miss', 'Spencer', ""'s"")",576594.2399256399
247,"('say', 'good', 'bye')",563812.7008018286
248,"('the', 'Flanton', 'dog')",560292.2079429494
249,"('shook', 'his', 'head')",550510.0603969375
250,"('clergyman', ""'s"", 'daughter')",546359.1055017457
251,"('Miss', 'Katherine', 'say')",541536.6021002296
252,"('of', 'Prince', 'Eugen')",540745.4897191175
253,"('Ronicky', 'Doone', 'see')",539223.9380509678
254,"('shoe', 'and', 'stocking')",537413.1149854375
255,"('Caroline', 'Smith', 'and')",537124.4056329657
256,"('the', 'Toad', 'God')",532600.5083575015
257,"('brother', 'in', '-')",531139.2734979982
258,"('Miss', 'Katherine', ""'s"")",528752.6393457599
259,"('a', 'considerable', 'portion')",527987.5763699138
260,"('a', 'Homburg', 'hat')",525106.0511756835
261,"('for', 'Mary', 'Ann')",522150.03858423425
262,"('Scudder', ""'s"", 'note')",521473.61399659776
263,"('letter', 'of', 'introduction')",515290.5109928434
264,"('King', 'Arthur', ""'s"")",514235.1055897325
265,"('two', 'year', 'ago')",508825.9761813372
266,"('the', 'Empty', 'house')",507877.50847983384
267,"(""'"", 'll', 'huff')",506927.1080064439
268,"('mister', 'Holroyd', ""'s"")",500711.03002756624
269,"('a', 'dry', '-towner')",492582.79469128256
270,"('a', 'good', 'deal')",490595.6490336061
271,"('the', 'Italian', 'poet')",486216.7380111684
272,"('shower', 'of', 'rain')",484300.9984073244
273,"('year', 'older', 'than')",482003.7221179611
274,"('about', 'ten', 'o')",481973.5900242912
275,"('atom', 'of', 'oxygen')",480834.96293186344
276,"('girl', 'from', 'Texas')",479148.90473747824
277,"('as', 'soon', 'as')",478559.09028613515
278,"('you', 'don', ""'t"")",478468.70897414366
279,"('Laputa', 'and', 'Henriques')",477779.8588436581
280,"('of', 'Ronicky', 'Doone')",475761.9532682304
281,"('cup', 'of', 'tea')",467565.64927100355
282,"('five', 'o', ""'"")",462613.0848937823
283,"('I', 'won', ""'t"")",462365.6016759266
284,"('say', 'mrs', 'Baine')",458527.0342356992
285,"('half', 'a', 'dozen')",445776.48833259114
286,"('', 'Will', 'not')",444897.2135342941
287,"('Prince', 'Eugen', 'of')",441325.1345879118
288,"('say', 'Sir', 'James')",439942.4602667337
289,"('Mary', 'Ann', 'be')",435903.5999104696
290,"('or', 'to', 'volunteer')",435588.3198352635
291,"('', 'be', 'not')",434182.0356416586
292,"('a', 'few', 'minute')",427965.2136658457
293,"('now', 'Miss', 'Grey')",427769.53925360274
294,"('Ronicky', 'Doone', 'I')",422177.9272755067
295,"(""'"", 'll', 'bet')",420397.4135745515
296,"('gust', 'of', 'wind')",418305.680349938
297,"('daughter', 'in', '-')",414596.8223063148
298,"('that', 'Ronicky', 'Doone')",413951.7177366288
299,"('the', 'Polaris', 'run')",409684.2392715639
300,"('from', 'Bill', 'Gregg')",408309.2783328988
301,"('Ronicky', 'Doone', 'that')",402270.4390898346
302,"('', 'have', 'not')",399462.1203059218
303,"('Ronicky', 'Doone', 'and')",396776.25653711264
304,"('towards', 'each', 'other')",396663.6890469161
305,"('effect', 'produce', 'by')",395861.8940958129
306,"('Sir', 'Launcelot', 'then')",395371.79549654387
307,"('the', 'engine', 'driver')",395252.63697118114
308,"('Ronicky', 'Doone', 'be')",395169.64298567356
309,"('to', 'Ronicky', 'Doone')",390632.8741237408
310,"('Miss', 'Grey', ""'"")",389264.18567532086
311,"('six', 'or', 'seven')",388601.672662887
312,"('cup', 'of', 'coffee')",387241.7557659485
313,"('Grey', 'Molly', 'be')",387099.59004190867
314,"('and', 'Ronicky', 'Doone')",385975.1574853353
315,"('be', 'Ronicky', 'Doone')",385936.7739464589
316,"('two', 'or', 'three')",383267.8495315924
317,"('little', 'Pig', 'let')",381330.4455169399
318,"('mrs', 'Maldon', 'have')",380115.4080992968
319,"('', 'shall', 'not')",379491.9637241429
320,"('', 'need', 'not')",373277.52326453914
321,"('dining', 'room', 'door')",371417.18291997415
322,"('', 'must', 'not')",371092.53707491397
323,"('under', 'such', 'circumstance')",366266.5509883565
324,"('', 'dare', 'not')",365498.56685360434
325,"('', 'ought', 'not')",363261.5559969835
326,"(""'"", 'll', 'tell')",362789.11676494026
327,"('nine', 'year', 'old')",359076.2190906894
328,"('Mary', 'Ann', 'to')",357748.3205136746
329,"('Wee', 'bear', 'and')",356801.7338311057
330,"('well', 'Miss', 'Grey')",351381.14465660474
331,"('of', 'Grey', 'Molly')",350354.0539998712
332,"('mystery', 'and', 'romance')",349092.1223043908
333,"(""'"", 'Miss', 'Spencer')",349033.9571212117
334,"('shake', 'her', 'head')",347989.6241518571
335,"('can', 'not', 'help')",346335.78653118596
336,"('three', 'or', 'four')",343922.3231944247
337,"('the', 'dry', '-towner')",343692.47302896075
338,"('length', 'and', 'breadth')",343329.47287540237
339,"('Theodore', 'Racksole', 'have')",335870.90902422764
340,"(""'I"", ""'"", 'll')",335140.542659476
341,"('there', 'be', 'no')",334258.02761969465
342,"('the', 'drawing', 'room')",330060.43242349324
343,"('moment', ""'s"", 'hesitation')",325691.3546532608
344,"('half', 'a', 'hour')",323817.5563205617
345,"('grand', 'Babylon', 'be')",323152.9978974999
346,"('mrs', 'Codleyn', ""'s"")",321794.17296391877
347,"('Bill', 'Gregg', 'in')",318659.86510248855
348,"('bread', 'and', 'milk')",316052.18312633166
349,"('do', 'not', 'want')",313388.3335361943
350,"('Bill', 'Gregg', 'have')",311295.2249184861
351,"('knelt', 'beside', 'he')",309977.13877985906
352,"('higher', 'and', 'higher')",309409.9816804961
353,"('of', 'Bill', 'Gregg')",307065.57375513506
354,"('Bill', 'Gregg', 'he')",304220.6464899079
355,"('I', 'won', '’t')",302382.20126367104
356,"('side', 'by', 'side')",298047.1234460075
357,"('their', 'eyes', 'met')",297004.2758953222
358,"('miss', 'Spencer', ""'s"")",296564.215468774
359,"(""'"", 'll', 'puff')",295307.21407710953
360,"('visit', 'librivox.org', 'the')",292762.5711813893
361,"('mister', 'Atkinson', ""'s"")",291150.400209141
362,"('mister', 'Carlyle', ""'s"")",290602.0863552815
363,"('mrs', 'Baine', ""'s"")",281895.40651098225
364,"('say', 'little', 'Pig')",281134.65349709167
365,"('the', 'warp', 'drive')",278594.4212810543
366,"('and', 'Mary', 'Ann')",275474.92904015596
367,"('her', 'garden', 'party')",274287.1033830394
368,"('catch', 'a', 'glimpse')",273884.98320264305
369,"('larger', 'and', 'larger')",273597.0166135533
370,"('the', 'town', 'Hall')",272871.9090639077
371,"('of', 'mrs', 'Maldon')",272802.9925290404
372,"('twelve', 'o', ""'"")",271751.87317211117
373,"('and', 'Colonel', 'Hughes')",270874.05460942123
374,"('about', 'half', 'past')",269989.6772156328
375,"('sun', ""'s"", 'ray')",268268.66684577893
376,"('rang', 'the', 'bell')",267440.3958566067
377,"('against', 'each', 'other')",266140.3491682256
378,"('got', 'rid', 'of')",265917.51303778513
379,"('CHAPTER', 'I', 'X')",264845.0144516091
380,"('at', 'right', 'angle')",263850.7213519543
381,"('Sir', 'Walter', 'have')",262906.1807429919
382,"('matter', 'of', 'fact')",262389.0708321687
383,"('considerable', 'portion', 'of')",261094.22883600026
384,"('hour', 'have', 'elapse')",259093.05599643118
385,"('miss', 'Terry', ""'s"")",258715.63408065203
386,"('papa', 'and', 'mamma')",258495.72497456634
387,"('half', 'a', 'doze')",257647.6194766623
388,"('but', 'Miss', 'Katherine')",257283.72213759736
389,"('Miss', 'Katherine', 'know')",255700.5001053893
390,"('Miss', 'Katherine', '')",255690.14858047763
391,"('bell', 'of', 'St')",255270.51925073916
392,"('say', 'mrs', 'Maldon')",254406.4771613644
393,"('mrs', 'Maldon', 'say')",254100.980359871
394,"('picture', 'to', 'yourselve')",251784.08378338697
395,"('at', 'half', 'past')",249046.292547011
396,"('do', 'not', 'care')",246755.76854183036
397,"(""'"", 'll', 'never')",246512.33658950016
398,"('mrs', 'Maldon', 'with')",243860.92688448567
399,"('little', 'Pig', 'little')",243728.96059330323
400,"('mrs', 'Maldon', 'be')",241247.14857684277
401,"('four', 'o', ""'"")",239162.14136783368
402,"('about', 'six', 'o')",237906.66429158012
403,"('Sir', 'Launcelot', 'that')",236884.67127699876
404,"(""'"", 'll', 'get')",234572.3184108919
405,"('pay', 'no', 'attention')",233606.83465592712
406,"('pound', 'a', 'week')",232766.13704237936
407,"('for', 'mrs', 'Maldon')",231399.28460141236
408,"('nearer', 'and', 'nearer')",231358.40696506598
409,"('Sir', 'Launcelot', 'and')",227421.71849628002
410,"('and', 'Sir', 'Launcelot')",227420.07912779122
411,"('a', 'hundred', 'yard')",227032.34722764973
412,"('her', 'gray', 'eyes')",226294.9253004541
413,"('God', 'and', 'hero')",225608.58631521012
414,"('with', 'mrs', 'Maldon')",225540.4966400115
415,"(""'"", 'll', 'take')",225165.48709253583
416,"('the', 'Lhari', 'ship')",224743.09766875772
417,"(""'"", 'll', 'find')",223386.8361843322
418,"('that', 'mrs', 'Maldon')",222940.59066599014
419,"('do', 'not', 'dare')",220884.40072886285
420,"('mrs', 'Maldon', 'that')",220664.18362959797
421,"('mrs', 'Maldon', 'in')",220655.02770084696
422,"('get', 'rid', 'of')",220185.3655529862
423,"('to', 'mrs', 'Maldon')",219918.96779113341
424,"('mrs', 'Maldon', 'and')",219143.56530333732
425,"('and', 'mrs', 'Maldon')",219065.57345069482
426,"('of', 'King', 'Arthur')",218736.87379499545
427,"('do', 'not', 'believe')",216127.73395908615
428,"('do', 'not', 'understand')",214920.75738877844
429,"('in', 'spite', 'of')",214620.0545297111
430,"('the', 'front', 'door')",210668.03981356855
431,"('do', 'not', 'think')",210468.12652432398
432,"('I', '', 'can')",210402.4829594161
433,"('shilling', 'a', 'week')",210311.8215984338
434,"('Miss', 'Katherine', 'have')",210189.08403264446
435,"('four', 'year', 'old')",208902.19626321745
436,"('why', '', 'do')",206825.32930372853
437,"(""'"", 'll', 'pay')",206159.27858539406
438,"('a', 'split', 'second')",206156.72806040032
439,"(""'"", 'll', 'thank')",205926.80602011865
440,"('to', 'Inspector', 'Bray')",204378.44209489122
441,"(""'"", 'll', 'show')",203822.46899391685
442,"('as', 'well', 'as')",202802.26182130227
443,"('Sir', 'Launcelot', 'of')",201657.34655439024
444,"('be', 'Sir', 'Launcelot')",201483.49595193163
445,"(""'"", 'll', 'go')",200713.68261333453
446,"('they', ""'"", 'll')",199562.1082152793
447,"('the', 'dressing', 'table')",195436.2605882792
448,"(""'"", 'yes', 'sir')",195183.5091322086
449,"('the', 'Procyon', 'system')",194200.8698247745
450,"('can', 'scarcely', 'believe')",194156.7753743953
451,"('mister', 'Turnbull', ""'s"")",193746.50747185227
452,"(""'"", 'll', 'blow')",193185.98726813027
453,"('the', 'black', 'domino')",190920.40368708744
454,"('o', ""'er"", 'the')",190409.791770569
455,"('warp', 'drive', 'and')",188796.3104131379
456,"('say', 'mrs', 'Quantock')",187721.0100809233
457,"('few', 'day', 'later')",185577.4262315161
458,"(""'"", 'll', 'have')",185283.91330989872
459,"(""'"", 'll', 'see')",184920.00549182578
460,"('the', 'space', 'Academy')",184691.86990253034
461,"('the', 'high', 'veld')",184308.66592401333
462,"('backward', 'and', 'forward')",184213.9732453595
463,"(""'I"", '', 'do')",183929.03673669483
464,"(""'"", 'll', 'try')",183726.4389941142
465,"('state', 'of', 'agitation')",183519.61256260631
466,"('so', 'far', 'as')",182949.69406633725
467,"(""'"", 'll', 'need')",182523.5199438322
468,"('Constance', 'and', 'Sophia')",180769.14900359238
469,"(""'"", 'll', 'come')",180453.51376286682
470,"('seem', 'to', 'me')",179401.53524277566
471,"(""'"", 'll', 'be')",178442.72738925094
472,"('my', 'father', ""'s"")",178315.01932313925
473,"('flash', 'of', 'lightning')",178163.4340071999
474,"('at', 'eight', 'o')",177678.16554845957
475,"(""'"", 'll', 'stay')",176778.93380970103
476,"('as', 'Bart', 'Steele')",176355.5551147253
477,"('Miss', 'Bray', ""'s"")",174701.14894735
478,"('at', 'full', 'speed')",174694.55506595696
479,"(""'"", 'll', 'do')",174670.70696274005
480,"('do', 'not', 'approve')",174405.92898048268
481,"(""'"", 'll', 'die')",174373.76566941367
482,"('the', 'counting', 'house')",173819.87082039844
483,"(""'"", 'll', 'send')",172983.48889980756
484,"('say', 'mister', 'Povey')",172959.4265759824
485,"('true', 'statement', 'of')",172906.81228445674
486,"('King', 'Arthur', 'and')",172162.57996906483
487,"('a', 'motor', 'car')",172075.7960985341
488,"('for', 'Miss', 'Katherine')",171386.57400136636
489,"(""'"", 'll', 'make')",171341.35328790822
490,"('do', 'not', 'belong')",170415.74066846914
491,"('the', 'window', 'sill')",170357.74532189092
492,"('shook', 'hand', 'with')",170340.76080191214
493,"('great', 'deal', 'of')",170281.64353221346
494,"('there', 'be', 'someth')",169225.0581925922
495,"('be', 'Mary', 'Cary')",168663.78161411767
496,"('vain', 'attempt', 'to')",168323.56603385016
497,"('at', 'each', 'other')",168119.3846648478
498,"('than', 'anything', 'else')",167838.6120699949
499,"('this', 'little', 'pig')",167568.51542830482
500,"('yes', 'sir', ""'"")",167464.6222241853
501,"(""'"", 'll', 'cut')",167318.24359605272
502,"('Miss', 'Terry', ""'s"")",167231.71595103352
503,"('Miss', 'Katherine', 'be')",166348.3931400686
504,"(""'"", 'say', 'Racksole')",165748.08372424403
505,"(""'"", 'll', 'call')",164346.09614839306
506,"(""'"", 'll', 'catch')",164132.0678053792
507,"(""'"", 'll', 'keep')",163571.32402807093
508,"('and', 'Miss', 'Katherine')",163310.72902530362
509,"('the', 'mountain', 'desert')",163262.91473471312
510,"(""'"", 'll', 'help')",163223.58310347196
511,"('my', 'present', 'situation')",162264.99152119894
512,"('crosse', 'the', 'hall')",162207.93356330297
513,"(""'"", 'll', 'just')",161882.96082934298
514,"(""'"", 'll', 'let')",161795.1726691308
515,"('miss', 'Terry', 'with')",160750.6222384658
516,"('accept', 'the', 'invitation')",160427.10580527608
517,"('the', 'foreign', 'office')",159744.538220207
518,"('you', '', 'do')",158968.7265361741
519,"('he', ""'"", 'll')",158797.43253188417
520,"('a', 'Lhari', 'ship')",158551.88286415656
521,"(""'"", 'll', 'give')",158069.2495613267
522,"(""'"", 'll', 'stop')",157736.06215992634
523,"(""'"", 'll', 'wait')",157277.26521195893
524,"('brother', 'and', 'sister')",154885.71949809042
525,"('the', 'difference', 'between')",154758.89647061378
526,"('more', 'than', 'once')",154082.68227571037
527,"(""'"", 'll', 'pass')",153598.92092467693
528,"('matter', 'connect', 'with')",153510.6552995529
529,"(""'"", 'll', 'hear')",153078.90373126356
530,"('sum', 'of', 'money')",152251.4962136804
531,"('catch', 'sight', 'of')",151157.5280308683
