,en,fr,ru
125,examination,examen,обследование
126,examination,examen,анализ
127,examination,examen,освидетельствование
128,examination,examen,проверка
129,examination,examen,
130,tiger,tigre,тигр
131,tiger,tigre,тигрица
132,tiger,tigre,тигрёнок
133,engineer,ingénieur,инженер
134,engineer,ingénieur,инженер-строитель
135,lion,Lion,левый
136,lion,Lion,львов
137,lion,Lion,львица
138,lion,Lion,львиный
139,even,même,даже
140,even,même,вообще
141,even,voire,даже
142,even,voire,вообще
143,field,champ,область
144,field,champ,пол
145,field,champ,поль
146,background,fond,фон
147,background,fond,основа
148,background,fond,задний план
149,background,fond,
150,background,antécédents,
151,easily,facilement,легко
152,easily,facilement,вполне
153,easily,facilement,без труд
154,easily,facilement,быстро
155,easily,facilement,запросто
156,easily,facilement,беспрепятственно
157,easily,facilement,свободно
158,easily,facilement,лёгкость
159,easily,facilement,трудно
160,easily,facilement,беспрепятственный
161,easily,facilement,
162,write,écrire,написать
163,write,écrire,писать
164,write,écrire,записать
165,write,écrire,записывать
166,write,écrire,составить
167,write,écrire,вписать
168,write,écrire,описать
169,write,écrire,написание
170,write,écrire,
171,write,écriture,no_equality
172,ravioli,ravioli,равиоли
173,ravioli,ravioli,пельмень
174,apologise,excuser,извиняться
175,apologise,excuser,извиниться
176,apologise,excuser,принести извинение
177,apologise,excuse,no_equality
178,fire,feu,огонь
179,fire,feu,пожар
180,fire,feu,костёр
181,fire,feu,пламя
182,fire,feu,поджог
183,fire,feu,стрельба
184,fly,voler,летать
185,fly,voler,лететь
186,fly,voler,полететь
187,fly,voler,взлететь
188,fly,mouche,муха
189,beaver,Beaver,бобёр
190,beaver,Beaver,бобр
191,beaver,Beaver,бивер
192,beaver,Beaver,бобрик
193,duck,canard,утка
194,duck,canard,утёнок
195,duck,canard,уточка
196,duck,canard,селезень
197,coincide,coïncider,совпадать
198,coincide,coïncider,совпасть
199,exactly,exactement,именно
200,exactly,exactement,точно
201,exactly,exactement,ровно
202,exactly,exactement,так
203,exactly,exactement,в точность
204,exactly,exactement,как раз
205,exactly,exactement,абсолютно
206,exactly,exactement,вот
207,exactly,exactement,совершенно
208,exactly,exactement,собственно
209,exactly,exactement,конкретно
210,exactly,exactement,же
211,exactly,exactement,точить
212,exactly,exactement,
213,coconut,coco,кокос
214,coconut,coco,кокосовый
215,coconut,cocotier,кокос
216,international,international,международный
217,international,international,мировой
218,international,international,интернешнл
219,international,international,интернациональный
220,international,international,межнациональный
221,best,meilleur,хороший
222,best,meilleur,оптимальный
223,best,Best,хороший
224,parent,parent,родитель
225,parent,parent,отец
226,parent,parent,родительский
227,ocean,océan,океан
228,ocean,océan,мор
229,ocean,océan,морской
230,ocean,océanique,океанский
231,ocean,océanique,океанический
232,ocean,océanique,морской
233,coincidental,coïncidence,случайно
234,coincidental,coïncidence,совпадение
235,coincidental,coïncidence,случайность
236,coincidental,coïncidence,случайный
237,coincidental,fortuit,случайно
238,coincidental,fortuit,случайный
239,coincidental,fortuit,простой совпадение
240,buzzer,buzzer,звонок
241,buzzer,buzzer,зуммер
242,buzzer,buzzer,сирена
243,buzzer,buzzer,баззер
244,century,siècle,век
245,century,siècle,столетие
246,century,siècle,сто год
247,century,siècle,100 год
248,euro,Euro,евро
249,euro,Euro,еврозона
250,dynamite,dynamite,динамит
251,afraid,peur,no_equality
252,afraid,craindre,no_equality
253,member,membre,сотрудник
254,member,membre,участник
255,member,membre,представитель
256,member,membre,состав
257,member,membre,членство
258,member,membre,входить
259,member,membre,член
260,childhood,enfance,детство
261,childhood,enfance,детский
262,childhood,enfance,ребёнок
263,childhood,enfance,детский возраст
264,plate,plaque,пластина
265,plate,plaque,табличка
266,plate,plaque,номер
267,plate,plaque,номерной знак
268,plate,plaque,плита
269,plate,plaque,
270,fish,poisson,рыба
271,fish,poisson,рыбка
272,fish,poisson,рыбина
273,fish,poisson,улов
274,fish,pêche,рыба
275,fish,pêche,рыболовство
276,fish,pêche,рыбалка
277,fish,pêche,улов
278,fish,pêche,рыбный
