,en,ru,fr
387,rectify,исправить,corriger
388,rectify,исправить,redresser
389,rectify,исправить,réparer
390,rectify,устранить,rectifier
391,rectify,устранить,corriger
392,rectify,устранить,réparer
393,rectify,устранить,régler
394,rectify,устранить,combler
395,rectify,устранить,résoudre
396,rectify,устранения,no_equality
397,rectify,исправлению,rectifier
398,rectify,исправлению,corriger
399,rectify,исправлению,redresser
400,rectify,исправлению,redressement
401,rectify,исправлению,correctives
402,rectify,устранению,no_equality
403,rectify,исправлять,rectifier
404,rectify,исправлять,corriger
405,rectify,исправлять,remédier
406,rectify,исправлять,réparer
407,rectify,устранять,remédier
408,rectify,устранять,régler
409,rectify,устранять,combler
410,rectify,устранять,résoudre
411,rectify,скорректировать,rectifier
412,rectify,скорректировать,corriger
413,rectify,скорректировать,redresser
414,rectify,выправить,corriger
415,rectify,выправить,redresser
416,rectify,исправление,no_equality
417,rectify,восполнить,remédier
418,rectify,восполнить,combler
419,rectify,восполнить,pallier
420,rectify,исправлении,no_equality
421,rectify,устранении,no_equality
422,Ljubljanas,любляна,no_equality
423,Ljubljanas,любляне,no_equality
424,Ljubljanas,любляны,no_equality
425,Ljubljanas,люблянский,no_equality
426,Ljubljanas,люблянского,no_equality
427,Ljubljanas,любляну,no_equality
428,waved,помахал,a fait signe
429,waved,помахал,ai fait signe
430,waved,помахал,ai salué
431,waved,помахала,no_equality
432,waved,помахали,no_equality
433,waved,махали,no_equality
434,waved,размахивая,no_equality
435,waved,махнул,no_equality
436,waved,помахать,no_equality
437,waved,махала рукой,no_equality
438,waved,махал рукой,agitait
439,waved,махал им,agitait
440,waved,взмахнул,no_equality
441,waved,махнули,no_equality
442,waved,отмахнулись,no_equality
443,waved,голосовал,no_equality
444,waved,отмахнулась,no_equality
445,offend,обидеть,offenser
446,offend,обидеть,blesser
447,offend,обидеть,vexer
448,offend,обидеть,froisser
449,offend,обидеть,insulter
450,offend,оскорблять,offenser
451,offend,оскорблять,blesser
452,offend,оскорблять,heurter
453,offend,оскорблять,insulter
454,offend,оскорбить,offenser
455,offend,оскорбить,blesser
456,offend,оскорбить,vexer
457,offend,оскорбить,heurter
458,offend,оскорбить,insulter
459,offend,оскорбить,offusquer
460,offend,обижать,offenser
461,offend,обижать,blesser
462,offend,обижать,vexer
463,offend,обижать,insulter
464,offend,задеть,offenser
465,offend,задеть,blesser
466,offend,задеть,vexer
467,offend,задеть,heurter
468,offend,задеть,choquer
469,offend,задеть,froisser
470,offend,задеть,insulter
471,offend,нарушать,no_equality
472,neologists,геологов,no_equality
473,neologists,геологи,no_equality
474,neologists,геологами,no_equality
475,neologists,специалистов-геологов,no_equality
476,juxtaposed,рядом,no_equality
477,juxtaposed,наряду,no_equality
478,juxtaposed,сопоставленные,no_equality
479,gaoler,тюремщик,geôlier
480,gaoler,тюремный надзиратель,no_equality
481,automatise,автоматический,no_equality
482,automatise,автоматизированный,no_equality
483,automatise,автомат,no_equality
484,automatise,автоматически,no_equality
485,automatise,автоматный,no_equality
486,automatise,автоматика,no_equality
487,automatise,автоматизма,no_equality
488,engraver,гравер,no_equality
489,engraver,гравировщик,no_equality
490,engraver,гравировки,gravure
491,rites,обрядов,rite
492,rites,обрядов,cérémonie
493,rites,обрядов,culte
494,rites,обряды,rite
495,rites,обряды,rituel
496,rites,обряды,cérémonie
497,rites,обряды,culte
498,rites,ритуалы,rite
499,rites,ритуалы,rituel
500,rites,ритуалов,rite
501,rites,ритуалов,rituel
502,rites,ритуалов,cérémonie
503,rites,обрядах,rite
504,rites,обрядах,rituel
505,rites,обрядах,cérémonie
506,rites,обрядами,rite
507,rites,обряд,rite
508,rites,обряд,rituel
509,rites,обряд,cérémonie
510,rites,обрядам,rite
511,rites,культы,culte
512,rites,обряда,rite
513,rites,обычаями,no_equality
514,rites,культов,culte
515,maltster,солодовник,no_equality
516,hesitances,нерешительность,no_equality
517,hesitances,неуверенность,no_equality
518,hesitances,колебания,no_equality
519,hesitances,колебаний,no_equality
520,sufficiency,достаточность,suffisance
521,sufficiency,достаточность,adéquation
522,sufficiency,достаток,no_equality
523,sufficiency,обеспеченность,no_equality
524,sufficiency,довольство,no_equality
525,sufficiency,достаточное количество,quantité suffisante
526,sufficiency,достаточное количество,suffisamment
527,sufficiency,обоснованность,no_equality
528,network,сети,réseau
529,network,сети,network
530,network,сеть,réseau
531,network,сеть,network
532,network,система,réseau
533,network,канал,réseau
534,network,канал,filière
535,network,объединение,réseau
536,network,объединения,réseau
537,network,телесеть,no_equality
538,network,контакты,réseau
539,network,сетевой,réseau
540,network,нетуорк,network
541,network,нетворк,network
542,network,связей,réseau
543,network,взаимодействия,réseau
544,network,network,no_equality
545,mirrors,зеркала,miroir
546,mirrors,зеркала,rétroviseur
547,mirrors,зеркал,miroir
548,mirrors,зеркал,rétroviseur
549,mirrors,отражает,reflète
550,mirrors,отражает,reflet
551,mirrors,отражает,reflètent
552,mirrors,зеркалами,no_equality
553,mirrors,зеркалах,miroir
554,mirrors,зеркало,miroir
555,mirrors,зеркало,reflet
556,mirrors,зеркало,rétro
557,mirrors,зеркалам,no_equality
558,mirrors,зеркале,miroir
559,mirrors,зеркале,rétroviseur
560,mirrors,зеркале,glace
561,mirrors,зеркале,rétro
562,mirrors,серверов-зеркал,no_equality
563,mirrors,является отражением,reflète
564,conniving,коварный,no_equality
565,conniving,потворствующая,no_equality
566,conniving,вероломная,no_equality
567,conniving,коварство,intrigue
568,conniving,подлый,no_equality
569,conniving,подлая,sournois
570,conniving,подлиза,no_equality
571,effectuated,осуществляться,no_equality
572,effectuated,осуществляется,no_equality
573,effectuated,решена,no_equality
574,effectuated,осуществляются,no_equality
575,accusingly,обвинительно,no_equality
576,snuck,пробраться,se faufiler
577,somas,сосм,no_equality
578,distrustful,недоверчивый,méfiant
579,distrustful,подозрительный,méfiant
580,distrustful,подозрительный,soupçonneux
581,distrustful,недоверчиво,no_equality
582,heirs,наследников,héritier
583,heirs,наследников,descendant
584,heirs,наследников,successeur
585,heirs,наследников,succession
586,heirs,наследников,héritage
587,heirs,наследников,descendance
588,heirs,наследники,héritier
589,heirs,наследники,descendant
590,heirs,наследникам,héritier
591,heirs,наследниками,héritier
592,heirs,наследниками,hériter
593,heirs,правопреемников,no_equality
594,heirs,правопреемники,ayants droit
595,heirs,наследника,héritier
596,heirs,наследника,successeur
597,heirs,родственников,no_equality
598,ova,яйцеклетка,ovule
599,ova,яйцеклетка,oeuf
600,ova,яйцеклетка,ovocyte
601,ova,ova,no_equality
602,rats,чепуха,no_equality
603,dusted,сняли,no_equality
604,dusted,обработали,no_equality
605,dusted,распылили,no_equality
606,dusted,распылила,no_equality
607,dusted,проверили,no_equality
608,dusted,снял отпечатки,no_equality
