,en,ru,fr,votes
185,before,раньше,auparavant,1
186,before,раньше,passé,1
187,before,до этого,auparavant,1
188,before,в преддверии,avant,1
189,before,до наступления,avant,1
190,before,прежде нежели,avant,1
191,before,прежде нежели,déjà,1
192,before,прежде нежели,auparavant,1
193,before,,avant,1
194,before,,auparavant,1
195,ahead,впереди,devant,1
196,ahead,вперёд,devant,1
197,turn,no_equality,virer,1
198,alcohol,алкоголь,alcool,2
199,alcohol,алкоголь,boire,1
200,alcohol,выпивка,alcool,1
201,alcohol,спиртное,alcool,1
202,alcohol,спирт,alcool,2
203,alcohol,алкогольный напиток,alcool,1
204,alcohol,алкоголизм,alcool,1
205,alcohol,алкоголизм,alcoolisme,1
206,alcohol,спиртное напиток,alcool,1
207,alcohol,употребление алкоголя,no_equality,1
208,alcohol,алкогольный,no_equality,1
209,history,история,histoire,1
210,history,история,historique,1
211,history,прошлое,histoire,1
212,history,исторический,histoire,1
213,history,предыстория,historique,1
214,story,история,histoire,1
215,story,рассказ,histoire,1
216,story,сказка,histoire,1
217,story,дело,histoire,1
218,story,статья,histoire,1
219,story,сюжет,histoire,1
220,story,версия,histoire,1
221,story,роман,histoire,1
222,story,легенда,histoire,1
223,stack,куча,pile,1
224,stack,стопка,pile,1
225,battery,батарейка,pile,1
226,unique,единый,unique,1
227,unique,уникальный,unique,1
228,unique,единственный,unique,1
229,unique,неповторимый,unique,1
230,single,единый,unique,1
231,single,единый,seul,1
232,single,единственный,unique,1
233,single,единственный,seul,1
234,single,один,unique,1
235,single,один,seul,1
236,single,одинокий,seul,1
237,expose,разоблачить,exposer,1
238,expose,подвергать,exposer,1
239,exposed,подвергать,exposer,1
240,showcase,no_equality,exposer,1
241,locomotive,локомотив,locomotive,1
242,finger,палец,doigt,3
243,finger,палец,index,1
244,finger,пальчик,doigt,2
245,finger,мизинец,doigt,2
246,finger,отпечаток пальца,no_equality,1
247,finger,указующий перст,no_equality,1
248,finger,пальцевой,no_equality,1
249,finger,пальчиковый,no_equality,1
250,finger,теребить,no_equality,1
251,finger,рука,doigt,1
252,century,век,siècle,3
253,century,век,époque,1
254,century,столетие,siècle,2
255,century,сто год,siècle,2
256,century,100 год,siècle,2
257,century,столетье,siècle,1
258,century,центурия,no_equality,1
259,century,вековой,no_equality,1
260,century,в.,no_equality,1
261,headband,no_equality,bandeau,1
262,previously,ранее,auparavant,1
263,previously,ранее,précédemment,1
264,previously,назад,auparavant,1
265,previously,прежде,auparavant,1
266,previously,прежде,précédemment,1
267,previously,до это,auparavant,1
268,previously,выше,précédemment,1
269,previously,ранний,précédemment,1
270,meal,еда,repas,1
271,meal,обед,repas,1
272,meal,ужин,repas,1
273,meal,питание,repas,1
274,meal,блюдо,repas,1
275,meal,пища,repas,1
276,meal,трапеза,repas,1
277,meal,приём пища,repas,1
278,significantly,значительно,nettement,1
279,significantly,существенно,nettement,1
280,significantly,гораздо,nettement,1
281,significantly,намного,nettement,1
282,significantly,заметно,nettement,1
283,significantly,резко,nettement,1
284,significantly,значительный,nettement,1
285,considerably,значительно,nettement,1
286,considerably,существенно,nettement,1
287,considerably,гораздо,nettement,1
288,considerably,намного,nettement,1
289,considerably,заметно,nettement,1
290,considerably,резко,nettement,1
291,considerably,значительный,nettement,1
292,faculty,факультет,faculté,1
293,take off,взлететь,décoller,1
294,take off,взлетать,décoller,1
295,area,зона,zone,1
296,area,зона,région,1
297,area,район,zone,1
298,area,район,région,1
299,area,область,zone,1
300,area,область,domaine,1
301,area,область,région,1
302,area,территория,zone,1
303,area,местность,zone,1
304,area,местность,région,1
305,area,место,zone,1
306,area,участок,zone,1
307,area,площадь,zone,1
308,area,регион,zone,1
309,area,регион,région,1
310,area,сфера,domaine,1
311,area,направление,domaine,1
312,area,вопрос,domaine,1
313,zone,зона,zone,1
314,zone,район,zone,1
315,master,магистр,maîtrise,1
316,dry,no_equality,sécher,1
317,dry,no_equality,séchage,1
318,dry,сухой,sec,2
319,dry,суховатый,sec,1
320,dry,высыхание,no_equality,1
321,dry,сухость,sécheresse,1
322,dry,сухость,dry,1
323,dry,сушить,sécher,2
324,dry,вытереть,sécher,2
325,dry,вытереть,essuyer,1
326,dry,просушивать,no_equality,1
327,dry,насухо,no_equality,1
328,dry,сухо,sec,1
329,dry,высохнуть,sécher,1
330,dry,высушить,sécher,1
331,dry,сохнуть,sécher,1
332,dry,сушиться,sécher,1
333,dry,вытирать,sécher,1
334,dry,высыхать,sécher,1
335,dry,,sécher,1
336,dried,no_equality,sécher,1
337,place,место,endroit,1
338,place,место,lieu,1
339,place,местечко,endroit,1
340,place,дом,endroit,1
341,obediently,no_equality,docilement,1
342,meekly,no_equality,docilement,1
343,docilely,no_equality,docilement,1
344,gain,выгода,gain,1
345,gain,выигрыш,gain,1
346,earnings,no_equality,gain,1
347,winning,выигрыш,gain,1
348,winning,no_equality,gagner,1
349,shampoo,шампунь,shampooing,3
350,shampoo,шампунь,shampoing,2
351,shampoo,шампунь,shampoings,1
352,shampoo,мытье головы,no_equality,1
353,shampoo,мыть,laver,1
354,shampoo,no_equality,Shampoo,1
355,correspond,соответствовать,correspondre,1
356,correlate,no_equality,correspondre,1
357,particularly,особенно,particulièrement,1
358,particularly,особенно,notamment,1
359,particularly,особо,particulièrement,1
360,particularly,особо,notamment,1
361,particularly,наиболее,particulièrement,1
362,particularly,весьма,particulièrement,1
363,particularly,исключительно,particulièrement,1
364,particularly,крайне,particulièrement,1
365,particularly,чрезвычайно,particulièrement,1
366,particularly,особый,particulièrement,1
367,particularly,один очередь,particulièrement,1
368,particularly,прежде всего,notamment,1
369,specifically,особенно,particulièrement,1
370,specifically,особенно,spécifiquement,1
371,specifically,особо,particulièrement,1
372,specifically,особо,spécifiquement,1
373,specifically,исключительно,particulièrement,1
374,specifically,специально,particulièrement,1
375,specifically,специально,spécifiquement,1
376,specifically,частность,particulièrement,1
377,specifically,частность,spécifiquement,1
378,specifically,непосредственно,spécifiquement,1
379,specifically,конкретно,spécifiquement,1
380,specifically,конкретный,spécifiquement,1
381,introduce,ввести,introduire,1
382,introduce,включить,introduire,1
383,introduce,вводить,introduire,1
384,introduce,внедрить,introduire,1
385,introduce,внести,introduire,1
386,introduce,внести,présenter,1
387,introduce,представить,introduire,1
388,introduce,представить,présenter,1
389,introduce,принять,introduire,1
390,introduce,предусмотреть,introduire,1
391,introduce,внедрение,introduire,1
392,introduce,представлять,présenter,1
393,introduce,познакомить,présenter,1
394,introduce,установить,mettre,1
395,bring,no_equality,introduire,1
396,bring,положить,mettre,1
397,bring,привести,mettre,1
398,insert,ввести,introduire,1
399,insert,включить,introduire,1
400,insert,включать,introduire,1
401,jelly,желе,gelée,1
402,advertising,рекламный,publicitaire,1
403,advertising,реклама,publicité,1
404,advertising,объявление,publicité,1
405,launch,начать,lancer,1
406,launch,начать,débuter,1
407,launch,запустить,lancer,1
408,launch,провести,lancer,1
409,launch,запуск,lancer,1
410,launch,запуск,lancement,1
411,launch,начинать,lancer,1
412,launch,организовать,lancer,1
413,launch,развёртывание,lancement,1
414,launch,презентация,lancement,1
415,launch,открытие,lancement,1
416,launch,создание,lancement,1
417,start,начать,lancer,1
418,start,начать,démarrage,1
419,start,начать,démarrer,2
420,start,начать,débuter,2
421,start,начать,commencer,2
422,start,начать,entamer,1
423,start,начать,mettre,1
424,start,начать,engager,1
425,start,начать,entreprendre,1
426,start,начать,reprendre,1
427,start,начать,déclencher,1
428,start,начать,début,1
429,start,запустить,lancer,1
430,start,запустить,démarrer,2
431,start,запустить,faire,1
432,start,запустить,mettre,1
433,start,запустить,déclencher,1
434,start,начало,lancer,1
435,start,начало,démarrage,2
436,start,начало,début,2
437,start,начало,départ,1
438,start,начало,lancement,1
439,start,начало,commencement,1
440,start,запуск,lancer,1
441,start,запуск,démarrage,1
442,start,начинать,lancer,1
443,start,начинать,démarrer,1
444,start,начинать,commencer,2
445,start,начаться,démarrer,1
446,start,начаться,débuter,1
447,start,начаться,commencer,2
448,start,начинаться,commencer,2
449,start,приступить к,commencer,2
450,start,приступать,commencer,2
451,start,открыть,commencer,2
452,start,вздрагивать,no_equality,1
453,start,завести,démarrer,1
454,start,завести,faire,1
455,start,заняться,commencer,1
456,start,заняться,faire,1
457,start,заняться,entreprendre,1
458,start,затеять,no_equality,1
459,start,старт,début,2
460,start,старт,départ,1
461,start,начальный,no_equality,1
462,start,,commencer,1
463,OK,так,OK,1
464,OK,давать,OK,1
465,origin,происхождение,origine,1
466,origin,источник,origine,1
467,origin,родные,origine,1
468,origin,откуда,origine,1
469,origin,проживание,origine,1
470,flight,рейс,vol,2
471,flight,полёт,vol,2
472,flight,самолёт,vol,2
473,flight,перелёт,vol,2
474,flight,билет,vol,2
475,flight,вылет,vol,2
476,flight,полет,vol,1
477,flight,стая,no_equality,1
478,flight,бегство,fuite,1
479,flight,пролет,escalier,1
480,flight,взлет,no_equality,1
481,flight,налет,vol,1
482,flight,облет,no_equality,1
483,flight,отлет,no_equality,1
484,flight,летный,no_equality,1
485,flight,бортовой,no_equality,1
486,flight,взлетный,no_equality,1
487,flight,летать,voler,1
488,flight,пролёт,vol,1
489,flight,,vol,1
490,theft,кража,vol,1
491,theft,ограбление,vol,1
492,theft,воровство,vol,1
493,theft,хищение,vol,1
494,theft,угон,vol,1
495,all,всего,tout,1
496,all,так,tout,1
497,all,только,tout,1
498,all,весь,tout,1
499,everything,весь,tout,2
500,everything,ничто,tout,2
501,everything,все,tout,1
502,everything,все,ça,1
503,everything,что угодно,no_equality,1
504,all of,всего,tout,1
505,any,люба,tout,1
506,any,никакой,tout,1
507,everywhere,повсюду,partout,2
508,everywhere,везде,partout,3
509,everywhere,везде,tout,1
510,everywhere,повсеместно,partout,2
511,everywhere,всюду,partout,2
512,everywhere,где угодный,partout,2
513,everywhere,куда угодный,partout,2
514,everywhere,отовсюду,partout,2
515,everywhere,вокруг,partout,2
516,everywhere,во всем мире,dans le monde entier,1
517,everywhere,куда бы,no_equality,1
518,everywhere,сплошь,no_equality,1
519,everywhere,вездесущий,no_equality,1
520,everywhere,,partout,1
521,throughout,повсеместно,partout,1
522,throughout,по весь,partout,1
523,dinner,ужин,dîner,2
524,dinner,ужин,souper,1
525,dinner,обед,dîner,3
526,dinner,обед,souper,2
527,dinner,обед,repas,1
528,dinner,обед,déjeuner,1
529,dinner,ресторан,dîner,2
530,dinner,торжественный обед,dîner,1
531,dinner,торжественный обед,repas,1
532,dinner,торжественный обед,déjeuner,1
533,dinner,обеденный,no_equality,1
534,dinner,званый,dîner,1
535,dine,поужинать,dîner,1
536,dine,ужинать,dîner,1
537,dine,пообедать,dîner,1
538,dine,обедать,dîner,1
539,interview,интервью,entrevue,1
540,interview,интервью,entretien,1
541,interview,собеседование,entrevue,1
542,interview,собеседование,entretien,1
543,interview,беседа,entretien,1
544,new,новый,nouveau,1
545,new,новый,nouvelle,1
546,new,новенький,nouveau,1
547,new,новенький,nouvelle,1
548,new,ново,nouveau,1
549,new,новичок,nouveau,1
550,new,новичок,nouvelle,1
551,new,новость,nouveau,1
552,new,новость,nouvelle,1
553,fresh,новый,nouveau,1
554,Lev,левый,lev,1
555,aircraft,самолёт,avion,1
556,beer,пиво,bière,3
557,beer,пиво,boire,1
558,beer,пивко,bière,2
559,beer,пивная,bière,2
560,beer,пивная,no_equality,1
561,beer,сорт пива,bière,1
562,beer,пивной,no_equality,1
563,beer,пчелиный,no_equality,1
564,drink,выпить,boire,1
565,drink,пить,boire,1
566,drink,попить,boire,1
567,drink,напиться,boire,1
568,drink,выпивать,boire,1
569,drink,выпивка,boire,1
570,drink,пила,boire,1
571,drink,напиток,boire,1
572,drunk,пила,boire,1
573,beautiful,прекрасный,magnifique,1
574,beautiful,прекрасный,superbe,1
575,beautiful,прекрасный,merveilleux,1
576,beautiful,прекрасный,beau,1
577,beautiful,красивый,magnifique,1
578,beautiful,красивый,superbe,1
579,beautiful,красивый,beau,1
580,beautiful,великолепный,magnifique,1
581,beautiful,великолепный,superbe,1
582,beautiful,замечательный,magnifique,1
583,beautiful,замечательный,superbe,1
584,beautiful,замечательный,merveilleux,1
585,beautiful,чудесный,magnifique,1
586,beautiful,чудесный,merveilleux,1
587,beautiful,великолепно,magnifique,1
588,beautiful,великолепно,merveilleux,1
589,beautiful,красавица,magnifique,1
590,beautiful,чудесно,magnifique,1
591,beautiful,чудесно,merveilleux,1
592,beautiful,красота,magnifique,1
593,beautiful,отличный,superbe,1
594,beautiful,отличный,beau,1
595,spectacular,потрясать,magnifique,1
596,high school,лицей,lycée,1
597,high school,старший класс,lycée,1
598,tiger,тигр,tigre,3
599,tiger,зверь,no_equality,1
600,tiger,тигриный,no_equality,1
601,tiger,тигрица,tigre,1
602,tiger,тигрёнок,tigre,1
603,Tigris,тигр,tigre,1
604,tabby,no_equality,tigré,1
605,genetically,генетически,génétiquement,3
606,genetically,генетически,génétique,1
607,genetically,генетически,ogm,1
608,genetically,генетический,no_equality,1
609,sea,мор,mer,1
610,sea,океан,mer,1
611,Eastern,восточный,Oriental,1
612,oriental,восточный,Oriental,1
613,just,просто,juste,1
614,just,только,juste,1
615,just,прямо,juste,1
616,just,сразу,juste,1
617,just,так,juste,1
618,just,справедливый,juste,1
619,just,всего лишь,juste,1
620,just,как раз,juste,1
621,just,хотеть,juste,1
622,just,точно,juste,1
623,right,прямо,juste,1
624,right,прямо,droit,2
625,right,прямо,no_equality,1
626,right,сразу,juste,1
627,right,сразу,droit,2
628,right,сразу,no_equality,1
629,right,так,juste,1
630,right,вот,juste,1
631,right,правильный,juste,1
632,right,правильно,juste,1
633,right,правильно,bien,1
634,right,правильно,exact,1
635,right,правильно,correct,1
636,right,правильно,hein,1
637,right,правильно,c'est ça,1
638,right,правильно,n'est-ce pas,1
639,right,правильно,non,1
640,right,точно,juste,1
641,right,право,droit,3
642,right,право,droite,2
643,right,правый,droit,3
644,right,правый,droite,1
645,right,правая сторона,droite,1
646,right,правда,bien,1
647,right,правда,hein,1
648,right,правота,no_equality,1
649,right,нужный,bon,1
650,right,подходящий,bon,1
651,right,вправо,no_equality,1
652,right,хорошо,bien,1
653,right,хорошо,d'accord,1
654,right,хорошо,ok,1
655,fair,справедливо,juste,2
656,fair,справедливо,équitablement,1
657,fair,справедливый,juste,3
658,fair,справедливый,équitable,3
659,fair,справедливый,Fair,1
660,fair,честно,juste,2
661,fair,no_equality,impartial,1
662,fair,красивый,beau,1
663,fair,светлый,beau,1
664,fair,светлый,clair,1
665,fair,светлый,blond,1
666,fair,беспристрастный,impartial,1
667,fair,белокурый,blond,1
668,fair,ярмарочный,no_equality,1
669,fair,изрядный,no_equality,1
670,fair,удовлетворительно,no_equality,1
671,fair,попутный,no_equality,1
672,fair,чистовой,no_equality,1
673,fair,выставка,exposition,1
674,fair,справедливость,équité,1
675,fair,справедливость,justice,1
676,fair,салон,salon,1
677,fair,,juste,1
678,fork,вилка,fourchette,1
679,stopped,перестать,arrêté,1
680,stopped,остановиться,arrêté,1
681,stopped,остановить,arrêté,1
682,describe,описать,décrire,1
683,describe,описывать,décrire,1
684,describe,охарактеризовать,décrire,1
685,describe,рассказать о,décrire,1
686,describe,изложить,décrire,1
687,describe,описание,décrire,1
688,described,описать,décrire,1
689,described,охарактеризовать,décrire,1
690,described,изложить,décrire,1
691,described,описание,décrire,1
692,deposit,месторождение,gisement,1
693,deposit,no_equality,déposer,1
694,deposit,депозит,dépôt,1
695,deposit,депонирование,dépôt,1
696,deposit,вклад,dépôt,1
697,intensity,интенсивность,intensité,1
698,Millennium,тысячелетие,millénaire,1
699,Millennium,рубеж тысячелетие,millénaire,1
700,Millennium,црдт,millénaire,1
701,excellent,прекрасный,excellent,2
702,excellent,прекрасный,super,1
703,excellent,отличный,excellent,3
704,excellent,отличный,très bon,1
705,excellent,отличный,superbe,1
706,excellent,отличный,super,1
707,excellent,превосходный,excellent,2
708,excellent,превосходный,super,1
709,excellent,великолепный,excellent,2
710,excellent,замечательный,excellent,2
711,excellent,замечательный,super,1
712,excellent,великолепно,excellent,2
713,excellent,великолепно,super,1
714,excellent,отлично,excellent,2
715,excellent,исключительный,exceptionnel,1
716,excellent,блестящий,brillant,1
717,excellent,первоклассный,no_equality,1
718,fine,прекрасный,excellent,1
719,fine,прекрасный,superbe,1
720,fine,прекрасный,beau,1
721,fine,отличный,excellent,1
722,fine,отличный,superbe,1
723,fine,отличный,beau,1
724,fine,хороший,excellent,1
725,fine,хороший,beau,1
726,fine,прекрасно,beau,1
727,pen,ручка,stylo,3
728,pen,ручка,enclos,1
729,pen,перо,plume,1
730,pen,рейсфедер,no_equality,1
731,pen,фломастер,feutre,1
732,pen,загон,enclos,2
733,pen,Перу,no_equality,1
734,pen,пена,no_equality,1
735,pen,пенал,no_equality,1
736,pen,световое перо,plume,1
737,pen,писать,écrire,1
738,pen,перьевой,no_equality,1
739,pen,авторучка,stylo,1
740,pen,карандаш,stylo,1
741,nature,характер,nature,1
742,nature,природа,nature,1
743,nature,натура,nature,1
744,nature,быть,nature,1
745,nature,сущность,nature,1
746,nature,род,nature,1
747,nature,свой характер,nature,1
748,field,пол,terrain,1
749,field,пол,champ,2
750,field,место,terrain,1
751,field,поль,terrain,1
752,field,поль,champ,2
753,field,область,terrain,1
754,field,область,domaine,2
755,field,область,champ,3
756,field,область,secteur,1
757,field,область,zone,1
758,field,сфера,domaine,1
759,field,поле,champ,1
760,field,поле,domaine,1
761,field,поле,terrain,1
762,field,поле,zone,1
763,field,пространство,no_equality,1
764,field,месторождение,gisement,1
765,field,отрасль,secteur,1
766,field,нива,no_equality,1
767,field,поприще,no_equality,1
768,field,промысел,no_equality,1
769,field,полевой,no_equality,1
770,field,промысловый,no_equality,1
771,field,походный,no_equality,1
772,field,в полевых условиях,no_equality,1
773,occur,no_equality,lieu,1
774,tilt,no_equality,incliner,1
775,incline,no_equality,incliner,1
776,slant,no_equality,incliner,1
777,lean,no_equality,incliner,1
778,lean,no_equality,pencher,1
779,ribbon,лента,ruban,1
780,ribbon,ленточка,ruban,1
781,too,слишком,trop,1
782,too,очень,trop,1
783,too,так,trop,1
784,too,чересчур,trop,1
785,too,чрезмерно,trop,1
786,too much,чересчур,trop,1
787,too much,слишком много,trop,1
788,too much,столько,trop,1
789,too many,столько,trop,1
790,excessive,no_equality,trop,1
791,cache,кэш,cache,1
792,cache,тайник,cache,1
793,hide,скрывать,cache,1
794,hide,прятаться,cache,1
795,hide,скрываться,cache,1
796,hide,прятать,cache,1
797,hide,скрыть,cache,1
798,wagon,no_equality,break,1
799,station wagon,no_equality,break,1
800,heat,тепло,chaleur,1
801,heat,жара,chaleur,1
802,heat,жар,chaleur,1
803,heat,теплота,chaleur,1
804,historic,исторический,historique,1
805,enter,войти,entrer,2
806,enter,входить,entrer,3
807,enter,входить,rentrer,1
808,enter,попасть,entrer,2
809,enter,въехать,entrer,2
810,enter,въезжать,entrer,3
811,enter,выйти,entrer,2
812,enter,ввести,saisir,2
813,enter,ввести,introduire,1
814,enter,вводить,saisir,1
815,enter,вводить,entrer,1
816,enter,заключать,no_equality,1
817,enter,проникать,pénétrer,1
818,enter,вступить,no_equality,1
819,enter,указать,indiquer,1
820,enter,ввод,entrée,2
821,enter,,entrer,1
822,come,зайти,entrer,1
823,come,заходить,entrer,1
824,come,поступить,entrer,1
825,come,пойти,entrer,1
826,come,идти,entrer,1
827,walk,зайти,entrer,1
828,walk,пройти,entrer,1
829,walk,пойти,entrer,1
830,walk,выйти,entrer,1
831,walk,идти,entrer,1
832,guru,гуру,gourou,3
833,guru,гуру,Guru,1
834,adverb,no_equality,adverbe,1
835,adverb,наречие,adverbe,2
836,boot,no_equality,démarrage,1
837,output,выход,sortie,1
838,output,вывод,sortie,1
839,maintenance,содержание,entretien,1
840,maintenance,эксплуатация,entretien,1
841,maintenance,технический обслуживание,entretien,1
842,maintenance,поддержание,entretien,1
843,maintenance,ремонт,entretien,1
844,maintenance,уход,entretien,1
845,maintenance,техобслуживание,entretien,1
846,open,открыть,ouvrir,1
847,open,открывать,ouvrir,1
848,open,начать,ouvrir,1
849,open,открыться,ouvrir,1
850,open,вскрыть,ouvrir,1
851,open,открываться,ouvrir,1
852,open,вскрывать,ouvrir,1
853,opening,no_equality,ouvrir,1
854,pilot,управлять,piloter,1
855,pilot,пилотировать,piloter,1
856,driving,no_equality,piloter,1
857,driving,no_equality,impérieux,1
858,driving,no_equality,conduire,1
859,driving,вождение,conduite,3
860,driving,движение,conduite,2
861,driving,движение,no_equality,1
862,driving,управление,conduite,1
863,driving,руль,no_equality,1
864,driving,перегон,no_equality,1
865,driving,проходка,no_equality,1
866,driving,автовождение,no_equality,1
867,driving,забивка,no_equality,1
868,driving,движущий,no_equality,1
869,driving,движущийся,no_equality,1
870,driving,управляющий,no_equality,1
871,driving,въезжающий,no_equality,1
872,driving,приводящий в движение,no_equality,1
873,driving,гоняющий,no_equality,1
874,driving,приводной,no_equality,1
875,driving,ездовой,no_equality,1
876,peasant,крестьянин,paysan,1
877,farming,фермер,paysan,1
878,lion,левый,Lion,2
879,lion,лев,lion,1
880,lion,лев,lev,1
881,lion,львиный,no_equality,1
882,lion,львиный,Lion,1
883,lion,львов,Lion,1
884,lion,львица,Lion,1
885,know,знать,connaître,1
886,know,знать,savoir,1
887,know,узнать,connaître,1
888,know,узнать,savoir,1
889,know,узнавать,connaître,1
890,know,понять,connaître,1
891,know,понять,savoir,1
892,know,познать,connaître,1
893,know,сказать,savoir,1
894,know,понимать,savoir,1
895,know,уметь,savoir,1
896,know,известно,savoir,1
897,experience,no_equality,connaître,1
898,experience,опыт,expérience,1
899,experience,практика,expérience,1
900,experience,переживание,expérience,1
901,experience,знание,expérience,1
902,experience,стаж,expérience,1
903,path,путь,chemin,1
904,path,дорога,chemin,1
905,path,троп,chemin,1
906,path,направление,chemin,1
907,path,способ,chemin,1
908,path,маршрут,chemin,1
909,path,путём,chemin,1
910,path,дорогой,chemin,1
911,inflatable,надувной,gonflable,1
912,select,выбрать,sélectionner,2
913,select,выделить,sélectionner,3
914,select,выбирать,sélectionner,3
915,select,выбирать,choisir,1
916,select,отбирать,sélectionner,2
