,word,local_word,pos
273,ambulatoire,ambulatory,noun
274,analyser,analyze,verb
275,analyser,analyse,verb
276,analyser,view,noun
277,langoureux,languorous,adjective
278,langoureux,languid,adjective
279,Snyder,Snyder,noun
280,utérus,uterus,noun
281,utérus,uterine,adjective
282,Dieu,God,noun
283,dame,lady,noun
284,transaction,transaction,noun
285,épisodique,episodic,adjective
286,criminel,criminal,noun
287,poids,weight,noun
288,poids,weigh,verb
289,Motte,clod,noun
290,Camelot,Camelot,noun
291,famille,family,noun
292,rire,laugh,verb
293,rire,laughter,noun
294,rire,laughing,noun
295,lâche,coward,noun
296,lâche,cowardly,adjective
297,lâche,slack,noun
298,Jarl,Jarl,noun
299,conformer,comply,verb
300,olive,olive,noun
301,poussiéreux,dusty,adjective
302,interdépartemental,interdepartmental,noun
303,Prince,prince,noun
304,Boma,Boma,noun
305,Comité,Committee,noun
306,emploi,employment,noun
307,Lotte,monkfish,noun
308,endormir,asleep,participle
309,endormir,fall asleep,noun
310,endormir,sleepy,adjective
311,endormir,doze off,verb
312,houle,swell,noun
313,pruche,hemlock,noun
314,neuronal,neural,adjective
315,neuronal,neuronal,noun
316,inclination,inclination,noun
317,risqué,risky,adjective
318,risqué,dodgy,adjective
319,épuisement,exhaustion,noun
320,épuisement,depletion,noun
321,éthylique,ethyl,noun
322,excès,excess,noun
323,excès,excessive,adjective
324,ongle,nail,noun
325,Yuri,Yuri,noun
326,discutable,questionable,adjective
327,discutable,debatable,adjective
328,discutable,moot,noun
329,discutable,disputable,adjective
330,discutable,dubious,adjective
331,discutable,arguable,adjective
332,Trust,trust,noun
333,Mendelson,Mendelson,noun
334,dribbler,dribble,verb
335,inattention,inattention,noun
336,inattention,inattentive,noun
337,carcinome,carcinoma,noun
338,carcinome,squamous,noun
339,carcinome,cell carcinoma,noun
340,Juan,Juan,noun
341,frémissement,quivering,noun
342,Joyce,Joyce,noun
343,Manuela,Manuela,noun
344,équiper,equip,verb
345,équiper,outfit,noun
346,Larson,Larson,noun
347,élever,raise,verb
348,élever,rise,verb
349,élever,raising,noun
350,tombant,falling,noun
351,abrogation,repeal,noun
352,abrogation,abrogation,noun
353,abrogation,revocation,noun
354,abrogation,revoke,verb
355,Illustrator,illustrator,noun
356,inaugural,inaugural,noun
357,pomme,potato,noun
358,pommé,headed,participle
359,terrasse,terrace,noun
360,marionnette,puppet,noun
361,marionnette,puppetry,noun
362,mica,mica,noun
363,motivateur,motivator,noun
364,brique,brick,noun
365,molécule,molecule,noun
366,Superman,superman,noun
367,centrer,focus,verb
368,centrer,center,noun
369,centrer,centred,adjective
370,tendu,tense,noun
371,tendu,tight,adjective
372,tendu,taut,adjective
373,fractal,fractal,noun
374,gifler,slap,verb
375,déployable,deployable,noun
376,hindouisme,Hinduism,noun
377,réglable,adjustable,adjective
378,backgammon,backgammon,noun
379,Viking,Viking,noun
380,désavouer,disown,verb
381,désavouer,disavow,verb
382,Scalp,scalp,verb
383,ingérable,unmanageable,adjective
384,Nantes,Nantes,noun
385,farniente,laze,verb
386,farniente,idleness,noun
387,Idaho,Idaho,noun
388,décolorer,discolor,verb
389,caméscope,camcorder,noun
390,sémitique,Semitic,noun
391,patte,leg,noun
392,réticulaire,reticular,noun
393,odieux,odious,adjective
394,odieux,heinous,adjective
395,rôtissoire,roaster,noun
396,moratoire,moratorium,noun
397,boucler,buckle,verb
398,substance,substance,noun
399,unité,unit,noun
400,internationalement,internationally,adverb
401,lésiner,skimp,verb
402,lésiner,scrimp,verb
403,vêtement,clothing,noun
404,vêtement,garment,noun
405,Budapest,Budapest,noun
406,sainement,healthily,adverb
407,sainement,healthy eating,noun
408,item,item,noun
409,veine,vein,noun
410,mascarade,masquerade,noun
411,Rick,Rick,noun
412,Filler,filler,noun
413,anglais,English,verb
414,anglais,British,adjective
415,remords,remorse,noun
416,intervenant,speaker,noun
417,Horde,horde,noun
418,ralliement,rallying cry,noun
419,éclaboussures,splash,noun
420,éclaboussures,splashes,noun
421,éclaboussures,splatter,verb
422,éclaboussures,spatter,noun
423,composante,component,noun
424,parasol,parasol,noun
425,parasol,umbrella,noun
426,parasol,beach umbrella,noun
427,parasol,sun umbrella,noun
428,Dniepr,Dnieper,noun
429,Dniepr,Dnieper river,noun
430,instrument,instrument,noun
431,magazine,magazine,noun
432,Denis,Denis,noun
433,nutriment,nutrient,noun
434,envenimer,fester,verb
435,multivoie,multiway,noun
436,déchiffrer,decipher,verb
437,déchiffrer,deciphering,noun
438,abandon,abandonment,noun
439,abandon,abandon,noun
440,abandon,give up,verb
441,Collins,Collins,noun
442,pantalon,pants,noun
443,compensation,compensation,noun
444,compensation,clearing,noun
445,faon,fawn,noun
446,visiteur,visitor,noun
447,monorail,monorail,noun
448,nain,dwarf,noun
449,nain,midget,noun
450,nain,pygmy,noun
451,renouvelable,renewable,adjective
452,capitulation,capitulation,noun
453,indomptable,indomitable,adjective
454,indomptable,adamant,noun
455,archiprêtre,archpriest,noun
456,olympique,Olympic,noun
457,convenir,agree,verb
458,convenir,suitable,adjective
459,convenir,suit,verb
460,convenir,agreed,adjective
461,divertissement,entertainment,noun
462,divertissement,entertaining,adjective
463,promettre,promise,verb
464,promettre,vow,noun
465,individualiste,individualistic,adjective
466,individualiste,individualist,noun
467,individualiste,Maverick,noun
468,réellement,actually,adverb
469,réellement,really,adverb
470,Hasan,Hasan,noun
471,coordination,coordination,noun
472,coordination,coordinate,verb
473,chaudronnier,coppersmith,noun
474,informalité,informality,noun
475,égaré,wayward,adjective
476,jury,jury,noun
477,lignage,lineage,noun
478,cartouche,cartridge,noun
479,diplomatiquement,diplomatically,noun
480,sinistre,sinister,adjective
481,sinistre,grim,noun
482,astringent,astringent,noun
483,zircon,zircon,noun
484,napalm,napalm,noun
485,navigation,navigation,noun
486,navigation,browsing,noun
487,navigation,NAV,noun
488,Genesis,Genesis,noun
489,blasphème,blasphemy,noun
490,blasphème,profanity,noun
491,cartographe,cartographer,noun
492,cartographe,mapper,noun
493,hacker,hacker,noun
494,nervure,rib,noun
495,nervure,ribbing,noun
496,maintenir,maintain,verb
497,égalitaire,egalitarian,adjective
498,til,til,noun
499,Shilling,shilling,noun
500,sinus,sinus,noun
501,Jung,Jung,noun
502,Jung,Jungian,noun
503,exportateur,exporter,noun
504,manœuvrer,maneuver,noun
505,dump,dump,noun
506,Twiggy,Twiggy,noun
507,duveteux,fluffy,adjective
508,volontairement,voluntarily,adverb
509,volontairement,deliberately,adverb
510,masseuse,masseuse,noun
511,anecdotique,anecdotal,adjective
512,Maureen,Maureen,noun
513,défense,defence,noun
514,défense,defend,verb
515,défense,defensive,adjective
516,warfarine,warfarin,noun
517,amplitude,amplitude,noun
518,foret,drill,noun
519,foret,drill bit,noun
520,forêt,forest,noun
521,chaufferie,boiler room,noun
522,déformer,deform,verb
523,déformer,distorted,adjective
524,Levinson,Levinson,noun
525,blesser,injure,verb
526,blesser,hurt,verb
527,blesser,injured,adjective
528,technologue,technologist,noun
529,espérer,hope,verb
530,espérer,hopeful,noun
531,crier,shout,verb
532,crier,cry,verb
533,crier,shouting,noun
534,crier,screaming,noun
535,crier,crying,adjective
536,crier,holler,noun
537,herculéen,Herculean,noun
538,assembly,assembly,noun
539,tatyana,Tatyana,noun
540,béluga,beluga,noun
541,béluga,belugas,noun
542,béluga,beluga whale,noun
543,Oural,Ural,noun
544,Oural,Urals,noun
545,naissant,emerging,adjective
546,naissant,nascent,adjective
547,naissant,fledgling,noun
548,correspondant,corresponding,adjective
549,correspondant,correspondent,noun
550,Altaï,Altai,noun
551,thésaurus,thesaurus,noun
552,Leo,Leo,noun
553,Léo,Leo,noun
554,rayonnement,radiation,noun
555,croissance,growth,noun
556,pochoir,stencil,noun
557,premièrement,first,adverb
558,Deuxièmement,secondly,adverb
559,extrait,extract,noun
560,extrait,preview,verb
561,extrait,extracted,noun
562,surpoids,overweight,noun
563,surpoids,excess,noun
564,épicentre,epicenter,noun
565,hospitalier,hospital,noun
566,hospitalier,hospitable,adjective
567,écoute,listen,verb
568,écoute,listening,noun
569,maquette,layout,noun
570,maquette,maquette,noun
571,maquette,breadboard,noun
572,maquette,scale model,noun
573,maquette,breadboard model,noun
574,gimmick,gimmick,noun
575,Kilimandjaro,Kilimanjaro,noun
576,chic,chic,noun
577,chic,stylish,adjective
578,chic,posh,verb
579,sculptural,sculptural,adjective
580,palper,palpate,verb
581,humilité,humility,noun
582,humilité,humbleness,noun
583,cathodique,CRT,noun
584,Petrie,Petrie,noun
585,maillage,mesh,noun
586,sonorisation,sound system,noun
587,connu,known,participle
588,connu,experienced,adjective
589,connu,famous,adjective
590,sérieux,serious,adjective
591,paludisme,malaria,noun
592,automnal,autumnal,adjective
593,empêcher,prevent,verb
594,musicalité,musicality,noun
595,musicalité,musicianship,noun
596,clown,clown,noun
597,ironique,ironic,adjective
598,décortiquer,husk,noun
599,décortiquer,dissect,verb
600,associé,associated,participle
601,associé,associate,noun
602,associé,partner,noun
603,rêvasser,daydream,verb
604,blanc,white,noun
605,Hayley,Hayley,noun
606,lierre,ivy,noun
607,asocial,asocial,adjective
608,sucre,sugar,noun
609,sucré,sweet,noun
610,sucré,sugary,adjective
611,Tunis,Tunis,noun
612,populisme,populism,noun
613,allouer,allocate,verb
614,allouer,earmark,noun
615,allouer,designate,adjective
616,supination,supination,noun
617,grattage,scrape,verb
618,grattage,scraping,noun
619,Chandeleur,Candlemas,noun
620,cauchemar,nightmare,noun
621,offshore,offshore,noun
622,déphasage,phase shift,noun
623,Curie,Curie,noun
624,Curie,curia,noun
625,pistil,pistil,noun
626,boucherie,butcher,noun
627,boucherie,butcher shop,noun
628,Wimbledon,Wimbledon,noun
629,théâtre,theatre,noun
630,Devlin,Devlin,noun
631,Brésil,Brazil,noun
632,Napoléon,Napoleon,noun
633,lapidaire,lapidary,noun
634,lapidaire,pithy,adjective
635,prévalence,prevalence,noun
636,chuter,fall,verb
637,chuter,fell,noun
638,friction,friction,noun
639,Jill,Jill,noun
640,antagoniste,antagonist,noun
641,antagoniste,antagonistic,adjective
642,antisocial,antisocial,adjective
643,immunodépression,immunosuppression,noun
644,tanière,den,noun
645,éjecter,eject,verb
646,stockage,storage,noun
647,whisky,whisky,noun
648,virer,turn,verb
649,Macintosh,Macintosh,noun
650,auditif,auditory,adjective
651,auditif,hearing AIDS,noun
652,auditif,hearing aid,noun
653,halal,halal,noun
654,strophe,stanza,noun
655,strophe,strophe,noun
656,contrebalancer,counterbalance,verb
657,rédaction,writing,noun
658,rédaction,drafting,noun
659,rédaction,editorial,noun
660,alcool,alcohol,noun
661,Vélodrome,velodrome,noun
662,aileron,aileron,noun
663,aileron,fin,noun
664,Panama,Panama,noun
665,bruyant,noisy,adjective
666,bruyant,loud,adjective
667,patine,patina,noun
668,extérieurement,externally,adverb
669,jongler,juggle,verb
670,histoire,history,noun
671,histoire,story,noun
672,fitness,fitness center,noun
673,taillis,coppice,noun
674,clématite,clematis,noun
675,zinc,zinc,noun
676,Stephen,Stephen,noun
677,chamois,chamois,noun
678,chamois,buff,noun
679,ascendance,descent,noun
680,coq,cock,noun
681,insaisissable,elusive,adjective
682,Boden,Boden,noun
683,distinct,separate,noun
684,Michelangelo,Michelangelo,noun
685,seigneurial,stately,adjective
686,prédiction,prediction,noun
687,Stadium,stadium,noun
688,enseignante,teacher,noun
689,Kippa,yarmulke,noun
690,rajeunir,rejuvenate,verb
691,content,contented,adjective
692,Forster,Forster,noun
693,vandale,vandal,noun
694,redécorer,redecorate,verb
695,marchande,shopping arcade,noun
696,marchande,shopping mall,noun
697,lettrine,drop cap,noun
698,irlandais,Irish,adjective
699,irlandais,Ireland,noun
700,interféron,interferon,noun
701,élargir,expand,verb
702,témoignage,testimony,noun
703,alouette,lark,noun
704,Ellison,Ellison,noun
705,poivron,pepper,noun
706,poivron,bell pepper,noun
707,ligature,ligature,noun
708,inhabituel,unusual,adjective
709,né,born,participle
710,né,newborn baby,noun
711,loquace,talkative,adjective
712,Salvadorien,Salvadorian,noun
713,Salvadorien,Salvadoran,noun
714,gaz,gas,noun
715,Wilson,Wilson,noun
716,archet,bow,noun
717,méchant,wicked,noun
718,méchant,nasty,noun
719,méchant,malicious,adjective
720,méchant,bad guy,noun
721,méchant,bad,adjective
722,relation,relationship,noun
723,pilule,pill,noun
724,isotherme,isothermal,adjective
725,canevas,canvas,noun
726,dimanche,Sunday,noun
727,dimanche,on Sunday,adverb
728,Andes,Andes,noun
729,Andes,Andes mountains,noun
730,léniniste,Leninist,noun
731,léniniste,Lenin,noun
732,commercialement,commercially,adverb
733,lumbago,lumbago,noun
734,lumbago,back pain,noun
735,spaghetti,spaghetti,noun
736,Taker,taker,noun
737,symbole,symbol,noun
738,Bart,Bart,noun
739,souligner,stress,verb
740,souligner,emphasized,adjective
741,souligner,underline,adjective
742,souligner,emphasis,noun
743,siéger,sit,verb
744,siéger,serve,noun
745,couvreur,roofer,noun
746,boudin,pudding,noun
747,Rodin,Rodin,noun
748,Olivia,Olivia,noun
749,énergique,energetic,adjective
750,énergique,vigorous,adjective
751,énergique,strong,adjective
752,énergique,forceful,adjective
753,énergique,robust,adjective
754,organisation,organization,noun
755,engin,gear,noun
756,rédemption,redemption,noun
757,Dodge,dodge,noun
758,algébrique,algebraic,adjective
759,division,division,noun
760,division,department,noun
761,délicatesse,delicacy,noun
762,inanimé,inanimate,adjective
763,divulguer,disclose,verb
764,ICT,CTI,noun
765,Chevron,Chevron,noun
766,portfolio,portfolio,noun
767,céder,yield,verb
768,céder,assign,verb
769,céder,cede,verb
770,céder,cave,noun
771,Zen,Zen,noun
772,nombril,navel,noun
773,nombril,belly button,noun
774,volute,volute,noun
775,série,series,noun
776,série,set,noun
777,série,range,noun
778,aurore,Aurora,noun
779,aurore,dawn,noun
780,criminalité,crime,noun
781,sésame,sesame,noun
782,sésame,sesame seed,noun
783,chien,dog,noun
784,croyable,credible,adjective
785,graisse,grease,noun
786,autocar,coach,noun
787,souhaité,desired,noun
788,dissémination,dissemination,noun
789,Noel,Noel,noun
790,Noël,Christmas,noun
791,bus,bus,noun
792,topologique,topological,noun
793,falciforme,sickle,noun
794,artifice,firework,noun
795,artifice,fireworks,noun
796,recompilation,recompile,verb
797,recompilation,recompilation,noun
798,Massachusetts,Massachusetts,noun
799,Premium,premium,noun
800,préhension,grip,noun
801,préhension,gripping,adjective
802,antiviral,antiviral,adjective
803,Heil,Heil,noun
804,entrailles,bowel,noun
805,entrailles,entrails,noun
806,pastoral,pastoral,noun
807,cognitif,cognitive,adjective
808,Tchad,Chad,noun
809,intégrisme,fundamentalism,noun
810,population,population,noun
811,tenace,stubborn,adjective
812,drame,drama,noun
813,Vandal,vandal,noun
814,pile,stack,noun
815,pile,battery,noun
816,inhalation,inhalation,noun
817,inhalation,inhale,verb
818,Perry,Perry,noun
819,foulée,stride,noun
820,Bela,Bela,noun
821,Azerbaïdjan,Azerbaijan,noun
822,intuitif,intuitive,adjective
823,citron,lemon,noun
824,processus,process,noun
825,cycliquement,cyclically,adverb
826,concept,concept,noun
827,viole,viol,noun
828,norvégien,Norwegian,noun
829,spectrographe,spectrograph,noun
830,Mirage,Mirage,noun
831,Mirage,illusion,noun
832,vancomycine,vancomycin,noun
833,dracunculose,dracunculiasis,noun
834,dracunculose,worm disease,noun
835,prospective,foresight,noun
836,prospective,prospective,noun
837,fier,proud,adjective
838,fier,rely,verb
839,contour,contour,noun
840,contour,outline,noun
841,suave,suave,noun
842,dépendre,depend,verb
843,dépendre,dependent,noun
844,dépendre,reliant,adjective
845,Connor,Connor,noun
846,stériliser,sterilize,verb
847,peste,plague,noun
848,Selective,selective,noun
849,façonnage,shaping,noun
850,épice,spice,noun
851,épice,gingerbread,noun
852,guêtres,warmers,noun
853,guêtres,spats,noun
854,comté,county,noun
855,soviétique,Soviet,adjective
856,énormement,hugely,adverb
857,antériorité,anteriority,noun
858,personnage,character,noun
859,exporter,export,verb
860,exporter,exportation,adjective
861,cheveux,hair dryer,noun
862,contraste,contrast,verb
863,contraste,contrast ratio,verb
864,mammographie,mammography,noun
865,gal,gal,noun
866,immémorial,immemorial,adjective
867,casting,casting,noun
868,malformation,malformation,noun
869,ambre,amber,noun
870,ambré,amber,noun
871,irresponsabilité,irresponsibility,noun
872,Inca,Inca,noun
873,Inca,Incas,noun
874,découplage,decoupling,noun
875,plancton,plankton,noun
876,népotisme,nepotism,noun
877,joyeux,cheerful,adjective
878,joyeux,happy,noun
879,alligator,alligator,noun
880,alligator,Gator,noun
881,Nicol,Nicol,noun
882,kiosque,kiosk,noun
883,complexité,complexity,noun
884,délavé,washed,participle
885,maté,mate,noun
886,suivant,following,adjective
887,lévitation,levitation,noun
888,lévitation,levitate,verb
889,hébergement,accommodation,noun
890,hébergement,lodging,noun
891,Pskov,Pskov,noun
892,philippin,filipino,noun
893,philippin,Philippine,adjective
894,Spector,Spector,noun
895,asynchrone,asynchronous,adjective
896,asynchrone,asynchronously,adverb
897,asynchrone,async,noun
898,selon,under,preposition
899,selon,in accordance,adverb
900,selon,in accordance with,adverb
901,roulant,rolling,noun
902,roulant,treadmill,noun
903,spectaculaire,spectacular,noun
904,spectaculaire,dramatic,adjective
905,spectaculaire,dramatically,adverb
906,ouvrier,worker,noun
907,ouvrier,labourer,noun
908,discontinu,discontinuous,adjective
909,démographie,demographics,noun
910,cèdre,cedar,noun
911,cèdre,cedar tree,noun
912,Christophe,Christopher,noun
913,Christophe,Christoph,noun
914,Canon,Canon,noun
915,Canon,cannon,noun
916,couper,cut,verb
917,couper,cutting,noun
918,couper,chop,verb
919,ignorance,ignorance,noun
920,désavantageux,disadvantageous,adjective
921,montre,show,verb
922,exempt,exempt,verb
923,égout,sewer,noun
924,égout,sewage,noun
925,égout,sewage system,noun
926,scooter,scooter,noun
927,répit,respite,noun
928,militairement,militarily,adverb
929,balade,ride,noun
930,balade,jaunt,noun
931,aliment,food,noun
932,protestation,protest,noun
933,réfrigération,refrigeration,noun
934,mesquin,petty,adjective
935,Philip,Philip,noun
936,confus,confused,adjective
937,confus,confusing,adjective
938,facturer,charge,verb
939,stérilet,IUD,noun
940,dégustation,tasting,noun
941,dégustation,wine tasting,noun
942,Gourde,gourd,noun
943,cataplasme,poultice,noun
944,cataplasme,cataplasm,noun
945,alléger,alleviate,verb
946,alléger,reduce,verb
947,stupéfaction,amazement,noun
948,Abkhazie,Abkhazia,noun
949,Abkhazie,Abkhaz,noun
950,Elysium,Elysium,noun
951,Arizona,Arizona,noun
952,Cora,Cora,noun
953,vertueux,virtuous,adjective
954,vertueux,righteous,noun
955,clochard,bum,noun
956,clochard,tramp,noun
957,bétonnière,concrete mixer,noun
958,bétonnière,cement mixer,noun
959,inconsistance,inconsistency,noun
960,nacelle,nacelle,noun
961,nacelle,pod,noun
962,dos,back,noun
963,dos,DOS,noun
964,célibat,celibacy,noun
965,habitat,habitat,noun
966,insuffler,breathe,verb
967,Luke,Luke,noun
968,locomotive,locomotive,noun
969,Boomer,boomer,noun
970,Bryant,Bryant,noun
971,métastase,metastasis,noun
972,entrepôt,warehouse,noun
973,entrepôt,repository,adjective
974,Quint,Quint,noun
975,assidu,assiduous,adjective
976,assidu,hardworking,noun
977,transe,trance,noun
978,allié,ally,noun
979,insensible,insensitive,adjective
980,insensible,unresponsive,adjective
981,insensible,insensible,adjective
982,croisade,crusade,noun
983,lissage,smooth,verb
984,lissage,smoothness,noun
985,fabrication,manufacturing,noun
986,fabrication,make,verb
987,patient,patient,noun
988,superutilisateur,superuser,noun
989,superutilisateur,super user,noun
990,branler,wank,verb
991,branler,jerk,verb
992,branler,masturbate,verb
993,hypocondriaque,hypochondriac,noun
994,devis,quote,noun
995,devis,quotation,noun
996,hygroscopique,hygroscopic,adjective
997,mairie,town hall,noun
998,pompage,pump,noun
999,Whitney,Whitney,noun
1000,Nelly,Nelly,noun
1001,immolation,immolation,noun
1002,serrement,tightness,noun
1003,cumul,cumulation,noun
1004,grec,Greek,noun
1005,incontrôlable,uncontrollable,adjective
1006,incontrôlable,uncontrollably,adverb
1007,génocide,genocide,noun
