,English text,en_fr_yandex_tr,fr_en_yandex_tr,correct_translation
70,I know my daughter.,Je sais que ma fille.,I know my daughter.,True
71,I recognize your voice.,Je reconnais votre voix.,I recognize your voice.,True
72,I understand your concern.,Je comprends votre préoccupation.,I understand your concern.,True
76,I know your secret.,Je connais ton secret.,I know your secret.,True
77,I need my money.,J'ai besoin de mon argent.,I need my money.,True
78,I love your hair.,J'adore vos cheveux.,I love your hair.,True
79,I like your suit.,J'aime votre costume.,I like your suit.,True
80,I need your protection,J'ai besoin de votre protection,I need your protection,True
81,They need your help.,Ils ont besoin de votre aide.,They need your help.,True
82,You love your family.,Vous aimez votre famille.,You love your family.,True
83,I remember her smile.,Je me souviens de son sourire.,I remember her smile.,True
84,You know his family.,Vous connaissez sa famille.,You know his family.,True
85,I like your house.,J'aime votre maison.,I like your house.,True
86,I miss my family.,Je m'ennuie de ma famille.,I miss my family.,True
87,I like your skirt.,J'aime ta jupe.,I like your skirt.,True
89,I see his mom.,Je vois sa maman.,I see his mom.,True
90,You hear my voice,Vous entendez ma voix,You hear my voice,True
94,I prefer cash.,Je préfère de trésorerie.,I prefer cash.,True
95,You need help.,Vous avez besoin d'aide.,You need help.,True
97,I need coffee.,J'ai besoin de café.,I need coffee.,True
99,I like pizza.,J'aime la pizza.,I like pizza.,True
100,I feel something.,Je sens quelque chose.,I feel something.,True
101,I like everything.,J'aime tout.,I like everything.,True
102,I like music.,J'aime la musique.,I like music.,True
104,My news is good.,Mes nouvelles sont bonnes.,My news is good.,True
112,Her name is Maya.,Elle s'appelle Maya.,Her name is Maya.,True
113,Your order is ready.,Votre commande est prête.,Your order is ready.,True
114,My family is fine.,Ma famille est très bien.,My family is fine.,True
115,His problem is simple.,Son problème est simple.,His problem is simple.,True
118,Her mother is French.,Sa mère est française.,Her mother is French.,True
119,My son is sick.,Mon fils est malade.,My son is sick.,True
120,My father is Italian.,Mon père est italien.,My father is Italian.,True
121,Your plan is ready.,Votre plan est prêt.,Your plan is ready.,True
125,His shop is open.,Sa boutique est ouverte.,His shop is open.,True
126,Your friend is right,Votre ami a raison,Your friend is right,True
127,He works a lot.,Il travaille beaucoup.,He works a lot.,True
128,She's a very beautiful woman.,C'est une très belle femme.,She's a very beautiful woman.,True
130,He's a very nice man.,Il est un homme très gentil.,He's a very nice man.,True
131,It's a sad song.,C'est une chanson triste.,It's a sad song.,True
132,He's a very old friend.,C'est un très vieil ami.,He's a very old friend.,True
136,It's a very good book.,C'est un très bon livre.,It's a very good book.,True
137,It's a simple design.,C'est une conception simple.,It's a simple design.,True
138,It's a very interesting book.,C'est un livre très intéressant.,It's a very interesting book.,True
139,She's a very strange woman.,Elle est une femme très étrange.,She's a very strange woman.,True
141,It's a very simple meal.,C'est un très simple repas.,It's a very simple meal.,True
143,It's a very important thing.,C'est une chose très importante.,It's a very important thing.,True
148,He's a very good man.,C'est un très bon homme.,He's a very good man.,True
150,She lives around the corner.,Elle habite au coin de la rue.,She lives around the corner.,True
153,She works as a nurse.,Elle travaille comme infirmière.,She works as a nurse.,True
154,He's still in the building!,Il est toujours dans le bâtiment!,He's still in the building!,True
156,He's still in the room.,Il est toujours dans la chambre.,He's still in the room.,True
158,"Hello, John, how are you?","Bonjour, Jean, comment êtes-vous?","Hello, John, how are you?",True
159,I'm sure you're right.,Je suis sûr que vous avez raison.,I'm sure you're right.,True
161,I'm sorry I'm so late.,"Je suis désolé, je suis tellement en retard.",I'm sorry I'm so late.,True
162,I'm late for work.,Je suis en retard pour le travail.,I'm late for work.,True
164,I'm ready for the next question.,Je suis prêt pour la prochaine question.,I'm ready for the next question.,True
165,He usually comes back at midnight.,Il vient généralement de retour à minuit.,He usually comes back at midnight.,True
171,We usually drink cola and dance.,"D'habitude, on boit du cola et on danse.",We usually drink cola and dance.,True
172,I usually eat soup and salad.,"D'habitude, je mange de la soupe et de la salade.",I usually eat soup and salad.,True
173,I always drink wine or coffee.,Je bois toujours du vin ou du café.,I always drink wine or coffee.,True
175,I'm afraid of ghosts.,J'ai peur des fantômes.,I'm afraid of ghosts.,True
176,I only eat meat and chocolate.,Je ne mange que de la viande et du chocolat.,I only eat meat and chocolate.,True
177,I'm tired of parks.,Je suis fatigué de parcs.,I'm tired of parks.,True
178,I'm tired of people,Je suis fatigué de gens,I'm tired of people,True
179,You're full of questions.,Vous êtes plein de questions.,You're full of questions.,True
180,I'm interested in robots.,Je suis intéressé par des robots.,I'm interested in robots.,True
182,I'm afraid of horses.,J'ai peur des chevaux.,I'm afraid of horses.,True
183,I'm tired of secrets.,Je suis fatigué de secrets.,I'm tired of secrets.,True
184,I'm afraid of snakes.,J'ai peur des serpents.,I'm afraid of snakes.,True
185,I like flowers very much.,J'aime les fleurs de beaucoup.,I like flowers very much.,True
187,I'm afraid of airplanes.,J'ai peur des avions.,I'm afraid of airplanes.,True
188,You're afraid of spiders!,Vous avez peur des araignées!,You're afraid of spiders!,True
190,I live a very simple life.,Je vis une vie très simple.,I live a very simple life.,True
191,You have a very nice room.,Vous avez une très belle chambre.,You have a very nice room.,True
193,We're a good team.,Nous sommes une bonne équipe.,We're a good team.,True
194,We're a very big family.,Nous sommes une très grande famille.,We're a very big family.,True
196,You're a very good actress.,Vous êtes une très bonne actrice.,You're a very good actress.,True
197,I'm a very patient man.,Je suis un homme très patient.,I'm a very patient man.,True
198,I have a pretty good idea,J'ai une assez bonne idée,I have a pretty good idea,True
202,She probably needs help.,Elle a probablement besoin d'aide.,She probably needs help.,True
206,He always comes alone at night.,"Il vient toujours seul, la nuit.",He always comes alone at night.,True
207,He never says anything bad about you.,Il ne dit jamais rien de mal de toi.,He never says anything bad about you.,True
208,It's nice to meet you guys.,C'est agréable de vous rencontrer les gars.,It's nice to meet you guys.,True
209,I'm afraid I'm very late.,Je crains que je suis très en retard.,I'm afraid I'm very late.,True
212,I like your music.,J'aime votre musique.,I like your music.,True
220,I like your dress.,J'aime votre robe.,I like your dress.,True
224,I listen to music.,J'écoute de la musique.,I listen to music.,True
229,It's a very simple rule.,C'est une règle très simple.,It's a very simple rule.,True
231,He always wants to help.,Il veut toujours aider.,He always wants to help.,True
234,I like jeans.,J'aime les jeans.,I like jeans.,True
235,I remember her.,Je me souviens d'elle.,I remember her.,True
242,You love me.,Vous m'aimez.,You love me.,True
243,You dance very well.,Vous dansez très bien.,You dance very well.,True
245,I know about this situation.,Je sais à propos de cette situation.,I know about this situation.,True
2,How do I answer?,Comment dois-je répondre?,How do I answer?,True
4,How do they work?,Comment fonctionnent-ils?,How do they work?,True
5,Where do you turn?,Où vous tournez-vous?,Where do you turn?,True
7,Where do they live?,Où vivent-ils?,Where do they live?,True
8,How do you choose?,Comment choisissez-vous?,How do you choose?,True
10,Do you have a passport?,Avez-vous un passeport?,Do you have a passport?,True
11,Do you have a doctor?,Avez-vous un médecin?,Do you have a doctor?,True
12,Do you want the truth?,Voulez-vous la vérité?,Do you want the truth?,True
13,Where does it end?,Où prend-elle fin?,Where does it end?,True
14,Where does he sleep?,Où prend-il dormir?,Where does he sleep?,True
16,How does it work?,Comment ça fonctionne?,How does it work?,True
24,How does she know?,Comment fait-elle savoir?,How does she know?,True
25,Where does he work?,Où veut-il travailler?,Where does he work?,True
26,Do you have the money?,Avez-vous l'argent?,Do you have the money?,True
30,When do you start?,Quand commencez-vous?,When do you start?,True
33,Where do I go?,Où dois-je aller?,Where do I go?,True
35,Where do you sleep?,Où dormez-vous?,Where do you sleep?,True
38,Do you have a phone?,Avez-vous un téléphone?,Do you have a phone?,True
40,Do you have the address?,Avez-vous l'adresse?,Do you have the address?,True
42,Do you have a dog?,Avez-vous un chien?,Do you have a dog?,True
43,Do you have a ticket?,Avez-vous un billet?,Do you have a ticket?,True
44,Do you have a knife?,Avez-vous un couteau?,Do you have a knife?,True
45,Do you have a picture?,Avez-vous une photo?,Do you have a picture?,True
47,Do we have a plan?,Avons-nous un plan?,Do we have a plan?,True
48,Do you have any water?,Avez-vous de l'eau?,Do you have any water?,True
49,Do you have a choice?,Avez-vous un choix?,Do you have a choice?,True
50,Do you have a dollar?,Avez-vous un dollar?,Do you have a dollar?,True
51,Do you have a map?,Avez-vous une carte?,Do you have a map?,True
52,Do you have a brother?,Avez-vous un frère?,Do you have a brother?,True
55,Do you have a cow?,Avez-vous une vache?,Do you have a cow?,True
56,Do I need a doctor?,Ai-je besoin d'un médecin?,Do I need a doctor?,True
63,How do you clean it?,Comment voulez-vous nettoyer?,How do you clean it?,True
72,Why do you hate me?,Pourquoi détestez-vous de moi?,Why do you hate me?,True
73,How do you use it?,Comment l'utilisez-vous?,How do you use it?,True
75,Why do you love him?,Pourquoi l'aimez-vous?,Why do you love him?,True
78,When do you need it?,Quand avez-vous besoin?,When do you need it?,True
84,What do they think?,Que pensent-ils?,What do they think?,True
85,What do they see?,Que voient-ils?,What do they see?,True
87,What do we think?,Que pensons-nous?,What do we think?,True
89,What do you remember?,Que vous rappelez-vous?,What do you remember?,True
92,What do they need?,De quoi ont-ils besoin?,What do they need?,True
93,What do you learn?,Qu'apprenez-vous?,What do you learn?,True
94,Who do you see?,Qui voyez-vous?,Who do you see?,True
98,What do you mean?,Que voulez-vous dire?,What do you mean?,True
99,What do you want?,Que voulez-vous?,What do you want?,True
101,What do we see?,Que voyons-nous?,What do we see?,True
102,What do you get?,Qu'obtenez-vous?,What do you get?,True
103,What do I see?,Que vois-je?,What do I see?,True
109,What do we get?,Qu'obtenons-nous?,What do we get?,True
111,What do you do?,Que faites-vous?,What do you do?,True
112,What do we know?,Que savons-nous?,What do we know?,True
113,What do you know?,Que savez-vous?,What do you know?,True
116,What do you think?,Qu'en pensez-vous?,What do you think?,True
117,What are you afraid of?,De quoi avez-vous peur?,What are you afraid of?,True
118,What do you mean?,Que voulez-vous dire?,What do you mean?,True
121,How do I decide?,Comment puis-je décider?,How do I decide?,True
123,When do I leave?,Quand dois-je partir?,When do I leave?,True
130,Where's the money?,Où est l'argent?,Where's the money?,True
132,Where's the key?,Où est la clé?,Where's the key?,True
133,Where's the kitchen?,Où est la cuisine?,Where's the kitchen?,True
134,Where's the shower?,Où est la douche?,Where's the shower?,True
136,Where's the hospital?,Où est l'hôpital?,Where's the hospital?,True
145,Where's the kettle?,Où est la bouilloire?,Where's the kettle?,True
147,Where does he live?,Où vit-il?,Where does he live?,True
151,Why does she study?,Pourquoi fait-elle de l'étude?,Why does she study?,True
152,When does she smile?,Quand fait-elle sourire?,When does she smile?,True
153,Do you promise me?,Promettez-vous de moi?,Do you promise me?,True
154,How do you like your room?,Comment aimez-vous votre chambre?,How do you like your room?,True
155,How do you spell your name?,Comment voulez-vous épeler votre nom?,How do you spell your name?,True
156,How do you like my dress?,Comment aimez-vous ma robe?,How do you like my dress?,True
162,Do they remember me?,Se souviennent-ils de moi?,Do they remember me?,True
163,How do you work?,Comment travaillez-vous?,How do you work?,True
164,Do they love him?,Font-ils l'amour de lui?,Do they love him?,True
167,How do you like my beard?,Comment aimez-vous ma barbe?,How do you like my beard?,True
168,How do you spell his name?,Comment voulez-vous épeler son nom?,How do you spell his name?,True
169,How do you spend your time?,Comment passez-vous votre temps?,How do you spend your time?,True
172,Why do you have his picture?,Pourquoi avez-vous de son image?,Why do you have his picture?,True
174,How do you tell your boss?,Comment tu le dis à ton patron?,How do you tell your boss?,True
175,When do you do your homework?,Quand faites-vous vos devoirs?,When do you do your homework?,True
181,How do you like my shirt?,Comment aimez-vous ma chemise?,How do you like my shirt?,True
182,Why don't you try?,Pourquoi n'essayez-vous pas?,Why don't you try?,True
183,Why don't you give him a chance?,Pourquoi tu ne lui donnes pas une chance?,Why don't you give him a chance?,True
185,"What's your name, by the way?","Quel est votre nom, au fait?","What's your name, by the way?",True
186,"What's his name, by the way?","Quel est son nom, par le chemin?","What's his name, by the way?",True
187,Why don't you wear your new suit?,Pourquoi tu ne Portes pas ton nouveau costume?,Why don't you wear your new suit?,True
188,What date is it today?,Quelle date est-il aujourd'hui?,What date is it today?,True
189,What day is it today?,Quel jour est-ce aujourd'hui?,What day is it today?,True
190,Is it cold in your room?,Il fait froid dans votre chambre?,Is it cold in your room?,True
192,Do you know about the discount?,Savez-vous à propos de la réduction?,Do you know about the discount?,True
194,What do you know about physics?,Que savez-vous au sujet de la physique?,What do you know about physics?,True
195,What do I know about computers?,Qu'est-ce que je connais aux ordinateurs?,What do I know about computers?,True
196,What do you have against dogs?,Qu'avez-vous contre les chiens?,What do you have against dogs?,True
197,Is she famous in your country?,Est-elle célèbre dans votre pays?,Is she famous in your country?,True
198,Is it bad for your health?,Est-il mauvais pour votre santé?,Is it bad for your health?,True
202,How come you don't like him?,Comment venir vous n'avez pas comme lui?,How come you don't like him?,True
206,What do you know about animals?,Que connaissez-vous les animaux?,What do you know about animals?,True
207,Why don't you talk about the problem?,Pourquoi tu ne parles pas du problème?,Why don't you talk about the problem?,True
1,It doesn't mean anything.,Cela ne veut pas dire quoi que ce soit.,It doesn't mean anything.,True
2,He doesn't want anything.,Il ne veut pas que quoi que ce soit.,He doesn't want anything.,True
3,It doesn't show anything.,Il ne veut pas montrer quoi que ce soit.,It doesn't show anything.,True
8,We don't know yet.,Nous ne savons pas encore.,We don't know yet.,True
9,You don't live here.,Tu ne vis pas ici.,You don't live here.,True
10,We don't think so.,Nous ne le pensons pas.,We don't think so.,True
13,I don't trust him.,Je n'ai pas confiance en lui.,I don't trust him.,True
14,I don't understand you.,Je ne te comprends pas.,I don't understand you.,True
15,I don't see it.,Je ne la vois pas.,I don't see it.,True
19,You don't trust me.,Vous n'avez pas confiance en moi.,You don't trust me.,True
21,I don't know you!,Je ne vous connais pas!,I don't know you!,True
23,We don't have it.,Nous ne l'avons pas.,We don't have it.,True
24,They don't believe me.,Ils ne me croyez pas.,They don't believe me.,True
25,I don't believe her.,Je ne la crois pas.,I don't believe her.,True
28,You don't need her.,Vous n'avez pas besoin d'elle.,You don't need her.,True
35,You don't remember me.,Vous ne vous souvenez pas de moi.,You don't remember me.,True
37,We don't use it.,Nous ne l'utilisons pas.,We don't use it.,True
42,You don't believe me.,Vous ne me croyez pas.,You don't believe me.,True
45,I don't see them.,Je ne les vois pas.,I don't see them.,True
47,You don't feel it.,Vous ne le sentez pas.,You don't feel it.,True
48,I don't understand myself.,Je ne comprends pas moi-même.,I don't understand myself.,True
49,We don't know you.,Nous ne vous connaissent pas.,We don't know you.,True
50,I don't remember you.,Je ne me souviens pas de vous.,I don't remember you.,True
52,They don't know you.,Ils ne vous connaissent pas.,They don't know you.,True
53,They don't have it.,Ils ne l'ont pas.,They don't have it.,True
54,You don't see it.,Vous ne le voyez pas.,You don't see it.,True
56,I don't remember her.,Je ne me souviens pas de son.,I don't remember her.,True
57,You don't know him!,Vous ne savez pas lui!,You don't know him!,True
64,I don't need a doctor.,Je n'ai pas besoin d'un médecin.,I don't need a doctor.,True
65,I don't need a shower.,Je n'ai pas besoin d'une douche.,I don't need a shower.,True
67,I don't need a job.,Je n'ai pas besoin d'un emploi.,I don't need a job.,True
68,You don't have a girlfriend.,Vous n'avez pas de petite amie.,You don't have a girlfriend.,True
70,I don't have a plan.,Je n'ai pas de plan.,I don't have a plan.,True
72,I don't understand the question.,Je ne comprends pas la question.,I don't understand the question.,True
74,I don't like this game.,Je n'aime pas ce jeu.,I don't like this game.,True
75,I don't have a husband.,Je n'ai pas de mari.,I don't have a husband.,True
76,I don't like this place.,Je n'aime pas cet endroit.,I don't like this place.,True
77,I don't have a list.,Je n'ai pas de liste.,I don't have a list.,True
78,I don't have a job.,Je n'ai pas de travail.,I don't have a job.,True
81,You don't have a car.,Vous n'avez pas de voiture.,You don't have a car.,True
82,I don't have a problem.,Je n'ai pas de problème.,I don't have a problem.,True
83,I don't have a son.,Je n'ai pas de fils.,I don't have a son.,True
84,I don't have a brother.,Je n'ai pas de frère.,I don't have a brother.,True
85,I don't have any cash.,Je n'ai pas de trésorerie.,I don't have any cash.,True
86,I don't have a father.,Je n'ai pas de père.,I don't have a father.,True
88,I don't have a gun.,Je n'ai pas de pistolet.,I don't have a gun.,True
89,I don't need another friend,Je n'ai pas besoin d'un autre ami,I don't need another friend,True
91,I don't have a phone.,Je n'ai pas de téléphone.,I don't have a phone.,True
92,You don't need a coat.,Vous n'avez pas besoin d'un manteau.,You don't need a coat.,True
93,I don't have a daughter.,Je n'ai pas de fille.,I don't have a daughter.,True
97,You don't miss me.,Vous ne manquez pas de moi.,You don't miss me.,True
98,I don't have a key.,Je n'ai pas de clé.,I don't have a key.,True
99,I don't have a husband.,Je n'ai pas de mari.,I don't have a husband.,True
100,I don't like this book.,Je n'aime pas ce livre.,I don't like this book.,True
101,I don't have a pen.,Je n'ai pas de stylo.,I don't have a pen.,True
102,I don't have a mother.,Je n'ai pas de mère.,I don't have a mother.,True
103,I don't remember the name.,Je ne me souviens pas le nom.,I don't remember the name.,True
105,I don't like this house.,Je n'aime pas cette maison.,I don't like this house.,True
106,I don't need a doctor.,Je n'ai pas besoin d'un médecin.,I don't need a doctor.,True
107,I don't have a son.,Je n'ai pas de fils.,I don't have a son.,True
108,I don't need a dance.,Je n'ai pas besoin d'une danse.,I don't need a dance.,True
110,You don't know a thing,Vous ne savez pas une chose,You don't know a thing,True
112,We don't have a minute.,Nous n'avons pas une minute.,We don't have a minute.,True
114,I don't need a teacher.,Je n'ai pas besoin d'un professeur.,I don't need a teacher.,True
115,You don't need a reason,Vous n'avez pas besoin d'une raison,You don't need a reason,True
116,We don't need a reason,Nous n'avons pas besoin d'une raison,We don't need a reason,True
118,I don't feel any pain,Je ne ressens aucune douleur,I don't feel any pain,True
119,I don't need a computer,Je n'ai pas besoin d'un ordinateur,I don't need a computer,True
122,She doesn't believe me.,Elle ne me croyez pas.,She doesn't believe me.,True
125,He doesn't need you.,Il n'a pas besoin de vous.,He doesn't need you.,True
126,You don't need talent.,Vous n'avez pas besoin de talent.,You don't need talent.,True
127,You don't know anything.,Vous ne savez pas quoi que ce soit.,You don't know anything.,True
129,You don't eat meat.,Vous ne mangez pas de viande.,You don't eat meat.,True
130,I don't want tea.,Je ne veux pas de thé.,I don't want tea.,True
131,You don't know anyone.,Vous ne connaissez personne.,You don't know anyone.,True
132,I don't like coffee.,Je n'aime pas le café.,I don't like coffee.,True
133,I don't need help.,Je n'ai pas besoin d'aide.,I don't need help.,True
136,We don't have anything.,Nous n'avons pas de quoi que ce soit.,We don't have anything.,True
137,I don't need luck.,Je n'ai pas besoin de chance.,I don't need luck.,True
138,I don't feel anything.,Je ne ressens rien.,I don't feel anything.,True
140,I don't need anyone!,Je n'ai pas besoin de personne!,I don't need anyone!,True
141,I don't watch TV.,Je ne regarde pas la TÉLÉ.,I don't watch TV.,True
143,I don't remember anything.,Je ne me souviens pas de quoi que ce soit.,I don't remember anything.,True
144,I don't need to work.,Je n'ai pas besoin de travailler.,I don't need to work.,True
146,I don't like tea.,Je n'aime pas le thé.,I don't like tea.,True
149,You don't remember anything,Vous ne vous souvenez de rien,You don't remember anything,True
150,They don't agree.,Ils ne sont pas d'accord.,They don't agree.,True
151,You don't understand!,Vous ne comprenez pas!,You don't understand!,True
155,I don't understand!,Je ne comprends pas!,I don't understand!,True
156,They don't work.,Ils ne travaillent pas.,They don't work.,True
158,You don't drink.,Vous ne buvez pas.,You don't drink.,True
159,I don't smoke.,Je ne fume pas.,I don't smoke.,True
160,You don't talk.,Vous ne parlez pas.,You don't talk.,True
162,They don't understand.,Ils ne comprennent pas.,They don't understand.,True
163,We don't talk.,Nous ne parlons pas.,We don't talk.,True
165,I don't speak Italian.,Je ne parle pas l'italien.,I don't speak Italian.,True
166,We don't stop.,Nous ne nous arrêtons pas.,We don't stop.,True
167,I don't sing.,Je ne chante pas.,I don't sing.,True
168,We don't know!,Nous ne savons pas!,We don't know!,True
169,I don't want to eat.,Je ne veux pas manger.,I don't want to eat.,True
170,We don't know what to do.,Nous ne savons pas quoi faire.,We don't know what to do.,True
171,They don't look dangerous.,Ils n'ont pas l'air dangereux.,They don't look dangerous.,True
173,I don't feel special.,Je ne me sens pas spéciale.,I don't feel special.,True
175,You don't look surprised.,Vous n'avez pas l'air surpris.,You don't look surprised.,True
177,You don't look happy.,Vous n'avez pas l'air heureux.,You don't look happy.,True
179,I don't know what to believe.,Je ne sais pas quoi croire.,I don't know what to believe.,True
183,She doesn't remember him.,Elle ne se souvient pas de lui.,She doesn't remember him.,True
188,He doesn't like me.,Il ne m'aime pas.,He doesn't like me.,True
193,It doesn't matter.,Il n'a pas d'importance.,It doesn't matter.,True
195,She doesn't hate you.,Elle ne les déteste pas vous.,She doesn't hate you.,True
204,He doesn't believe us.,Il ne nous croyez pas.,He doesn't believe us.,True
211,It doesn't make me happy.,Cela ne me rend pas heureux.,It doesn't make me happy.,True
214,She doesn't believe you.,Elle ne vous crois pas.,She doesn't believe you.,True
220,She doesn't need money.,Elle n'a pas besoin d'argent.,She doesn't need money.,True
221,She doesn't like fun.,Elle n'aime pas amusant.,She doesn't like fun.,True
222,She doesn't like chocolate.,Elle n'aime pas le chocolat.,She doesn't like chocolate.,True
223,She doesn't use sugar.,Elle n'utilise pas de sucre.,She doesn't use sugar.,True
225,He doesn't like pasta.,Il n'aime pas les pâtes.,He doesn't like pasta.,True
226,She doesn't like cheese!,Elle n'aime pas le fromage!,She doesn't like cheese!,True
228,She doesn't drink tea.,Elle ne boit pas de thé.,She doesn't drink tea.,True
229,He doesn't eat meat.,Il ne mange pas de viande.,He doesn't eat meat.,True
230,She doesn't remember anything.,Elle ne se rappelle de rien.,She doesn't remember anything.,True
231,I don't want to talk about it!,Je ne veux pas en parler!,I don't want to talk about it!,True
232,I don't want to be like you.,Je ne veux pas être comme vous.,I don't want to be like you.,True
233,I don't want to work with you.,Je ne veux pas travailler avec vous.,I don't want to work with you.,True
234,I don't want to worry about you.,Je ne veux pas vous soucier de vous.,I don't want to worry about you.,True
235,You don't want to study with her.,Tu ne veux pas étudier avec elle.,You don't want to study with her.,True
237,I don't want to sing with you.,Je n'ai pas envie de chanter avec vous.,I don't want to sing with you.,True
238,I don't want to go with them.,Je ne veux pas aller avec eux.,I don't want to go with them.,True
241,I don't want to live without you.,Je ne veux pas vivre sans toi.,I don't want to live without you.,True
242,I don't want to dance with you.,Je ne veux pas danser avec vous.,I don't want to dance with you.,True
246,We don't have time to travel.,Nous n'avons pas le temps de voyager.,We don't have time to travel.,True
247,I don't have time to dream.,Je n'ai pas le temps de rêver.,I don't have time to dream.,True
248,I don't know anything about those messages.,Je ne sais rien à propos de ces messages.,I don't know anything about those messages.,True
251,I'm sure she doesn't remember me.,Je suis sûr qu'elle ne se souvient pas de moi.,I'm sure she doesn't remember me.,True
253,I'm not even sure that's possible.,Je ne suis même pas sûr que c'est possible.,I'm not even sure that's possible.,True
254,I'm not sure that's true.,Je ne suis pas sûr que ce soit vrai.,I'm not sure that's true.,True
259,I don't think he's right.,Je ne pense pas qu'il a raison.,I don't think he's right.,True
262,"Dorothy, we don't have much time.","Dorothy, nous n'avons pas beaucoup de temps.","Dorothy, we don't have much time.",True
264,You don't have your bag.,Vous n'avez pas votre sac.,You don't have your bag.,True
265,He doesn't like to answer questions.,Il n'aime pas répondre aux questions.,He doesn't like to answer questions.,True
266,She doesn't want to wear glasses.,Elle ne veut pas porter des lunettes.,She doesn't want to wear glasses.,True
268,We don't know and we don't ask.,On ne sait pas et on ne demande pas.,We don't know and we don't ask.,True
270,She's not here today.,Elle n'est pas là aujourd'hui.,She's not here today.,True
272,It doesn't really matter.,Il n'a pas vraiment d'importance.,It doesn't really matter.,True
273,You don't always agree with me.,Vous n'avez pas toujours d'accord avec moi.,You don't always agree with me.,True
275,I don't always disagree with you!,Je ne suis pas toujours en désaccord avec vous!,I don't always disagree with you!,True
276,He doesn't like to play games.,Il n'aime pas jouer à des jeux.,He doesn't like to play games.,True
277,"Sorry, I'm really not hungry.","Désolé, je ne suis vraiment pas faim.","Sorry, I'm really not hungry.",True
279,Sometimes I don't understand myself.,Parfois je ne comprends pas moi-même.,Sometimes I don't understand myself.,True
280,I'm sure he doesn't hate you.,Je suis sûr qu'il ne les déteste pas vous.,I'm sure he doesn't hate you.,True
281,I'm sure he doesn't like you.,Je suis sûr qu'il ne vous aime pas.,I'm sure he doesn't like you.,True
282,I don't have time for these games.,Je n'ai pas le temps pour ces jeux.,I don't have time for these games.,True
284,He doesn't want to talk to you.,Il ne veut pas vous parler.,He doesn't want to talk to you.,True
287,I don't agree with you.,Je ne suis pas d'accord avec vous.,I don't agree with you.,True
288,They don't have a cat.,Ils n'ont pas un chat.,They don't have a cat.,True
