,English text,en_fr_yandex_tr,fr_en_yandex_tr,correct_translation
63,I hear you.,Je vous entends.,I can hear you.,False
64,I love my son!,J'aime mon fils!,I love my son!,True
65,I love her smile.,J'adore son sourire.,I love her smile.,True
66,I like your work.,J'aime votre travail.,I like your work.,True
67,I need your signature.,J'ai besoin de votre signature.,I need your signature.,True
68,I love his music.,J'adore sa musique.,I love his music.,True
69,I see your face.,Je vois votre visage.,I see your face.,True
70,I know my daughter.,Je sais que ma fille.,I know my daughter.,True
71,I recognize your voice.,Je reconnais votre voix.,I recognize your voice.,True
72,I understand your concern.,Je comprends votre préoccupation.,I understand your concern.,True
73,I grab my phone.,Je me saisis de mon téléphone.,I'm taking my phone.,False
74,I like my life.,J'aime ma vie.,I love my life.,False
75,I take her hand.,Je lui prends la main.,I'll take his hand.,False
76,I know your secret.,Je connais ton secret.,I know your secret.,True
77,I need my money.,J'ai besoin de mon argent.,I need my money.,True
78,I love your hair.,J'adore vos cheveux.,I love your hair.,True
79,I like your suit.,J'aime votre costume.,I like your suit.,True
80,I need your protection,J'ai besoin de votre protection,I need your protection,True
81,They need your help.,Ils ont besoin de votre aide.,They need your help.,True
82,You love your family.,Vous aimez votre famille.,You love your family.,True
83,I remember her smile.,Je me souviens de son sourire.,I remember her smile.,True
84,You know his family.,Vous connaissez sa famille.,You know his family.,True
85,I like your house.,J'aime votre maison.,I like your house.,True
86,I miss my family.,Je m'ennuie de ma famille.,I miss my family.,True
87,I like your skirt.,J'aime ta jupe.,I like your skirt.,True
88,I call my doctor.,- Je appeler mon médecin., I call my doctor.,False
89,I see his mom.,Je vois sa maman.,I see his mom.,True
90,You hear my voice,Vous entendez ma voix,You hear my voice,True
91,I take her home,Je l'emmène à la maison,I'm taking her home.,False
92,I know something.,J'en sais quelque chose.,I know that.,False
93,You look fine.,Vous avez l'air fin.,You look good.,False
94,I prefer cash.,Je préfère de trésorerie.,I prefer cash.,True
95,You need help.,Vous avez besoin d'aide.,You need help.,True
96,I love ice-cream.,J'aime la crème glacée.,I like ice cream.,False
97,I need coffee.,J'ai besoin de café.,I need coffee.,True
98,We do nothing.,Nous ne faisons rien.,We're not doing anything.,False
99,I like pizza.,J'aime la pizza.,I like pizza.,True
100,I feel something.,Je sens quelque chose.,I feel something.,True
101,I like everything.,J'aime tout.,I like everything.,True
102,I like music.,J'aime la musique.,I like music.,True
103,I know maths.,Je connais les maths.,I know math.,False
104,My news is good.,Mes nouvelles sont bonnes.,My news is good.,True
105,This is a game.,C'est un jeu.,It's a game.,False
106,This is a clothes shop.,C'est un magasin de vêtements.,It's a clothing store.,False
107,This is a police station.,C'est un poste de police.,It's a police station.,False
108,This is a birthday cake.,C'est un gâteau d'anniversaire.,It's a birthday cake.,False
109,This is a mountain lion.,C'est un lion de montagne.,It's a mountain lion.,False
110,This is an example.,C'est un exemple.,It's an example.,False
111,This is a wakeup call.,C'est un appel de réveil.,It's a wake-up call.,False
112,Her name is Maya.,Elle s'appelle Maya.,Her name is Maya.,True
113,Your order is ready.,Votre commande est prête.,Your order is ready.,True
114,My family is fine.,Ma famille est très bien.,My family is fine.,True
115,His problem is simple.,Son problème est simple.,His problem is simple.,True
116,His story is strange.,Son histoire est étrange.,His story is Strange.,False
117,My battery is low.,Ma batterie est faible.,My battery's low.,False
118,Her mother is French.,Sa mère est française.,Her mother is French.,True
119,My son is sick.,Mon fils est malade.,My son is sick.,True
120,My father is Italian.,Mon père est italien.,My father is Italian.,True
121,Your plan is ready.,Votre plan est prêt.,Your plan is ready.,True
122,She's here in the kitchen.,Elle est là dans la cuisine.,She's in the kitchen.,False
123,Your brother looks happy.,Votre frère est heureux.,Your brother is happy.,False
124,My name is Brown!,Mon nom est Brun!,My Name Is Brown!,False
125,His shop is open.,Sa boutique est ouverte.,His shop is open.,True
126,Your friend is right,Votre ami a raison,Your friend is right,True
127,He works a lot.,Il travaille beaucoup.,He works a lot.,True
128,She's a very beautiful woman.,C'est une très belle femme.,She's a very beautiful woman.,True
129,He's a really good snowboarder.,C'est vraiment un bon surfeur.,He's a really good surfer.,False
130,He's a very nice man.,Il est un homme très gentil.,He's a very nice man.,True
131,It's a sad song.,C'est une chanson triste.,It's a sad song.,True
132,He's a very old friend.,C'est un très vieil ami.,He's a very old friend.,True
133,It is a very difficult problem.,C'est un problème très difficile.,This is a very difficult problem.,False
134,It's a really simple story.,C'est vraiment une histoire simple.,It's really a simple story.,False
135,He has a really interesting job.,Il a vraiment un travail intéressant.,It was really an interesting job.,False
136,It's a very good book.,C'est un très bon livre.,It's a very good book.,True
137,It's a simple design.,C'est une conception simple.,It's a simple design.,True
138,It's a very interesting book.,C'est un livre très intéressant.,It's a very interesting book.,True
139,She's a very strange woman.,Elle est une femme très étrange.,She's a very strange woman.,True
140,She's a really good mom.,C'est une très bonne maman.,She's a very good mom.,False
141,It's a very simple meal.,C'est un très simple repas.,It's a very simple meal.,True
142,It is a very good job.,C'est du très bon travail.,It's very good work.,False
143,It's a very important thing.,C'est une chose très importante.,It's a very important thing.,True
144,He's a clever guy.,Il est un gars intelligent.,He's a smart guy.,False
145,It's a very difficult language.,Il est très difficile de la langue.,It is very difficult of language.,False
146,He's a very bad teacher.,C'est un très mauvais professeur.,He's a terrible teacher.,False
147,He is a very clever man.,Il est un homme très intelligent.,He's a very smart man.,False
148,He's a very good man.,C'est un très bon homme.,He's a very good man.,True
149,It's a long journey.,C'est un long voyage.,It's a long trip.,False
150,She lives around the corner.,Elle habite au coin de la rue.,She lives around the corner.,True
151,She's still in the office.,Elle est toujours au bureau.,She's still at the office.,False
152,She's alone in this city.,Elle est seule dans cette ville.,She's alone in this town.,False
153,She works as a nurse.,Elle travaille comme infirmière.,She works as a nurse.,True
154,He's still in the building!,Il est toujours dans le bâtiment!,He's still in the building!,True
155,She looks at the painter.,Elle regarde le peintre.,She's looking at the painter.,False
156,He's still in the room.,Il est toujours dans la chambre.,He's still in the room.,True
157,She lives alone in that room.,Elle vit seule dans cette chambre.,She lives alone in this room.,False
158,"Hello, John, how are you?","Bonjour, Jean, comment êtes-vous?","Hello, John, how are you?",True
159,I'm sure you're right.,Je suis sûr que vous avez raison.,I'm sure you're right.,True
160,I'm glad you're here too.,Je suis heureux que vous soyez ici aussi.,"I'm glad you're here, too.",False
161,I'm sorry I'm so late.,"Je suis désolé, je suis tellement en retard.",I'm sorry I'm so late.,True
162,I'm late for work.,Je suis en retard pour le travail.,I'm late for work.,True
163,I'm ready for a long journey.,Je suis prêt pour un long voyage.,I'm ready for a long trip.,False
164,I'm ready for the next question.,Je suis prêt pour la prochaine question.,I'm ready for the next question.,True
165,He usually comes back at midnight.,Il vient généralement de retour à minuit.,He usually comes back at midnight.,True
166,I even enjoy it sometimes.,J'ai même profiter d'elle parfois.,I even took advantage of her sometimes.,False
167,I usually see him on weekends.,J'ai l'habitude de le voir le week-end.,I'm used to seeing him on weekends.,False
168,They never show it in movies.,Ils ne le montrent jamais dans les films.,They never show it in the movies.,False
169,I just always order steak.,Je commande toujours un steak.,I always order a steak.,False
170,We often play football or volleyball.,Nous jouons souvent au football ou au volley-ball.,We often play soccer or volleyball.,False
171,We usually drink cola and dance.,"D'habitude, on boit du cola et on danse.",We usually drink cola and dance.,True
172,I usually eat soup and salad.,"D'habitude, je mange de la soupe et de la salade.",I usually eat soup and salad.,True
173,I always drink wine or coffee.,Je bois toujours du vin ou du café.,I always drink wine or coffee.,True
174,They are late for lessons.,Ils sont en retard pour les cours.,They're late for class.,False
175,I'm afraid of ghosts.,J'ai peur des fantômes.,I'm afraid of ghosts.,True
176,I only eat meat and chocolate.,Je ne mange que de la viande et du chocolat.,I only eat meat and chocolate.,True
177,I'm tired of parks.,Je suis fatigué de parcs.,I'm tired of parks.,True
178,I'm tired of people,Je suis fatigué de gens,I'm tired of people,True
179,You're full of questions.,Vous êtes plein de questions.,You're full of questions.,True
180,I'm interested in robots.,Je suis intéressé par des robots.,I'm interested in robots.,True
181,I am interested in computers.,Je suis intéressé par les ordinateurs.,I'm interested in computers.,False
182,I'm afraid of horses.,J'ai peur des chevaux.,I'm afraid of horses.,True
183,I'm tired of secrets.,Je suis fatigué de secrets.,I'm tired of secrets.,True
184,I'm afraid of snakes.,J'ai peur des serpents.,I'm afraid of snakes.,True
185,I like flowers very much.,J'aime les fleurs de beaucoup.,I like flowers very much.,True
186,I am interested in people.,Je suis intéressé par les gens.,I'm interested in people.,False
187,I'm afraid of airplanes.,J'ai peur des avions.,I'm afraid of airplanes.,True
188,You're afraid of spiders!,Vous avez peur des araignées!,You're afraid of spiders!,True
189,You are a very clever girl.,Vous êtes un très fille intelligente.,You're a very smart girl.,False
190,I live a very simple life.,Je vis une vie très simple.,I live a very simple life.,True
191,You have a very nice room.,Vous avez une très belle chambre.,You have a very nice room.,True
192,I am a very friendly person.,Je suis une personne très sympathique.,I'm a very nice person.,False
193,We're a good team.,Nous sommes une bonne équipe.,We're a good team.,True
194,We're a very big family.,Nous sommes une très grande famille.,We're a very big family.,True
195,I'm a really good listener.,Je suis un bon auditeur.,I'm a good listener.,False
196,You're a very good actress.,Vous êtes une très bonne actrice.,You're a very good actress.,True
197,I'm a very patient man.,Je suis un homme très patient.,I'm a very patient man.,True
198,I have a pretty good idea,J'ai une assez bonne idée,I have a pretty good idea,True
199,Meetings are usually boring.,Les réunions sont ennuyeuses.,Meetings are boring.,False
200,That car is too expensive.,Cette voiture est trop cher.,This car is too expensive.,False
201,This programme is very popular in our country.,Ce programme est très populaire dans notre pays.,This program is very popular in our country.,False
202,She probably needs help.,Elle a probablement besoin d'aide.,She probably needs help.,True
203,She often works for twelve hours.,Elle travaille souvent douze heures.,She often works twelve hours.,False
204,It sometimes rains and it often snows.,Il pleut parfois et il neige souvent.,It rains sometimes and it snows often.,False
205,It often snows here in winter.,Il neige souvent en hiver.,It often snows in winter.,False
206,He always comes alone at night.,"Il vient toujours seul, la nuit.",He always comes alone at night.,True
207,He never says anything bad about you.,Il ne dit jamais rien de mal de toi.,He never says anything bad about you.,True
208,It's nice to meet you guys.,C'est agréable de vous rencontrer les gars.,It's nice to meet you guys.,True
209,I'm afraid I'm very late.,Je crains que je suis très en retard.,I'm afraid I'm very late.,True
210,He is in the supermarket.,Il est dans le supermarché.,He's in the supermarket.,False
211,We like your work.,Nous aimons votre travail.,We love your work.,False
212,I like your music.,J'aime votre musique.,I like your music.,True
213,I send her postcards.,Je lui envoyer des cartes postales.,I'm sending her postcards.,False
214,I am a teacher.,Je suis un enseignant.,I'm a teacher.,False
215,She is in the bedroom.,Elle est dans la chambre à coucher.,She's in the bedroom.,False
216,I thank you for your help.,Je vous remercie pour votre aide.,Thank you for your help.,False
217,I help her.,Je l'aide.,I'm helping him.,False
218,We like your school.,Nous aimons votre école.,We love your school.,False
219,I love her songs.,J'aime ses chansons.,I like his songs.,False
220,I like your dress.,J'aime votre robe.,I like your dress.,True
221,I enjoy swimming.,J'ai profiter de la baignade.,I enjoyed swimming.,False
222,We cook dinner.,Nous préparons le repas.,We prepare the meal.,False
223,I hold his hand.,Je tiens sa main.,I'm holding her hand.,False
224,I listen to music.,J'écoute de la musique.,I listen to music.,True
225,You hear my song.,Vous écouter ma chanson.,You listen to my song.,False
226,My sister is funny.,Ma sœur est marrante.,My sister's funny.,False
227,This is my friend.,C'est mon ami.,He's my friend.,False
228,This is my favourite salad.,C'est mon préféré de la salade.,It's my favorite salad.,False
229,It's a very simple rule.,C'est une règle très simple.,It's a very simple rule.,True
230,He is a good worker.,Il est un bon travailleur.,He's a good worker.,False
231,He always wants to help.,Il veut toujours aider.,He always wants to help.,True
232,This task is very difficult.,Cette tâche est très difficile.,This is a very difficult task.,False
233,He works very well.,Il fonctionne très bien.,It works very well.,False
234,I like jeans.,J'aime les jeans.,I like jeans.,True
235,I remember her.,Je me souviens d'elle.,I remember her.,True
236,This film is not very interesting.,Ce film n'est pas très intéressant.,This movie is not very interesting.,False
237,You surprise me everyday.,Tu me surprends tous les jours.,You surprise me every day.,False
238,I really love animals.,J'aime vraiment les animaux.,I really like animals.,False
239,You talk to him.,Vous lui parlez.,You're talking to him.,False
240,I call him.,Je l'appelle.,I'll call him.,False
241,You love him.,Votre amour pour lui.,Your love for him.,False
242,You love me.,Vous m'aimez.,You love me.,True
243,You dance very well.,Vous dansez très bien.,You dance very well.,True
244,I have an elder brother.,J'ai un frère aîné.,I have an older brother.,False
245,I know about this situation.,Je sais à propos de cette situation.,I know about this situation.,True
246,I am sorry for that.,Je suis désolé pour ça.,I'm sorry about that.,False
0,When do we go?,Quand allons-nous?,When are we going?,False
1,Where do you run?,Où courez-vous?,Where are you running to?,False
2,How do I answer?,Comment dois-je répondre?,How do I answer?,True
3,How do you play?,Comment voulez-vous jouer?,How do you want to play?,False
4,How do they work?,Comment fonctionnent-ils?,How do they work?,True
5,Where do you turn?,Où vous tournez-vous?,Where do you turn?,True
6,How do we grow?,Comment pouvons-nous développer?,How can we develop?,False
7,Where do they live?,Où vivent-ils?,Where do they live?,True
8,How do you choose?,Comment choisissez-vous?,How do you choose?,True
9,Do you have another card?,Vous avez une autre carte?,You have another card?,False
10,Do you have a passport?,Avez-vous un passeport?,Do you have a passport?,True
11,Do you have a doctor?,Avez-vous un médecin?,Do you have a doctor?,True
12,Do you want the truth?,Voulez-vous la vérité?,Do you want the truth?,True
13,Where does it end?,Où prend-elle fin?,Where does it end?,True
14,Where does he sleep?,Où prend-il dormir?,Where does he sleep?,True
15,How does she look?,Comment fait-elle chercher?,How's she looking?,False
16,How does it work?,Comment ça fonctionne?,How does it work?,True
17,How does it happen?,Comment se fait-il?,How come?,False
18,Why does it rain?,Pourquoi pleut-il?,Why is it raining?,False
19,Where does she live?,Où est-elle vivre?,Where is she living?,False
20,How does it begin?,Comment est-il commencer?,How did it start?,False
21,Where does she work?,Où est-elle?,Where is she?,False
22,How does he look?,Comment se fait-il regarder?,How did it look?,False
23,Why does it happen?,Pourquoi se produit-il?,Why is it happening?,False
24,How does she know?,Comment fait-elle savoir?,How does she know?,True
25,Where does he work?,Où veut-il travailler?,Where does he work?,True
26,Do you have the money?,Avez-vous l'argent?,Do you have the money?,True
27,How does it sound?,Comment est-il du son?,How's that sound?,False
28,Why does she stay?,Pourquoi a-t-elle rester?,Why did she stay?,False
29,Why do you care?,Pourquoi s'en faire?,Why worry?,False
30,When do you start?,Quand commencez-vous?,When do you start?,True
31,Where do they go?,Où vont-ils?,Where are they going?,False
32,How do they do it?,Comment font-ils?,How do they do that?,False
33,Where do I go?,Où dois-je aller?,Where do I go?,True
34,Why do you cry?,Pourquoi pleurez-vous?,Why are you crying?,False
35,Where do you sleep?,Où dormez-vous?,Where do you sleep?,True
36,When do you begin?,Quand pensez-vous commencer?,When do you start?,False
37,Why do you lie?,Pourquoi avez-vous le mensonge?,Why did you lie?,False
38,Do you have a phone?,Avez-vous un téléphone?,Do you have a phone?,True
39,Do you have any coffee?,Avez-vous le café?,Do you have the coffee?,False
40,Do you have the address?,Avez-vous l'adresse?,Do you have the address?,True
41,Do you have a photo?,Avez-vous une photo?,Do you have a picture?,False
42,Do you have a dog?,Avez-vous un chien?,Do you have a dog?,True
43,Do you have a ticket?,Avez-vous un billet?,Do you have a ticket?,True
44,Do you have a knife?,Avez-vous un couteau?,Do you have a knife?,True
45,Do you have a picture?,Avez-vous une photo?,Do you have a picture?,True
46,Do you have any cash?,Avez-vous de l'argent?,Do you have any money?,False
47,Do we have a plan?,Avons-nous un plan?,Do we have a plan?,True
48,Do you have any water?,Avez-vous de l'eau?,Do you have any water?,True
49,Do you have a choice?,Avez-vous un choix?,Do you have a choice?,True
50,Do you have a dollar?,Avez-vous un dollar?,Do you have a dollar?,True
51,Do you have a map?,Avez-vous une carte?,Do you have a map?,True
52,Do you have a brother?,Avez-vous un frère?,Do you have a brother?,True
53,Do we have a problem?,Avons-nous un problème?,We have a problem?,False
54,Do you have any change?,Vous avez de la monnaie?,Do you have change?,False
55,Do you have a cow?,Avez-vous une vache?,Do you have a cow?,True
56,Do I need a doctor?,Ai-je besoin d'un médecin?,Do I need a doctor?,True
57,How do you see me?,Comment voulez-vous me voir?,How do you want to see me?,False
58,How do you know it?,Comment le savez-vous?,How do you know?,False
59,How do you say it?,Comment voulez-vous dire?,How do you mean?,False
60,How do I stop it?,Comment puis-je l'arrêter?,How can I stop it?,False
61,Where do you put it?,Où avez-vous le mettre?,Where did you put it?,False
62,How do you explain it?,Comment expliquez-vous cela?,How do you explain that?,False
63,How do you clean it?,Comment voulez-vous nettoyer?,How do you clean it?,True
64,Why do I do it?,Pourquoi dois-je le faire?,Why do I have to?,False
65,How do we stop it?,Comment pouvons-nous l'arrêter?,How can we stop it?,False
66,Why do you help me?,Pourquoi avez-vous m'aider?,Why did you help me?,False
67,How do I contact you?,Comment puis-je vous contacter?,How can I contact you?,False
68,How do you change it?,Comment voulez-vous changer?,How do you want to change?,False
69,Why do you need it?,Pourquoi avez-vous besoin?,What do you need?,False
70,How do we study it?,Comment pouvons-nous étudier?,How can we study?,False
71,How do we stop him?,Comment pouvons-nous arrêter?,How can we stop?,False
72,Why do you hate me?,Pourquoi détestez-vous de moi?,Why do you hate me?,True
73,How do you use it?,Comment l'utilisez-vous?,How do you use it?,True
74,Why do you hate it?,Pourquoi détestez-vous il?,Why do you hate him?,False
75,Why do you love him?,Pourquoi l'aimez-vous?,Why do you love him?,True
76,Why do you ask me?,Pourquoi tu me le Demandes?,Why are you asking me?,False
77,Why do you want it?,Pourquoi voulez-vous?,Why do you want to?,False
78,When do you need it?,Quand avez-vous besoin?,When do you need it?,True
79,Why do you do it?,Pourquoi faites-vous cela?,Why are you doing this?,False
80,What do I wear?,Que dois-je porter?,What should I wear?,False
81,What do you study?,Que pensez-vous de l'étude?,What do you think of the study?,False
82,What do you plan?,Que prévoyez-vous?,What are you planning?,False
83,Who do we love?,De qui avons-nous l'amour?,Whose love do we have?,False
84,What do they think?,Que pensent-ils?,What do they think?,True
85,What do they see?,Que voient-ils?,What do they see?,True
86,What do you look for?,Que recherchez-vous?,What are you looking for?,False
87,What do we think?,Que pensons-nous?,What do we think?,True
88,What do you listen to?,Qu'écoutez-vous?,What are you listening to?,False
89,What do you remember?,Que vous rappelez-vous?,What do you remember?,True
90,What do you advise?,Que conseillez-vous?,What do you suggest?,False
91,What do I have?,Que dois-je?,What should I do?,False
92,What do they need?,De quoi ont-ils besoin?,What do they need?,True
93,What do you learn?,Qu'apprenez-vous?,What do you learn?,True
94,Who do you see?,Qui voyez-vous?,Who do you see?,True
95,What do you eat?,Que voulez-vous manger?,What would you like to eat?,False
96,What do I feel?,Comment je me sens?,How am I feeling?,False
97,What do you give me?,Que voulez-vous me donner?,What do you want to give me?,False
98,What do you mean?,Que voulez-vous dire?,What do you mean?,True
99,What do you want?,Que voulez-vous?,What do you want?,True
100,What do you sell?,Que voulez-vous vendre?,What do you want to sell?,False
101,What do we see?,Que voyons-nous?,What do we see?,True
102,What do you get?,Qu'obtenez-vous?,What do you get?,True
103,What do I see?,Que vois-je?,What do I see?,True
104,What do you understand?,Qu'entendez-vous?,What do you hear?,False
105,What do they say?,Que disent-ils?,What are they saying?,False
106,What do I win?,Que dois-je gagner?,What should I win?,False
107,What do you offer?,Que proposez vous?,What do you propose?,False
108,What do we have?,Qu'avons-nous?,What have we got?,False
109,What do we get?,Qu'obtenons-nous?,What do we get?,True
110,What do you feel?,Que ressentez-vous?,How do you feel?,False
111,What do you do?,Que faites-vous?,What do you do?,True
112,What do we know?,Que savons-nous?,What do we know?,True
113,What do you know?,Que savez-vous?,What do you know?,True
114,What do you say?,Qu'en dites-vous?,What do you think?,False
115,What do you drink?,Que voulez-vous boire?,What would you like to drink?,False
116,What do you think?,Qu'en pensez-vous?,What do you think?,True
117,What are you afraid of?,De quoi avez-vous peur?,What are you afraid of?,True
118,What do you mean?,Que voulez-vous dire?,What do you mean?,True
119,Why do we try?,Pourquoi essayons-nous?,Why are we trying?,False
120,How do you answer?,Comment pouvez-vous répondre?,How can you answer?,False
121,How do I decide?,Comment puis-je décider?,How do I decide?,True
122,Where do we stand?,Où en sommes-nous?,Where are we?,False
123,When do I leave?,Quand dois-je partir?,When do I leave?,True
124,How do I help you?,Comment puis-je vous aider?,How can I help you?,False
125,Why do you stay?,Pourquoi restez-vous?,Why are you staying?,False
126,Why do you stop?,Pourquoi avez-vous l'arrêter?,Why did you stop him?,False
127,When do we eat?,Quand allons-nous manger?,When are we going to eat?,False
128,When do I go?,Quand dois-je aller?,When should I go?,False
129,How do we continue?,Comment pouvons-nous continuer?,How can we go on?,False
130,Where's the money?,Où est l'argent?,Where's the money?,True
131,Where is the manager?,Où est le gestionnaire?,Where's the manager?,False
132,Where's the key?,Où est la clé?,Where's the key?,True
133,Where's the kitchen?,Où est la cuisine?,Where's the kitchen?,True
134,Where's the shower?,Où est la douche?,Where's the shower?,True
135,How is the lunch?,Comment est le déjeuner?,How's lunch?,False
136,Where's the hospital?,Où est l'hôpital?,Where's the hospital?,True
137,How is the baby?,Comment est le bébé?,How's the baby?,False
138,Where is the calculator?,Où est la calculatrice?,Where's the calculator?,False
139,Where is the umbrella?,Où est le parapluie?,Where's the umbrella?,False
140,Where is the pen?,Où est la plume?,Where's the feather?,False
141,Where is the phone?,Où est le téléphone?,Where's the phone?,False
142,Why does he hide?,Pourquoi fait-il le cacher?,Why is he hiding it?,False
143,Where does he do sport?,Où veut-il faire du sport?,Where does he want to play sports?,False
144,When does he arrive?,Quand est-il arrivé?,When did he get here?,False
145,Where's the kettle?,Où est la bouilloire?,Where's the kettle?,True
146,Where does it begin?,Par où commencer?,Where do I start?,False
147,Where does he live?,Où vit-il?,Where does he live?,True
148,When does he come?,Quand vient-il?,When is he coming?,False
149,When does she sleep?,Quand est-elle dormir?,When did she sleep?,False
150,Why does she sing?,Pourquoi fait-elle chanter?,Why is she blackmailing?,False
151,Why does she study?,Pourquoi fait-elle de l'étude?,Why does she study?,True
152,When does she smile?,Quand fait-elle sourire?,When does she smile?,True
153,Do you promise me?,Promettez-vous de moi?,Do you promise me?,True
154,How do you like your room?,Comment aimez-vous votre chambre?,How do you like your room?,True
155,How do you spell your name?,Comment voulez-vous épeler votre nom?,How do you spell your name?,True
156,How do you like my dress?,Comment aimez-vous ma robe?,How do you like my dress?,True
157,How do you learn new words?,Comment pouvez-vous apprendre de nouveaux mots?,How can you learn new words?,False
158,Where do I put my coat?,Où dois-je mettre mon manteau?,Where should I put my coat?,False
159,Where do you park your car?,Où avez-vous garer votre voiture?,Where did you park your car?,False
160,Do you love them?,Avez-vous aimer?,Did you like it?,False
161,Do they understand it?,Font-ils le comprendre?,Do they make it clear?,False
162,Do they remember me?,Se souviennent-ils de moi?,Do they remember me?,True
163,How do you work?,Comment travaillez-vous?,How do you work?,True
164,Do they love him?,Font-ils l'amour de lui?,Do they love him?,True
165,Do they learn it?,Ils l'apprennent?,They find out?,False
166,Do you forgive me?,- Vous me pardonner?,- You forgive me?,False
167,How do you like my beard?,Comment aimez-vous ma barbe?,How do you like my beard?,True
168,How do you spell his name?,Comment voulez-vous épeler son nom?,How do you spell his name?,True
169,How do you spend your time?,Comment passez-vous votre temps?,How do you spend your time?,True
170,How do you go to school?,Comment voulez-vous aller à l'école?,How do you want to go to school?,False
171,How do you save money?,Comment voulez-vous économiser de l'argent?,How do you want to save money?,False
172,Why do you have his picture?,Pourquoi avez-vous de son image?,Why do you have his picture?,True
173,Where do I find my baggage?,Où puis-je trouver mes bagages?,Where can I find my luggage?,False
174,How do you tell your boss?,Comment tu le dis à ton patron?,How do you tell your boss?,True
175,When do you do your homework?,Quand faites-vous vos devoirs?,When do you do your homework?,True
176,Where do I send my bill?,Où dois-je envoyer ma facture?,Where do I send my invoice?,False
177,How do you open your door?,Comment voulez-vous ouvrir votre porte?,How do you want to open your door?,False
178,Why do you talk to her?,Pourquoi parlez-vous de lui?,Why are you talking about him?,False
179,Do you want some cake?,Voulez-vous un gâteau?,Would you like a cake?,False
180,Where do you start your journey?,Où voulez-vous commencer votre voyage?,Where do you want to start your journey?,False
181,How do you like my shirt?,Comment aimez-vous ma chemise?,How do you like my shirt?,True
