ID,Page ID,Local text,English text
53,4,Я вижу твое лицо.,I see your face.
54,4,Я скучаю по своему папе.,I miss my dad.
55,4,Мне нравится твоя рубашка.,I like your shirt.
56,4,Мне нравится ваш стиль.,I like your style
57,4,Мне нравятся твои волосы.,I like your hair.
58,4,Я читаю ваш текст.,I read your text.
59,4,У тебя есть мой номер.,You have my number.
60,4,У меня есть ваш заказ.,I have your order.
61,4,Я скучаю по своей жене.,I miss my wife.
62,4,Мне нужен твой карандаш.,I need your pencil.
63,4,Мы благодарим вас за вашу помощь.,We thank you for your help.
64,4,Я слышу тебя.,I hear you.
65,4,Я люблю своего сына!,I love my son!
66,4,Я люблю ее улыбку.,I love her smile.
67,4,Мне нравится твоя работа.,I like your work.
68,4,Мне нужна ваша подпись.,I need your signature.
69,4,Я люблю его музыку.,I love his music.
70,4,Я вижу твое лицо.,I see your face.
71,4,Я знаю свою дочь.,I know my daughter.
72,4,Я узнаю ваш голос.,I recognize your voice.
73,4,Я понимаю ваше беспокойство.,I understand your concern.
74,4,Я хватаю свой телефон.,I grab my phone.
75,4,Мне нравится моя жизнь.,I like my life.
76,4,Я беру ее за руку.,I take her hand.
77,4,Я знаю твой секрет.,I know your secret.
78,4,Мне нужны мои деньги.,I need my money.
79,4,Мне нравятся твои волосы.,I love your hair.
80,4,Мне нравится твой костюм.,I like your suit.
81,4,Мне нужна ваша защита.,I need your protection
82,4,Им нужна ваша помощь.,They need your help.
83,4,Ты любишь свою семью.,You love your family.
84,4,Я помню ее улыбку.,I remember her smile.
85,4,Вы знаете его семью.,You know his family.
86,4,Мне нравится ваш дом.,I like your house.
87,4,Я скучаю по своей семье.,I miss my family.
88,4,Мне нравится твоя юбка.,I like your skirt.
89,4,Я звоню своему доктору.,I call my doctor.
90,4,Я вижу его маму.,I see his mom.
91,4,Вы слышите мой голос.,You hear my voice
92,4,Я отвожу её домой.,I take her home
93,4,Я знаю кое-что.,I know something.
94,4,Ты выглядишь хорошо.,You look fine.
95,4,Я предпочитаю наличные.,I prefer cash.
96,4,Вы нуждаетесь в помощи.,You need help.
97,4,Я люблю мороженое.,I love ice-cream.
98,4,Я нуждаюсь в кофе.,I need coffee.
99,4,Мы не делаем ничего.,We do nothing.
100,4,Мне нравится пицца.,I like pizza.
101,4,Я чувствую что-то.,I feel something.
102,4,Мне нравится всё.,I like everything.
103,4,Мне нравится музыка.,I like music.
104,4,Я знаю математику.,I know maths.
105,4,Мои новости хорошие.,My news is good.
106,4,Это игра.,This is a game.
107,4,Это магазин одежды.,This is a clothes shop.
108,4,Это полицейский участок.,This is a police station.
109,4,Это торт на день рождения.,This is a birthday cake.
110,4,Это горный лев.,This is a mountain lion.
111,4,Это пример.,This is an example.
112,4,Это звонок-напоминание.,This is a wakeup call.
113,4,Её зовут Майя.,Her name is Maya.
114,4,Ваш заказ готов.,Your order is ready.
115,4,Моя семья в порядке.,My family is fine.
116,4,Его проблема простая.,His problem is simple.
117,4,Его история странная.,His story is strange.
118,4,У меня садится батарея.,My battery is low.
119,4,Её мать француженка.,Her mother is French.
120,4,Мой сын болеет.,My son is sick.
121,4,Мой отец итальянец.,My father is Italian.
122,4,Ваш план готов.,Your plan is ready.
123,4,Она здесь на кухне.,She's here in the kitchen.
124,4,Твой брат выглядит счастливым.,Your brother looks happy.
125,4,Меня зовут Браун!,My name is Brown!
126,4,Его магазин открыт.,His shop is open.
127,4,Твой друг прав.,Your friend is right
128,4,Он работает очень много.,He works a lot.
129,4,Она очень красивая женщина.,She's a very beautiful woman.
130,4,Он действительно хороший сноубордист.,He's a really good snowboarder.
131,4,Он очень приятный мужчина.,He's a very nice man.
132,4,Это грустная песня.,It's a sad song.
133,4,Он очень старый друг.,He's a very old friend.
134,4,Это очень сложная проблема.,It is a very difficult problem.
135,4,Это на самом деле простая история.,It's a really simple story.
136,4,У него действительно очень интересная работа.,He has a really interesting job.
137,4,Это очень хорошая книга.,It's a very good book.
138,4,Это простой дизайн.,It's a simple design.
139,4,Это очень интересная книга.,It's a very interesting book.
140,4,Она очень странная женщина.,She's a very strange woman.
141,4,Она действительно хорошая мама.,She's a really good mom.
142,4,Это очень простое блюдо.,It's a very simple meal.
143,4,Это очень хорошая работа.,It is a very good job.
144,4,Это очень важная вещь.,It's a very important thing.
145,4,Он умный парень.,He's a clever guy.
146,4,Это очень сложный язык.,It's a very difficult language.
147,4,Он очень плохой учитель.,He's a very bad teacher.
148,4,Он очень умный человек.,He is a very clever man.
149,4,Он очень хороший человек.,He's a very good man.
150,4,Это долгая поездка.,It's a long journey.
151,4,Она живет за углом.,She lives around the corner.
152,4,Она все еще в офисе.,She's still in the office.
153,4,Она одна в городе.,She's alone in this city.
154,4,Она работает медсестрой.,She works as a nurse.
155,4,Он всё еще в здании.,He's still in the building!
156,4,Она смотрит на художника.,She looks at the painter.
157,4,Он всё еще в комнате.,He's still in the room.
158,4,Она живёт одна в той комнате.,She lives alone in that room.
159,4,"Привет, Джон, как дела?","Hello, John, how are you?"
160,4,"Я уверен, что вы правы.",I'm sure you're right.
161,4,"Я рад, что ты здесь тоже.",I'm glad you're here too.
162,4,"Извините, что я так опоздал.",I'm sorry I'm so late.
163,4,Я опаздываю на работу.,I'm late for work.
164,4,Я готов к длинной поездке.,I'm ready for a long journey.
165,4,Я готов к следующему вопросу.,I'm ready for the next question.
166,4,Он обычно возвращается в полночь.,He usually comes back at midnight.
167,4,Я даже наслаждаюсь этим иногда.,I even enjoy it sometimes.
168,4,Я обычно вижусь с ним по выходным.,I usually see him on weekends.
169,4,Они никогда не показывают это в фильмах.,They never show it in movies.
170,4,Я просто всегда заказываю стейк.,I just always order steak.
171,4,Мы часто играем в футбол или волейбол.,We often play football or volleyball.
172,4,Мы обычно пьём колу и танцуем.,We usually drink cola and dance.
173,4,Я обычно ем суп и салат.,I usually eat soup and salad.
174,4,Я всегда пью вино или кофе.,I always drink wine or coffee.
175,4,Они опаздывают на уроки.,They are late for lessons.
176,4,Я боюсь привидений.,I'm afraid of ghosts.
177,4,Я ем только мясо и шоколад.,I only eat meat and chocolate.
178,4,Я устал от парков.,I'm tired of parks.
179,4,Я устал от людей.,I'm tired of people
180,4,Ты полон вопросов.,You're full of questions.
181,4,Я интересуюсь роботами.,I'm interested in robots.
182,4,Я интересуюсь компьютерами.,I am interested in computers.
183,4,Я боюсь лошадей.,I'm afraid of horses.
184,4,Я устала от секретов.,I'm tired of secrets.
185,4,Я боюсь змей.,I'm afraid of snakes.
186,4,Мне нравятся цветы очень сильно.,I like flowers very much.
187,4,Я интересуюсь людьми.,I am interested in people.
188,4,Я боюсь самолётов.,I'm afraid of airplanes.
189,4,Ты боишься пауков!,You're afraid of spiders!
190,4,Ты очень умная девушка.,You are a very clever girl.
191,4,Я живу очень простой жизнью.,I live a very simple life.
192,4,У вас очень милая комната.,You have a very nice room.
193,4,Я очень дружелюбный человек.,I am a very friendly person.
194,4,Мы хорошая команда.,We're a good team.
195,4,Мы очень большая семья.,We're a very big family.
196,4,Я действительно хороший слушатель.,I'm a really good listener.
197,4,Ты очень хорошая актриса.,You're a very good actress.
198,4,Я очень терпеливый человек.,I'm a very patient man.
199,4,У меня есть довольно хорошая идея.,I have a pretty good idea
200,4,Встречи обычно скучные.,Meetings are usually boring.
201,4,Та машина слишком дорогая.,That car is too expensive.
202,4,Эта программа очень популярна в нашей стране.,This programme is very popular in our country.
203,4,"Ей, возможно, нужна помощь.",She probably needs help.
204,4,Она часто работает двенадцать часов.,She often works for twelve hours.
205,4,"Иногда идёт дождь, и часто идёт снег.",It sometimes rains and it often snows.
206,4,Здесь часто идёт снег зимой.,It often snows here in winter.
207,4,Он всегда приходит один ночью.,He always comes alone at night.
208,4,Он никогда не говорит плохо о тебе.,He never says anything bad about you.
209,4,"Приятно познакомиться с вами, ребята.",It's nice to meet you guys.
210,4,"Я боюсь, я очень опоздал.",I'm afraid I'm very late.
211,4,Он в супермаркете.,He is in the supermarket.
212,4,Нам нравится ваша работа.,We like your work.
213,4,Мне нравится ваша музыка.,I like your music.
214,4,Я отправляю ей открытки.,I send her postcards.
215,4,Я учитель.,I am a teacher.
216,4,Она в спальне.,She is in the bedroom.
217,4,Я благодарю тебя за твою помощь.,I thank you for your help.
218,4,Я помогаю ей.,I help her.
219,4,Нам нравится твоя школа.,We like your school.
220,4,Мне нравятся ее песни.,I love her songs.
221,4,Мне нравится твое платье.,I like your dress.
222,4,Я наслаждаюсь плаваньем.,I enjoy swimming.
223,4,Мы готовим ужин.,We cook dinner.
224,4,Я держу его за руку.,I hold his hand.
225,4,Я слушаю музыку.,I listen to music.
226,4,Вы слышите мою песню.,You hear my song.
227,4,Моя сестра забавная.,My sister is funny.
228,4,Это мой друг.,This is my friend.
229,4,Это мой любимый салат.,This is my favourite salad.
230,4,Это очень простое правило.,It's a very simple rule.
231,4,Он хороший работник.,He is a good worker.
232,4,Он всегда хочет помочь.,He always wants to help.
233,4,Это задание очень сложное.,This task is very difficult.
234,4,Он работает очень хорошо.,He works very well.
235,4,Мне нравятся джинсы.,I like jeans.
236,4,Я помню ее.,I remember her.
237,4,Этот фильм не очень интересный.,This film is not very interesting.
238,4,Ты удивляешь меня каждый день.,You surprise me everyday.
239,4,Я действительно люблю животных.,I really love animals.
240,4,Ты разговариваешь с ним.,You talk to him.
241,4,Я звоню ему.,I call him.
242,4,Ты любишь его.,You love him.
243,4,Ты любишь меня.,You love me.
244,4,Вы танцуете очень хорошо.,You dance very well.
245,4,У меня есть старший брат.,I have an elder brother.
246,4,Я знаю об этой ситуации.,I know about this situation.
247,4,Я сожалею об этом.,I am sorry for that.
