,eng_word,l1,l1_context,l2,l2_context
56,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,ехать,to go there directly|drive | travel | travel | ride | drive | 
57,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,поехать,drive | go there | go back | go out | ride | 
58,go,passer,to go to the next section|to go to the next step|to go to the next screen|to go on the offensive|spend | pass | move | proceed | increase | switch | change | get | ,пойти,to go well|to go there|to go down|to go wrong|walk | go out | 
59,go,se rendre,to go to the polls|to go to the library|to go to the airport|to go to the party|visit | travel | get | reach | travel | proceed | drive | ,пойти,to go well|to go there|to go down|to go wrong|walk | go out | 
60,go,partir,to go on an excursion|to go on a trip|to go up in smoke|to go on tour|leave | start | depart | leave | part | start | travel | ,пойти,to go well|to go there|to go down|to go wrong|walk | go out | 
61,go,entrer,to go into detail|to go to war|to go underground|to go down in history|enter | come into | type | enter | get | come | fall | ,пойти,to go well|to go there|to go down|to go wrong|walk | go out | 
62,go,accéder,to go to admin tab|to go to the virtual disk|to go to the second page|to go to the page|access | enter | get | navigate | access | reach | browse | gain access | ,идти,to go home|to go further|to go straight|to go forward|come | walk | move | keep | run | walk | follow | 
63,go,consulter,to go online|to go to the doctor|to go to the program web site|see | consult | refer to | view | visit | check | access | consult | review | ,пойти,to go well|to go there|to go down|to go wrong|walk | go out | 
64,go,continuer,to go on and on|to go straight|continue | continue | keep | remain | carry on | resume | ,пойти,to go well|to go there|to go down|to go wrong|walk | go out | 
65,go,rendez-vous,to go to the crafts village|browse | ,ехать,to go there directly|drive | travel | travel | ride | drive | 
66,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,идти,to go home|to go further|to go straight|to go forward|come | walk | move | keep | run | walk | follow | 
67,go,accéder,to go to admin tab|to go to the virtual disk|to go to the second page|to go to the page|access | enter | get | navigate | access | reach | browse | gain access | ,идти,to go home|to go further|to go straight|to go forward|come | walk | move | keep | run | walk | follow | 
68,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,пойти,to go well|to go there|to go down|to go wrong|walk | go out | 
69,go,passer,to go to the next section|to go to the next step|to go to the next screen|to go on the offensive|spend | pass | move | proceed | increase | switch | change | get | ,пойти,to go well|to go there|to go down|to go wrong|walk | go out | 
70,go,se rendre,to go to the polls|to go to the library|to go to the airport|to go to the party|visit | travel | get | reach | travel | proceed | drive | ,пойти,to go well|to go there|to go down|to go wrong|walk | go out | 
71,go,partir,to go on an excursion|to go on a trip|to go up in smoke|to go on tour|leave | start | depart | leave | part | start | travel | ,пойти,to go well|to go there|to go down|to go wrong|walk | go out | 
72,go,entrer,to go into detail|to go to war|to go underground|to go down in history|enter | come into | type | enter | get | come | fall | ,пойти,to go well|to go there|to go down|to go wrong|walk | go out | 
73,go,consulter,to go online|to go to the doctor|to go to the program web site|see | consult | refer to | view | visit | check | access | consult | review | ,пойти,to go well|to go there|to go down|to go wrong|walk | go out | 
74,go,continuer,to go on and on|to go straight|continue | continue | keep | remain | carry on | resume | ,пойти,to go well|to go there|to go down|to go wrong|walk | go out | 
75,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,быть,to go decisively|to go tomorrow|to go in vain|have | be | include | feature | get | come | offer | become | 
76,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,ходить,walk | walk | run | walk around | wear | 
77,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,пройти,to go smoothly|to go here|to go too well|to go into her exam|pass | hold | took place | undergo | receive | host | walk | complete | 
78,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,отправиться,to go to summer camp|to go to pristine reefs|to go to this village|travel | set out | go out | head | embark | leave | depart | 
79,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,перейти,to go to the background image|to go into its pinwheel display|move | switch | cross | pass | proceed | navigate | shift | turn | 
80,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,ехать,to go there directly|drive | travel | travel | ride | drive | 
81,go,rendez-vous,to go to the crafts village|browse | ,ехать,to go there directly|drive | travel | travel | ride | drive | 
82,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,поехать,drive | go there | go back | go out | ride | 
83,go away,s'amenuiser,dwindle | off-~-wear off | dwindle | away-~-go away | ,no_equality,
84,go away,no_equality,,уезжать,leave | go away | go away | 
85,go around,promener,walk | stroll | promenade | take a walk | walk along | ,пролетать,fly | 
86,go around,se promener,walk | walk | walk around | stroll | walk around | stroll | wander | wander around | ,пролетать,fly | 
87,go around,se balader,wander | stroll | walk around | walk around | stroll | wade | roam | hike around | ,no_equality,
88,go around,s'éloigner,deviate | move away | depart | walk away | recede | fade | distance | stray | go away | ,no_equality,
89,go around,no_equality,,обойти,bypass | circumvent | evade | bypass | outflank | finesse | tour | walk around | 
90,go around,no_equality,,вращаться,rotate | revolve | spin | spin | rotate | spin around | move around | 
91,go around,no_equality,,ездить по миру,
92,go around,no_equality,,часто путешествовать,
93,go around,no_equality,,хватать,lack | grab | catch | suffice | afford | miss | deprive | rip | 
94,go around,promener,walk | stroll | promenade | take a walk | walk along | ,пролетать,fly | 
95,go around,se promener,walk | walk | walk around | stroll | walk around | stroll | wander | wander around | ,пролетать,fly | 
96,go around,no_equality,,ходить вокруг,
97,go out,sortir,to go out at night|to go out tonight|to go out last night|to go out into the night alone|leave | get out | release | emerge | out-~-come out | come out of | exit | leave | ,выйти,go | come out | leave | reach | release | emerge | enter | step | 
98,go out,sortir,to go out at night|to go out tonight|to go out last night|to go out into the night alone|leave | get out | release | emerge | out-~-come out | come out of | exit | leave | ,пойти,go | walk | go | 
99,go out,sortir,to go out at night|to go out tonight|to go out last night|to go out into the night alone|leave | get out | release | emerge | out-~-come out | come out of | exit | leave | ,уходить,go | leave | go away | go | leave | fade | dates back | 
100,go out,sortir,to go out at night|to go out tonight|to go out last night|to go out into the night alone|leave | get out | release | emerge | out-~-come out | come out of | exit | leave | ,уйти,leave | go | go away | withdraw | get out | get away | escape | resign | 
101,go out,sortir,to go out at night|to go out tonight|to go out last night|to go out into the night alone|leave | get out | release | emerge | out-~-come out | come out of | exit | leave | ,отправляться,go | leave | depart | head | head out | 
102,go out,s'éteindre,off-~-turn off | extinguish | down-~-power down | shut down | go off | lose power | shut off | away-~-die away | ,пойти,go | walk | go | 
103,go out,se retirer,to go out of business|withdraw | retire | pull out | retreat | out-~-opt out | get out | step-down | resign | ,no_equality,
104,go out,sortir,to go out at night|to go out tonight|to go out last night|to go out into the night alone|leave | get out | release | emerge | out-~-come out | come out of | exit | leave | ,выйти,go | come out | leave | reach | release | emerge | enter | step | 
105,go out,no_equality,,выходить,to go out into the streets|go | come out | face | extend | enter | overlook | emerge | withdraw | 
106,go out,sortir,to go out at night|to go out tonight|to go out last night|to go out into the night alone|leave | get out | release | emerge | out-~-come out | come out of | exit | leave | ,пойти,go | walk | go | 
107,go out,s'éteindre,off-~-turn off | extinguish | down-~-power down | shut down | go off | lose power | shut off | away-~-die away | ,пойти,go | walk | go | 
108,go out,sortir,to go out at night|to go out tonight|to go out last night|to go out into the night alone|leave | get out | release | emerge | out-~-come out | come out of | exit | leave | ,уходить,go | leave | go away | go | leave | fade | dates back | 
109,go out,sortir,to go out at night|to go out tonight|to go out last night|to go out into the night alone|leave | get out | release | emerge | out-~-come out | come out of | exit | leave | ,уйти,leave | go | go away | withdraw | get out | get away | escape | resign | 
110,go out,no_equality,,выслать,send | expel | come out | emerge | qualify | get out | advance | step | 
111,go out,no_equality,,отправиться,go | travel | set out | head | embark | leave | depart | 
112,go out,sortir,to go out at night|to go out tonight|to go out last night|to go out into the night alone|leave | get out | release | emerge | out-~-come out | come out of | exit | leave | ,отправляться,go | leave | depart | head | head out | 
113,go out,no_equality,,выезжать,travel | travel | dispatch | 
114,secret,secret,so secret|still secret|highly secret|secretive | hidden | confidential | covert | trade secret|little secret|shared secret|business secrets|secrecy | confidentiality | ,секрет,state secret|secret to high performance|shared secret|little secret|trick | mystery | 
115,secret,confidentiel,confidential | sensitive | ,no_equality,
116,secret,passe,chap secret|mutual chap secret|password | pass | ,no_equality,
117,secret,mystère,mystery | secrecy | puzzle | ,no_equality,
118,secret,no_equality,,секретный,confidential | sensitive | covert | secretive | undercover | 
119,secret,no_equality,,тайный,clandestine | covert | privy | arcane | insidious | esoteric | 
120,secret,no_equality,,сокровенный,innermost | intimate | 
121,secret,secret,so secret|still secret|highly secret|secretive | hidden | confidential | covert | trade secret|little secret|shared secret|business secrets|secrecy | confidentiality | ,секрет,state secret|secret to high performance|shared secret|little secret|trick | mystery | 
122,secret,no_equality,,тайна,trade secret|family secret|military secret|official secret|mystery | secrecy | confidentiality | 
123,table,table,round table|coffee table|database table|data tables|payola | ,стол,round table|dining table|pool table|negotiating table|desk | desktop | 
124,table,table,round table|coffee table|database table|data tables|payola | ,таблица,routing table|following table|periodic table|partition table|chart | spreadsheet | sheet | 
125,table,table,round table|coffee table|database table|data tables|payola | ,столик,coffee table|dressing table|small table|changing table|reservation | small table | little table | 
126,table,tableau,following table|nutrition facts table|summary table|financial table|array | painting | chart | picture | ,столик,coffee table|dressing table|small table|changing table|reservation | small table | little table | 
127,table,déposer,to table amendments|to table a document|to table this document|tabled in the house|file | deposit | submit | lodge | place | introduce | present | file | ,no_equality,
128,table,présenter,to table an amendment|to table an oral amendment|tabled in parliament|tabled by the rapporteur|present | submit | provide | introduce | make | show | put forward | file | ,столик,coffee table|dressing table|small table|changing table|reservation | small table | little table | 
129,table,introduire,tabled in committee|to table some amendments|to table a number of amendments|to table the motion|introduce | introduce | bring | submit | lodge | insert | incorporate | ,no_equality,
130,table,soumettre,tabled by parliament|to table this question|to table a proposal|tabled with the committee|submit | subject | present | put | submit | file | refer | ,столик,coffee table|dressing table|small table|changing table|reservation | small table | little table | 
131,table,no_equality,,табличный,tabular | 
132,table,no_equality,,настольный,desktop | 
133,table,table,round table|coffee table|database table|data tables|payola | ,стол,round table|dining table|pool table|negotiating table|desk | desktop | 
134,table,table,round table|coffee table|database table|data tables|payola | ,таблица,routing table|following table|periodic table|partition table|chart | spreadsheet | sheet | 
135,table,table,round table|coffee table|database table|data tables|payola | ,столик,coffee table|dressing table|small table|changing table|reservation | small table | little table | 
136,table,tableau,following table|nutrition facts table|summary table|financial table|array | painting | chart | picture | ,столик,coffee table|dressing table|small table|changing table|reservation | small table | little table | 
137,table,présenter,to table an amendment|to table an oral amendment|tabled in parliament|tabled by the rapporteur|present | submit | provide | introduce | make | show | put forward | file | ,столик,coffee table|dressing table|small table|changing table|reservation | small table | little table | 
138,table,soumettre,tabled by parliament|to table this question|to table a proposal|tabled with the committee|submit | subject | present | put | submit | file | refer | ,столик,coffee table|dressing table|small table|changing table|reservation | small table | little table | 
139,table,no_equality,,рассматриваться,consider | view | address | examine | treat | regard | see | review | construe | 
140,create,créer,to create jobs|to create an environment|to create a situation|to create applications|establish | setup | develop | build | found | ,создать,to create a vacuum|to create conditions|to create a system|to create institutions|establish | make | build | setup | form | found | develop | 
141,create,créer,to create jobs|to create an environment|to create a situation|to create applications|establish | setup | develop | build | found | ,создавать,to create a world|to create problems|to create the impression|to create the circumstances|make | build | produce | establish | generate | form | setup | 
142,create,établir,to create individual profiles|to create a connection|to create a connection once|to create transparency|establish | set | establish | draw up | determine | make | develop | set out | lay down | ,создаваться,form | 
143,create,établir,to create individual profiles|to create a connection|to create a connection once|to create transparency|establish | set | establish | draw up | determine | make | develop | set out | lay down | ,создать,to create a vacuum|to create conditions|to create a system|to create institutions|establish | make | build | setup | form | found | develop | 
144,create,engendrer,to even create competition|to create poverty|to create illness|to create a legal presumption|cause | lead | generate | result | give rise to | engender | incur | breed | ,создаваться,form | 
145,create,créer,to create jobs|to create an environment|to create a situation|to create applications|establish | setup | develop | build | found | ,создать,to create a vacuum|to create conditions|to create a system|to create institutions|establish | make | build | setup | form | found | develop | 
146,create,établir,to create individual profiles|to create a connection|to create a connection once|to create transparency|establish | set | establish | draw up | determine | make | develop | set out | lay down | ,создать,to create a vacuum|to create conditions|to create a system|to create institutions|establish | make | build | setup | form | found | develop | 
147,create,créer,to create jobs|to create an environment|to create a situation|to create applications|establish | setup | develop | build | found | ,создавать,to create a world|to create problems|to create the impression|to create the circumstances|make | build | produce | establish | generate | form | setup | 
148,create,établir,to create individual profiles|to create a connection|to create a connection once|to create transparency|establish | set | establish | draw up | determine | make | develop | set out | lay down | ,создаваться,form | 
149,create,engendrer,to even create competition|to create poverty|to create illness|to create a legal presumption|cause | lead | generate | result | give rise to | engender | incur | breed | ,создаваться,form | 
150,create,no_equality,,образовать,form | establish | educate | constitute | found | make up | form | comprise | consist of | 
151,warm,chaud,still warm|relatively warm|warm enough|so warm|hot | cooked | ,теплый,very warm|hot | 
152,warm,chauffer,heat | heat | up-~-heat up | ,греть,heat | 
153,warm,chaleureux,particularly warm|extremely warm|quite warm|friendly | cosy | cordial | ,теплый,very warm|hot | 
154,warm,tiède,lukewarm | tepid | half-hearted | tempered | ,no_equality,
155,warm,convivial,friendly | user-friendly | convivial | easy-to-use | cosy | easy to use | ,no_equality,
156,warm,accueillant,friendly | cosy | hospitable | homely | homey | appealing | ,no_equality,
157,warm,réchauffer,to warm the planet|to warm the heart|reheat | heat | warm up | up-~-heat up | reheat | heat | warm up | ,теплый,very warm|hot | 
158,warm,se réchauffer,to warm to room temperature|warm up | up-~-heat up | heat | thaw | warm up | ,теплый,very warm|hot | 
159,warm,chaud,still warm|relatively warm|warm enough|so warm|hot | cooked | ,теплый,very warm|hot | 
160,warm,chaleureux,particularly warm|extremely warm|quite warm|friendly | cosy | cordial | ,теплый,very warm|hot | 
161,warm,réchauffer,to warm the planet|to warm the heart|reheat | heat | warm up | up-~-heat up | reheat | heat | warm up | ,теплый,very warm|hot | 
162,warm,se réchauffer,to warm to room temperature|warm up | up-~-heat up | heat | thaw | warm up | ,теплый,very warm|hot | 
163,warm,no_equality,,тепло,
164,warm,no_equality,,уютный,cosy | comfortable | intimate | charming | friendly | pleasant | 
165,warm,no_equality,,горячий,hot | heated | ardent | 
166,warm,no_equality,,радушный,friendly | cordial | hospitable | welcome | kind | 
167,warm,no_equality,,согревать,
168,warm,no_equality,,подогревать,fuel | 
169,warm,chauffer,heat | heat | up-~-heat up | ,греть,heat | 
170,warm up,se réchauffer,to warm up to room temperature|warm | up-~-heat up | heat | warm | thaw | ,no_equality,
171,warm up,réchauffer,to warm up the room|warm | reheat | heat | up-~-heat up | warm | reheat | heat | ,no_equality,
172,warm up,préchauffer,preheat | pre-warmed | up-~-cook up | ,no_equality,
173,warm up,échauffer,,no_equality,
174,warm up,s'échauffer,up-~-heat up | ,no_equality,
175,warm up,no_equality,,нагреваться,heat | heat up | 
176,warm up,no_equality,,нагреться,heat up | 
177,nobody,personne,Nobody saw her|There was nobody in sight|Who else is coming ? Nobody|,никто,Nobody says it will be easy|
178,nobody,personne,Nobody saw her|There was nobody in sight|Who else is coming ? Nobody|,никто,Nobody says it will be easy|
179,entire,au complet,full | whole | ,всей,whole | overall | total | 
180,entire,au complet,full | whole | ,целую,whole | 
181,entire,tout entier,whole | ,полный,full | complete | total | comprehensive | whole | 
182,entire,tout entier,whole | ,целую,whole | 
183,entire,tout entier,whole | ,весь,all | whole | 
184,entire,entier,whole | full | complete | sole | ,целую,whole | 
185,entire,complet,full | complete | comprehensive | whole | extensive | total | ,полный,full | complete | total | comprehensive | whole | 
186,entire,intégral,full | integral | complete | ultimate | ,целую,whole | 
187,entire,au complet,full | whole | ,всей,whole | overall | total | 
188,entire,tout entier,whole | ,полный,full | complete | total | comprehensive | whole | 
189,entire,complet,full | complete | comprehensive | whole | extensive | total | ,полный,full | complete | total | comprehensive | whole | 
190,entire,tout entier,whole | ,целую,whole | 
191,entire,entier,whole | full | complete | sole | ,целую,whole | 
192,entire,intégral,full | integral | complete | ultimate | ,целую,whole | 
193,entire,au complet,full | whole | ,целую,whole | 
194,entire,tout entier,whole | ,весь,all | whole | 
195,entire,no_equality,,цельный,whole | solid | integral | coherent | consistent | seamless | 
196,entire,no_equality,,целостный,holistic | integral | whole | consistent | seamless | 
197,anything,n'importe quoi,I would give anything to know the truth|,что-нибудь,Have you ever seen anything like this?|
198,anything,n'importe quoi,I would give anything to know the truth|,ничто,We aren’t going to find anything out here.|
199,anything,rien,I haven't heard anything from him|,всё,I'll do anything I can|
200,anything,quelque chose,Is there anything I can do?|Have you noticed anything?|,всё,I'll do anything I can|
201,anything,tout,I will sign anything you want|,что-нибудь,Have you ever seen anything like this?|
202,anything,n'importe quoi,I would give anything to know the truth|,что-нибудь,Have you ever seen anything like this?|
203,anything,tout,I will sign anything you want|,что-нибудь,Have you ever seen anything like this?|
204,anything,n'importe quoi,I would give anything to know the truth|,ничто,We aren’t going to find anything out here.|
205,anything,rien,I haven't heard anything from him|,всё,I'll do anything I can|
206,anything,quelque chose,Is there anything I can do?|Have you noticed anything?|,всё,I'll do anything I can|
207,background,arrière-plan,white background|grey background|transparent background|page background|,фон,transparent background|white background|black background|radiation background|backdrop | background color | 
208,background,contexte,historical background|political background|general background|cultural background|context | environment | setting | backdrop | circumstance | ,фон,transparent background|white background|black background|radiation background|backdrop | background color | 
209,background,fond,black background|blue background|dark background|green background|fund | funding | money | bottom | shallows | ,no_equality,
210,background,antécédent,family background|professional background|diverse backgrounds|criminal background|history | track record | precedent | antecedents | ,фон,transparent background|white background|black background|radiation background|backdrop | background color | 
211,background,origine,ethnic background|social background|diverse ethnic backgrounds|religious backgrounds|origin | source | cause | root | parent | ,no_equality,
212,background,milieu,different backgrounds|socio-economic background|disadvantaged backgrounds|natural background|environment | community | medium | workplace | setting | middle | circle | milieu | ,no_equality,
213,background,historique,brief background|background of the project|history | ,фон,transparent background|white background|black background|radiation background|backdrop | background color | 
214,background,horizon,different social backgrounds|various professional backgrounds|horizon | skyline | walks of life | ,no_equality,
215,background,no_equality,,фоновый,
216,background,no_equality,,справочный,manual | 
217,background,arrière-plan,white background|grey background|transparent background|page background|,фон,transparent background|white background|black background|radiation background|backdrop | background color | 
218,background,contexte,historical background|political background|general background|cultural background|context | environment | setting | backdrop | circumstance | ,фон,transparent background|white background|black background|radiation background|backdrop | background color | 
219,background,antécédent,family background|professional background|diverse backgrounds|criminal background|history | track record | precedent | antecedents | ,фон,transparent background|white background|black background|radiation background|backdrop | background color | 
220,background,historique,brief background|background of the project|history | ,фон,transparent background|white background|black background|radiation background|backdrop | background color | 
221,background,no_equality,,фоновый режим,
222,background,no_equality,,происхождение,ethnic background|family background|origin | descent | ancestry | birth | lineage | 
223,background,no_equality,,задний план,
224,background,no_equality,,фоновое изображение,
225,background,no_equality,,предпосылка,prerequisite | premise | precondition | assumption | implication | boost | trait | 
226,background,no_equality,,корень,immigrant background|root | origin | 
227,child,enfant,young child|older child|Canadian children|dependent children|kid | ,дитя,young child|Pakistani children|innocent child|healthy child|kid | baby | 
228,child,enfant,young child|older child|Canadian children|dependent children|kid | ,ребенок,first child|second child|small child|virtual child|baby | kid | 
229,child,enfance,childhood | infancy | child welfare | ,ребенок,first child|second child|small child|virtual child|baby | kid | 
230,child,enfant,young child|older child|Canadian children|dependent children|kid | ,дитя,young child|Pakistani children|innocent child|healthy child|kid | baby | 
231,child,enfant,young child|older child|Canadian children|dependent children|kid | ,ребенок,first child|second child|small child|virtual child|baby | kid | 
232,child,enfance,childhood | infancy | child welfare | ,ребенок,first child|second child|small child|virtual child|baby | kid | 
233,child,no_equality,,размещении всех детей,
234,child,no_equality,,размещении одного ребёнка,
235,childhood,enfance,happy childhood|rough childhood|early childhood|childhood through adolescence|child | infancy | child welfare | ,детство,early childhood|happy childhood|unhappy childhood|very difficult childhood|
236,childhood,childhood,,no_equality,
237,childhood,enfance,happy childhood|rough childhood|early childhood|childhood through adolescence|child | infancy | child welfare | ,детство,early childhood|happy childhood|unhappy childhood|very difficult childhood|
238,childhood,no_equality,,детском возрасте,
239,everything,tout,Is everything ready?|I've brought everything with me|Is everything ready?|I've brought everything with me|,весь / всё,Everything else doesn't matter|Everything else doesn't matter|
240,everything,tout,Is everything ready?|I've brought everything with me|Is everything ready?|I've brought everything with me|,весь / всё,Everything else doesn't matter|Everything else doesn't matter|
241,grandchild,petit-fils,grandson | little grandson | little grandchildren | ,внук,little grandchildren|grandson | grandkid | 
242,grandchild,petits-enfants,grandkid | ,no_equality,
243,grandchild,petit enfant,,no_equality,
244,grandchild,petit-enfant,,no_equality,
245,grandchild,petit-fils,grandson | little grandson | little grandchildren | ,внук,little grandchildren|grandson | grandkid | 
246,ketchup,ketchup,tomato ketchup | catsup | catchup | ,no_equality,
247,ketchup,no_equality,,кетчуп,
248,point,pointer,to point to a web site|to point to editor|to point to another computer|to point to the disk|clear | ,точка,starting point|access point|percentage point|ideal starting point|dot | spot | pixel | location | outlet | 
249,point,pointer,to point to a web site|to point to editor|to point to another computer|to point to the disk|clear | ,очко,first point|run | pip | 
250,point,pointer,to point to a web site|to point to editor|to point to another computer|to point to the disk|clear | ,направить,send | direct | deploy | focus | forward | aim | channel | turn | steer | 
251,point,pointer,to point to a web site|to point to editor|to point to another computer|to point to the disk|clear | ,отмечать,celebrate | note | mark | point out | observe | 
252,point,pointer,to point to a web site|to point to editor|to point to another computer|to point to the disk|clear | ,момент,tipping point|key point|important point|certain point|moment | time | thing | date | 
253,point,motion,point of order|genuine point|genuine point of order|last point of order|motion | ,момент,tipping point|key point|important point|certain point|moment | time | thing | date | 
254,point,motion,point of order|genuine point|genuine point of order|last point of order|motion | ,смысл,sense | meaning | way | implication | 
255,point,motion,point of order|genuine point|genuine point of order|last point of order|motion | ,дело,case | affair | business | thing | matter | cause | work | ministry | 
256,point,motion,point of order|genuine point|genuine point of order|last point of order|motion | ,отметить,say | note | mark | celebrate | point out | mention | click | observe | notice | 
