,bigram,chi-sq
146,"('line', 'art')",48553.987025945295
147,"('mrs', 'Darling')",48182.472317684296
148,"('Uncle', 'John')",48076.49641831433
149,"('Jane', 'Merrick')",45165.00908932499
150,"('can', 'not')",44087.06395794862
151,"('mister', 'Conant')",43734.5263869612
152,"('', 'can')",43149.0760498037
153,"('magic', 'Umbrella')",41822.606792428305
154,"('at', 'once')",39943.07050222246
155,"('volunteer', 'please')",39663.264361541806
156,"('mrs', 'Charleworth')",38403.57546075509
157,"('prayer', 'meeting')",38083.73899511065
158,"('Gran', ""'pum"")",37846.29605030037
159,"('banquet', 'hall')",37586.21518958437
160,"('Queen', 'Ann')",36542.334136188874
161,"('Miss', 'Dickinson')",35723.22368328334
162,"('sea', 'devil')",35441.91175937652
163,"('Peter', 'Pan')",35301.85161838531
164,"('mrs', 'Darl')",34988.67549995945
165,"('wooden', 'leg')",33808.65846499246
166,"('underground', 'cavern')",33654.796081773486
167,"('real', 'estate')",33000.86780285163
168,"('o', ""'"")",32692.327488260755
169,"('World', 'bank')",32355.920282470826
170,"('Miss', 'Tellwright')",30911.550772349503
171,"('Nome', 'King')",30879.190176835764
172,"('marble', 'statue')",30508.189876051252
173,"('King', 'Terribus')",29836.274166356554
174,"('magic', 'Flower')",29571.35259387766
175,"('cab', 'horse')",29347.759228037685
176,"('royal', 'historian')",29312.56452823285
177,"('wide', 'awake')",29259.853436724996
178,"('Miss', 'Gorham')",29214.03857012788
179,"('Princess', 'Clia')",28105.724180668643
180,"('my', 'dear')",27852.00342964092
181,"('', 'ai')",27502.758821227326
182,"('Uncle', 'Bob')",27155.527271595223
183,"('fast', 'asleep')",26028.761062866997
184,"('Seaver', 'Jones')",25881.603990703916
185,"(""'"", 'em')",25713.641839249594
186,"('mister', 'Cragg')",25686.19822240838
187,"('King', 'Krewl')",25619.863451553974
188,"('Henry', 'Mynors')",25337.674069560213
189,"('magic', 'Isle')",25250.301793753948
190,"('King', 'mark')",24749.61720523848
191,"('purple', 'berry')",24574.114503687626
192,"('black', 'bag')",23275.91656991745
193,"('few', 'minute')",23192.560443396724
194,"('tiny', 'piglet')",22885.718115741856
195,"('mrs', 'Clayton')",22500.703474052647
196,"('little', 'girl')",22455.370324672484
197,"('there', 'be')",22370.162207416182
198,"('black', 'Bag')",22293.73128820201
199,"('hind', 'leg')",22067.029237533818
200,"('James', 'Hathaway')",22012.018411764435
201,"('Queen', 'Zurline')",21499.735723998194
202,"(""'"", 'pum')",21487.366855635908
203,"('more', 'than')",21398.529271922656
204,"('Patchwork', 'girl')",20764.926188075566
205,"('thousand', 'dollar')",20753.728925357773
206,"('next', 'morning')",20484.278066482366
207,"('sat', 'down')",20434.397972254756
208,"('Gillikin', 'country')",20166.20284687924
209,"('mrs', 'Conant')",19957.303135715414
210,"('old', 'Swallowtail')",19576.364504205987
211,"('Nome', 'king')",19268.749410925244
212,"('King', 'Cole')",19007.710047640798
213,"('it', 'be')",18718.80069201323
214,"('fat', 'baby')",18708.4217323471
215,"('I', '')",18564.19963051756
216,"('Sunday', 'school')",18439.671934324913
217,"('Princess', 'langwidere')",18352.954391988686
218,"('Gran', ""'"")",18278.554890485062
219,"('year', 'ago')",18269.68355421418
220,"('let', 'us')",17988.045891933452
221,"('button', 'Bray')",17848.089784738673
222,"('suit', 'case')",17751.260691572876
223,"('bow', 'low')",17596.975238408155
224,"('You', 'Majesty')",17579.6874613498
225,"('Josie', 'O')",17562.79898845361
226,"('of', 'course')",17363.733149971285
227,"('no', 'longer')",17319.51988075772
228,"('Miss', 'Cuttenclip')",16986.81107485662
229,"('better', 'than')",16971.225337683616
230,"('of', 'Oz')",16898.86812704212
231,"('Quadling', 'country')",16792.111286750845
232,"('of', 'the')",16746.906913512907
233,"('love', 'Magnet')",16724.959425825586
234,"('Munchkin', 'country')",16635.35536909245
235,"('mister', 'Darling')",16569.86556990814
236,"('miss', 'Stearne')",16492.090987921452
237,"('tell', 'i')",16458.046923190126
238,"('mister', 'West')",16317.389572520075
239,"('Master', 'key')",16305.723696736606
240,"('bald', 'head')",16238.666011798492
241,"('look', 'at')",16006.850945883538
242,"('wait', 'patiently')",15466.96025930152
243,"('human', 'being')",15404.473841060142
244,"('old', 'woman')",14874.19685354653
245,"('magic', 'tool')",14751.494956974164
246,"('Miss', 'Burrows')",14595.29866543734
247,"('long', 'ago')",14485.202764365018
248,"('never', 'mind')",14308.461404387941
249,"('King', 'Go')",14230.409045529002
250,"('good', 'bye')",14225.078065823487
251,"('Winkie', 'country')",13924.659866635237
252,"('drawing', 'room')",13884.163755644417
253,"('mrs', 'Dyer')",13789.992116972697
254,"('moment', 'later')",13701.24956124926
255,"('pick', 'up')",13570.216291451497
256,"('mister', 'Watson')",13524.183890248074
257,"('no', 'one')",13524.046471415928
258,"('Shaggy', 'man')",13317.782726693593
259,"('Miss', 'Jane')",13245.333303684622
260,"('Peter', 'Conant')",13196.017427443563
261,"('mister', 'Tellwray')",12925.714562344821
262,"('flower', 'pot')",12879.625913608555
263,"('Queen', 'Coo-ee')",12641.45597051485
264,"('ai', 'not')",12495.155275298051
265,"('white', 'Pearl')",12455.482399541906
266,"('at', 'last')",12054.513932466347
267,"('try', 'to')",11795.384702034693
268,"('Prince', 'Inga')",11785.252627764055
269,"('difference', 'between')",11654.342729822174
270,"('general', 'Guph')",11527.968236405239
271,"('Princess', 'Ozma')",11125.927667510588
272,"('Queen', 'Aquareine')",11119.524759339663
273,"('in', 'the')",11094.170608043318
274,"('worse', 'than')",11088.144756981328
275,"('straw', 'hat')",11013.741440828133
276,"('able', 'to')",10955.922859945043
277,"('Colonel', 'James')",10950.492988762775
278,"('good', 'deal')",10942.198512189498
279,"('Dear', 'i')",10913.123400434164
280,"('dining', 'room')",10778.261537642797
281,"('Bumpy', 'man')",10762.831869036676
282,"('cut', 'off')",10725.241158199997
283,"('without', 'hesitation')",10689.37795881254
284,"('young', 'lady')",10546.898911000671
285,"('hundred', 'dollar')",10360.40082779142
286,"('surround', 'by')",10331.25671512993
287,"('begin', 'to')",10246.118234270034
288,"('hundred', 'year')",10237.078099677807
289,"('will', 'not')",10207.385716987526
290,"('anyone', 'else')",10076.266505858615
291,"('mister', 'Herr')",10057.459220619785
292,"('fifty', 'thousand')",10038.802274373415
293,"('Louise', 'Burrows')",9953.044328346103
294,"('nine', 'tiny')",9923.803161928428
295,"('if', 'you')",9844.148803546153
296,"('throne', 'room')",9643.657172339505
297,"('Aunt', 'Polly')",9640.969227022213
298,"('old', 'sailor')",9578.310700365239
299,"('fall', 'asleep')",9540.217890227359
300,"('perfectly', 'safe')",9522.09318950741
301,"('Sit', 'down')",9345.11858896674
302,"('secret', 'service')",9179.795250872146
303,"('I', 'shall')",9172.018172348624
304,"('anything', 'else')",9148.089764129534
305,"('King', 'Roquat')",9114.172203535796
306,"('the', 'king')",9078.746956556965
307,"('boy', 'Blue')",9073.548919864405
308,"('Princess', 'Gloria')",9053.0620188643
309,"('no', 'doubt')",8978.300529074455
310,"('perch', 'upon')",8765.45627064651
311,"('stop', 'short')",8752.77702526202
312,"('clung', 'fast')",8682.734756317053
313,"('wide', 'open')",8626.901843788732
314,"('very', 'well')",8621.46851434703
315,"('a', 'few')",8607.850612553555
316,"('at', 'least')",8536.825105763672
317,"('short', 'distance')",8500.816903043733
318,"('twenty', 'four')",8444.175245677376
319,"('mister', 'Mynor')",8397.307801886745
320,"('King', 'Rinkitink')",8386.00133302429
321,"('I', 'be')",8367.121388481597
322,"('the', 'boy')",8325.542004589965
323,"('be', 'sure')",8286.381604561766
324,"('rush', 'forward')",8284.556429109723
325,"('', 'will')",8232.879311501987
326,"('all', 'right')",8225.598732051203
327,"('Gran', 'pum')",8212.186546925312
328,"('fil', 'with')",8134.283041839496
329,"('sea', 'serpent')",8129.667629576507
330,"('please', 'visit')",8116.465200047658
331,"('his', 'pocket')",8065.310705504856
332,"('not', 'know')",8027.040913162642
333,"('great', 'deal')",8011.652306271515
334,"('I', 'have')",7977.092499369579
335,"('as', 'soon')",7935.097679398201
336,"('loud', 'voice')",7906.798910078446
337,"('mother', 'goose')",7794.346579419456
338,"('soon', 'as')",7761.470970385452
339,"('draw', 'nearer')",7720.100057213905
340,"('away', 'from')",7660.380867447556
341,"('many', 'year')",7625.974777402831
342,"('far', 'away')",7621.331027931135
343,"('every', 'direction')",7592.123462800179
344,"('more', 'information')",7587.777536961285
345,"('land', 'of')",7586.870727694998
346,"('human', 'nature')",7510.4565425105275
347,"('the', 'Scarecrow')",7478.028730381432
348,"('Pink', 'country')",7471.341409775138
349,"('thousand', 'pound')",7467.167050634526
350,"('by', 'l')",7457.595332484123
351,"('seem', 'to')",7383.29802710918
352,"('out', 'of')",7353.900748428757
353,"('each', 'other')",7338.579505741676
354,"('other', 'side')",7284.557514053177
355,"('Alora', 'Jones')",7256.757856901297
356,"('pass', 'through')",7151.248619411167
357,"('King', 'Anko')",7144.71379505505
358,"('at', 'all')",7133.330184885674
359,"('pink', 'brain')",7088.698053967768
360,"('run', 'away')",7059.945700445768
361,"('laugh', 'merrily')",6934.333866346387
362,"('royal', 'palace')",6930.457856525012
363,"('easy', 'task')",6921.67331316217
364,"('his', 'head')",6852.743276185436
365,"('his', 'own')",6838.918064167665
366,"('as', 'if')",6810.842438768011
367,"('the', 'Wizard')",6801.3190425522835
368,"('twenty', 'five')",6797.839856046142
369,"('Oh', 'yes')",6731.425092553216
370,"('we', 'must')",6727.9000796727005
371,"('old', 'gentleman')",6659.536270147179
372,"('ever', 'beheld')",6655.291607651494
373,"('worry', 'about')",6631.3567754650785
374,"('you', 'Majesty')",6538.728985719272
375,"('straight', 'ahead')",6484.797713267681
376,"('magic', 'picture')",6440.434705102819
377,"('ever', 'since')",6414.612663165616
378,"('few', 'moment')",6395.128797694464
379,"('let', 'i')",6384.730834370543
380,"('Rainbow', ""'s"")",6370.305943766622
381,"('the', 'same')",6350.50661776969
382,"('deep', 'sigh')",6332.914307811413
383,"(""'"", 'clock')",6315.726018567442
384,"('part', 'of')",6304.093834864789
385,"('with', 'a')",6251.280649706593
386,"('want', 'to')",6246.276296900648
387,"('Dorothy', 'Gale')",6215.873906726905
388,"('morrow', 'morning')",6194.933075324186
389,"('jus', ""'"")",6080.074870598998
390,"('her', 'father')",6076.699428359296
391,"('Tristan', '’s')",6071.227915202061
392,"('in', 'a')",6017.127481223919
393,"('open', 'window')",6014.553022662643
394,"('such', 'a')",6012.005427775439
395,"('old', 'Mombi')",6007.12840315368
396,"('be', 'able')",6002.783390596829
397,"('same', 'time')",5969.592832548564
398,"('good', 'gracious')",5960.291857062145
399,"('I', 'think')",5941.696295860707
400,"('go', 'to')",5941.274334437831
401,"('Clockwork', 'man')",5919.354492624476
402,"('', 'n')",5906.795617773024
403,"('as', 'well')",5895.615505644799
404,"('instead', 'of')",5866.496478534463
405,"('his', 'feet')",5760.773796092479
406,"('bigger', 'than')",5739.589184928164
407,"('on', 'the')",5729.445880329403
408,"('je', ""'"")",5693.236360961352
409,"('into', 'the')",5674.210333888873
410,"('too', 'late')",5669.295918781092
411,"('do', 'you')",5634.384081158838
412,"('John', 'Merrick')",5602.729625828754
413,"('blue', 'eyes')",5544.405634453276
414,"('in', 'spite')",5540.653931929992
415,"('little', 'Brown')",5533.552475399308
416,"('royal', 'family')",5531.230433696676
417,"('good', 'fortune')",5507.671242097607
418,"('be', 'not')",5502.8904304754815
419,"('magic', 'power')",5413.884035080086
420,"('to', 'me')",5381.746164164567
421,"('I', 'will')",5329.032780788444
422,"('proper', 'form')",5321.691006624784
423,"('the', 'other')",5316.044283494448
424,"('dressing', 'room')",5296.495165484832
425,"('lot', 'of')",5293.128302082665
426,"('strong', 'enough')",5265.417157929034
427,"('thank', 'you')",5226.05953641449
428,"('who', 'have')",5223.255114951062
429,"('copper', 'man')",5188.750849007532
430,"('young', 'man')",5175.676720528672
431,"('glance', 'at')",5175.6164486735815
432,"('you', 'know')",5163.031883472943
433,"('fairy', 'tale')",5148.799489509018
434,"('hold', 'fast')",5132.062915680214
435,"('we', 'shall')",5121.553913597628
436,"('either', 'side')",5084.977837766328
437,"('said', 'tiktok')",5078.2550597783265
438,"('one', 'of')",5072.821867313387
439,"('reception', 'room')",5070.788792625691
440,"('information', 'or')",5068.338903407621
441,"('Tin', 'Soldier')",5063.63707603002
442,"('be', 'a')",5051.712467218432
443,"('as', 'possible')",5013.440515708599
444,"('six', 'hundred')",4999.933894856152
445,"('give', 'i')",4973.648346565282
446,"('look', 'around')",4948.257654377396
447,"('a', 'little')",4906.409385078982
448,"('electric', 'light')",4877.058261383596
449,"('river', 'bank')",4844.341131100787
450,"('long', 'time')",4841.6114125470995
451,"('lean', 'over')",4827.917652703084
452,"('come', 'to')",4816.2161335258725
453,"('and', 'then')",4813.945561625702
454,"('hard', 'work')",4780.209991436841
455,"('the', 'Tin')",4723.743705118104
456,"('I', 'suppose')",4722.6571143006
457,"('Pink', 'bear')",4656.826492193633
458,"('I', 'hope')",4646.121891015915
459,"('good', 'luck')",4640.235425724553
460,"('front', 'door')",4633.614167463344
461,"('at', 'the')",4630.098579850887
462,"('outside', 'world')",4629.448266704846
463,"('Oz', 'people')",4612.6557859309805
464,"('natural', 'shape')",4612.465119782692
465,"('the', 'world')",4608.432414292749
466,"('through', 'the')",4572.528455687482
467,"('close', 'together')",4565.945594988708
468,"('pumpkin', 'head')",4538.6969789871655
469,"('private', 'soldier')",4515.740836829904
470,"('rather', 'than')",4481.685678575958
471,"(""'"", 'bout')",4481.527230626108
472,"('just', 'as')",4478.558930312045
473,"('ought', 'to')",4458.225222578947
474,"('mrs', 'Merrick')",4449.451268016988
475,"('the', 'girl')",4414.236653136182
476,"(""'s"", 'daughter')",4367.947134051831
477,"('at', 'first')",4362.228467793335
478,"('next', 'moment')",4342.395833811214
479,"('farm', 'house')",4324.337177644591
480,"('his', 'wife')",4322.797520016121
481,"('soft', 'grass')",4305.742773945037
482,"('have', 'never')",4298.204124089869
483,"('a', 'moment')",4277.773245496323
484,"('faster', 'than')",4277.665600053526
485,"('I', ""'"")",4271.819472428152
486,"('most', 'important')",4264.102358568752
487,"('listen', 'carefully')",4250.740522980819
488,"('sort', 'of')",4203.99852087058
489,"('greater', 'than')",4187.615896481397
490,"('Miss', 'Merrick')",4181.188419001817
491,"('say', 'Dorothy')",4169.087445272398
492,"('mister', 'Jones')",4148.595554711623
493,"('reply', 'Dr')",4128.898102743348
494,"('goin', ""'"")",4117.832913821345
495,"('last', 'night')",4087.085764534929
496,"('his', 'hand')",4076.0794389289263
497,"('stood', 'motionless')",4069.9415039278765
498,"('John', 'O')",4056.629389250816
499,"('Weather', 'man')",4051.0537151186572
500,"('art', 'draw')",4038.447419117315
501,"('know', 'how')",4016.1981119042666
502,"('five', 'minute')",4014.8468252314783
503,"('end', 'of')",4011.7212340274154
504,"('Ozma', ""'s"")",3997.372025093589
505,"('heart', 'beat')",3979.2008852673553
506,"('little', 'dog')",3973.155029479147
507,"('know', 'what')",3969.715768280389
508,"('ol', ""'"")",3957.6905853615335
509,"('living', 'creature')",3953.704225984558
510,"(""'"", 'cause')",3953.012183346954
511,"('from', 'the')",3931.326874555313
512,"('the', 'ground')",3891.4521010033573
513,"(""'"", 'Swallertail')",3877.792595174163
514,"('talk', 'about')",3869.5820706795735
515,"('old', 'man')",3854.1395458637116
516,"('he', 'have')",3844.7223268849325
517,"('mister', 'price')",3843.697904930582
518,"('live', 'in')",3826.532542959984
519,"('take', 'care')",3814.038093749783
520,"('next', 'instant')",3804.597634594668
521,"('upon', 'the')",3799.7676641672965
522,"('I', 'believe')",3776.352394392563
523,"('grow', 'bigger')",3751.0927859646704
524,"('get', 'rid')",3734.6365098774463
525,"('her', 'grandfather')",3718.6219156825996
526,"('star', 'at')",3714.159452651344
527,"('a', ""'"")",3712.234999051921
528,"('Blue', 'country')",3703.205408801481
529,"('who', 'be')",3664.916722419593
530,"('my', 'own')",3659.389696086501
531,"('this', 'speech')",3643.1074075629017
532,"('so', 'much')",3632.7801762370636
533,"('bag', 'full')",3622.551710263511
534,"('you', 'will')",3620.5351915879123
535,"('we', 'can')",3619.3738112965125
536,"('rose', 'Princess')",3617.1517852561765
537,"('king', 'Kitticut')",3611.853430073582
538,"('a', 'lot')",3590.7544380347745
539,"('I', 'can')",3589.88421136544
540,"('let', ""'s"")",3585.0737275151946
541,"('she', 'have')",3579.5169428566483
542,"('Ol', ""'"")",3574.761389950932
543,"('have', 'no')",3571.303941966232
544,"('I', 'guess')",3545.144430247768
545,"('his', 'eye')",3543.6824906698253
546,"('top', 'of')",3513.916713527106
547,"('draw', 'near')",3507.6634073625155
548,"('center', 'of')",3487.7290897106764
549,"('their', 'own')",3463.9622746050995
550,"('get', 'acquaint')",3444.268122633994
551,"('stay', 'here')",3401.202644150684
552,"('come', 'here')",3398.2016125056716
553,"('burst', 'into')",3397.778076656683
554,"('wonder', 'what')",3395.8192298461267
555,"('edge', 'of')",3394.6761023823005
556,"('wild', 'beast')",3361.8809269005965
557,"('sitting', 'room')",3358.878388465196
558,"('her', 'mother')",3357.9967345680293
559,"('living', 'thing')",3340.5349068626642
560,"('never', 'heard')",3328.6452714034695
561,"('sit', 'down')",3319.9612745754866
562,"('spite', 'of')",3317.5323795411987
563,"('too', 'bad')",3317.184893028314
564,"('greatly', 'please')",3270.737462034114
565,"('a', 'great')",3256.464860453444
566,"('ask', 'Trot')",3241.0739514470165
567,"('little', 'man')",3234.7182072260066
568,"('but', 'I')",3222.4912069037428
569,"('his', 'Majesty')",3217.5387897869377
570,"('under', 'water')",3217.2961666470665
571,"('splendid', 'palace')",3202.0478257924656
572,"('Goodness', 'i')",3201.8723041825033
573,"('Yip', 'country')",3184.5166976168207
574,"('nothing', 'else')",3181.72933692083
575,"('the', 'Emerald')",3165.167816149363
576,"('yes', 'indeed')",3160.121850764982
577,"('Excuse', 'i')",3160.0671929648024
578,"('one', 'another')",3159.6206287048376
579,"('my', 'friend')",3156.26418855235
580,"('refrain', 'from')",3153.712546103327
581,"('half', 'past')",3140.8498822081156
582,"(""'"", 'lieve')",3125.364771197474
583,"('come', 'back')",3124.8775159977627
584,"('a', 'bit')",3116.9505499887264
585,"(""'"", 'lar')",3116.4259282773205
586,"('you', 'must')",3100.5684492557375
587,"('manage', 'to')",3096.984951854603
588,"('it', 'seem')",3065.749330159946
589,"('be', 'glad')",3050.084172297225
590,"('from', 'whence')",3049.4262848115823
591,"('we', '')",3045.509399082923
592,"('go', 'away')",3039.8665736404737
593,"('swiftly', 'toward')",3037.8224673018535
594,"('sound', 'asleep')",3037.725771743923
595,"('Uncle', 'Peter')",3035.1222625668283
596,"(""'s"", 'Crossing')",3033.9437605847393
597,"('all', 'librivox')",3031.4319769702297
598,"('mister', 'Joselyn')",3021.3078730992843
599,"('opposite', 'side')",3010.365531385024
600,"('the', 'little')",3009.934110351623
601,"('most', 'beautiful')",2996.528311991535
602,"('us', 'friend')",2987.2036503897016
603,"('recording', 'all')",2980.7607286961543
604,"('oblige', 'to')",2974.765932342204
605,"('go', 'back')",2961.589804238396
606,"(""'n"", 'Joe')",2939.990436700223
607,"('gardener', ""'s"")",2938.3294920156973
608,"('king', ""'s"")",2937.5341191081425
609,"('Gray', 'man')",2926.8938789520207
610,"('have', 'brotch')",2920.094444162464
611,"('her', 'own')",2915.873884753628
612,"('have', 'falle')",2909.084176272598
613,"('how', 'dare')",2895.7856068392025
614,"('ran', 'away')",2886.871721181786
615,"('cover', 'with')",2883.819108077196
616,"('you', 'may')",2863.923028687094
617,"('like', 'a')",2858.540019495186
618,"('I', 'want')",2857.3452113437293
619,"('we', 'will')",2850.0611833394732
620,"('the', 'land')",2836.7515351961342
621,"('altogether', 'too')",2834.5141888655885
622,"('very', 'fond')",2830.7006285917155
623,"('fad', 'away')",2828.7738036237015
624,"('unable', 'to')",2826.742285573939
625,"('if', 'I')",2821.041247778015
626,"('close', 'behind')",2799.096921556299
627,"('mister', 'Tellwright')",2797.7011317597976
628,"('tin', 'castle')",2782.5433550594307
629,"('side', 'of')",2778.901701579045
630,"('the', 'air')",2766.272496053558
631,"('they', 'be')",2765.7371442978824
632,"('enough', 'to')",2763.970878632684
633,"('one', 'day')",2763.180847051664
634,"('fairy', 'country')",2757.3505580669894
635,"('than', 'usual')",2749.0429544317426
636,"('to', 'eat')",2746.0632346238885
637,"('he', 'say')",2745.7184977521133
638,"('get', 'out')",2742.61344659747
639,"('the', 'shaggy')",2737.360743126853
640,"('to', 'get')",2731.008246482465
641,"('older', 'than')",2727.7998732425644
642,"('reg', ""'"")",2726.866968118481
643,"('low', 'voice')",2725.744307091775
644,"('young', 'girl')",2713.4829437330027
645,"('interfere', 'with')",2709.5419208820795
646,"('gold', 'piece')",2704.6545104560946
647,"('we', 'have')",2704.246697797525
648,"('the', 'forest')",2701.3127821642047
649,"('no', 'sooner')",2699.5884092749543
650,"('remark', 'Cap')",2687.1378822438305
651,"('mix', 'up')",2683.9255137061673
652,"('talk', 'together')",2677.6534076789317
653,"('reason', 'why')",2676.8676013651097
654,"('n', 'not')",2675.181312500357
655,"('three', 'year')",2674.098565814099
