,word,local_word,examples,local_examples
197,writing,écrire,[],[]
198,read,lire,[],[]
199,read,lecture,[],[]
200,reader,lecteur,[],[]
201,reading,lecture,[],[]
202,hear,entendre,[],[]
203,hear,entendu,[],[]
204,hearing,audience,[],[]
205,hearing,ouïe,[],[]
206,Horne,Horne,[],[]
207,heard,Heard,[],[]
208,feel,sentir,[],[]
209,feeling,sentiment,[],[]
210,felt,ressentir,[],[]
211,be,être,[],[]
212,be,est,[],[]
213,be,tre,[],[]
214,will,sera,[],[]
215,will,permettra,[],[]
216,will,pouvoir,[],[]
217,will,volonté,[],[]
218,right,droit,[],[]
219,guru,gourou,[],[]
220,guru,Guru,[],[]
221,guru,gourou,[],[]
222,guru,Guru,[],[]
223,beginner,débutant,[],[]
224,collide,collision,[],[]
225,collide,heurter,[],[]
226,genetically,génétiquement,[],[]
227,refugee,réfugié,[],[]
228,refugee,réfugiée,[],[]
229,secular,laïque,[],[]
230,secular,séculier,[],[]
231,secular,profane,[],[]
232,pasta,pâte,[],[]
233,pasta,Pasta,[],[]
234,beaver,Beaver,[],[]
235,tiger,tigre,[],[]
236,lion,Lion,[],[]
237,pen,stylo,[],[]
238,pen,enclos,[],[]
239,coconut,coco,[],[]
240,coconut,cocotier,[],[]
241,dynamite,dynamite,[],[]
242,spoon,cuillère,[],[]
243,spoon,Spoon,[],[]
244,ocean,océan,[],[]
245,ocean,océanique,[],[]
246,ocean,océan,[],[]
247,ocean,océanique,[],[]
248,mug,tasse,[],[]
249,shampoo,shampooing,[],[]
250,shampoo,shampoings,[],[]
251,shampoo,Shampoo,[],[]
252,buzzer,buzzer,[],[]
253,everything,tout,[],[]
254,everything,tout,[],[]
255,fishing,pêche,[],[]
