,Unnamed: 0,eng_word,rus,fr
943,943,spoon,блесна,no_equality
944,944,spoon,обниматься,no_equality
945,945,spoon,черпать ложкой,no_equality
955,955,journey,переезд,no_equality
956,956,journey,странствование,no_equality
962,962,table,расписание,no_equality
963,963,table,табель,no_equality
964,964,table,столовая,no_equality
965,965,table,табличка,no_equality
966,966,table,настольный,no_equality
967,967,table,табличный,no_equality
968,968,table,застольный,no_equality
969,969,table,на стол,no_equality
972,972,shampoo,мытье головы,no_equality
976,976,finger,отпечаток пальца,no_equality
977,977,finger,указующий перст,no_equality
978,978,finger,пальцевой,no_equality
979,979,finger,пальчиковый,no_equality
980,980,finger,теребить,no_equality
982,982,elephant,Элефант,no_equality
983,983,elephant,слоновий,no_equality
984,984,elephant,слоновый,no_equality
986,986,add,складывать,no_equality
989,989,add,придавать,no_equality
990,990,add,добавиться,no_equality
991,991,add,подлить,no_equality
994,994,add,дописать,no_equality
995,995,add,присовокупить,no_equality
996,996,add,дополнительный,no_equality
1005,1005,advice,авизо,no_equality
1007,1007,advice,информация,no_equality
1008,1008,advice,консультативное заключение,no_equality
1010,1010,advice,консультационный,no_equality
1026,1026,point,точка зрения,no_equality
1030,1030,point,отмечать,no_equality
1033,1033,point,подчеркивать,no_equality
1034,1034,point,навести,no_equality
1035,1035,point,точечный,no_equality
1039,1039,curriculum,куррикулум,no_equality
1041,1041,curriculum,содержание образования,no_equality
1044,1044,tip,тонкий конец,no_equality
1046,1046,tip,подсказка,no_equality
1048,1048,tip,оконечность,no_equality
1049,1049,tip,отзыв,no_equality
1050,1050,tip,полезный Совет,no_equality
1051,1051,tip,зонд,no_equality
1052,1052,tip,подачка,no_equality
1056,1056,tip,опрокинуться,no_equality
1060,1060,entire,целостный,no_equality
1063,1063,entire,целиком,no_equality
1067,1067,against,напротив,no_equality
1068,1068,against,по отношению,no_equality
1069,1069,against,на фоне,no_equality
1082,1082,hear,звучать,no_equality
1083,1083,hear,слыхать,no_equality
1087,1087,hear,слышный,no_equality
1111,1111,actually,как ни странно,no_equality
1112,1112,actually,фактический,no_equality
1119,1119,right,правота,no_equality
1123,1123,right,вправо,no_equality
1131,1131,right,сразу,no_equality
1135,1135,right,прямо,no_equality
1140,1140,else,прочий,no_equality
1141,1141,else,же еще,no_equality
1142,1142,else,чужой,no_equality
1145,1145,album,альбомный,no_equality
1149,1149,beer,пивная,no_equality
1150,1150,beer,пивной,no_equality
1151,1151,beer,пчелиный,no_equality
1154,1154,secret,потайной,no_equality
1156,1156,secret,негласный,no_equality
1157,1157,secret,закулисный,no_equality
1161,1161,secret,закрытый,no_equality
1162,1162,secret,затаенный,no_equality
1163,1163,secret,тайно,no_equality
1167,1167,fashion,стиль,no_equality
1172,1172,fashion,модельер,no_equality
1175,1175,fashion,модельный,no_equality
1176,1176,fashion,фасонировать,no_equality
1177,1177,fashion,вылепить,no_equality
1196,1196,star,кинозвезда,no_equality
1197,1197,star,стар,no_equality
1198,1198,star,главные роли,no_equality
1199,1199,star,дива,no_equality
1202,1202,star,играть главные роли,no_equality
1216,1216,benefit,привилегия,no_equality
1224,1224,benefit,эффект,no_equality
1225,1225,benefit,выигрыш,no_equality
1226,1226,benefit,плод,no_equality
1228,1228,benefit,принести пользу,no_equality
1229,1229,benefit,выигрывать,no_equality
1230,1230,benefit,выгодный,no_equality
1236,1236,meeting,митинг,no_equality
1239,1239,meeting,собрание акционеров,no_equality
1242,1242,meeting,встречающий,no_equality
1243,1243,meeting,удовлетворяющий,no_equality
1244,1244,meeting,встречающийся,no_equality
1254,1254,quite,неплохой,no_equality
1261,1261,strength,напряженность,no_equality
1264,1264,strength,достоинство,no_equality
1267,1267,strength,усилие,no_equality
1268,1268,strength,силовой,no_equality
1269,1269,strength,прочный,no_equality
1287,1287,beginner,начальный уровень,no_equality
1289,1289,beginner,начальный,no_equality
1298,1298,final,выпускной,no_equality
1299,1299,final,готовый,no_equality
1301,1301,final,решающий,no_equality
1305,1305,final,выпускной экзамен,no_equality
1306,1306,final,окончательно,no_equality
1307,1307,final,конечно,no_equality
1311,1311,agree,согласоваться,no_equality
1312,1312,agree,сходиться,no_equality
1315,1315,agree,быть согласным,no_equality
1316,1316,agree,сходиться во мнениях,no_equality
1317,1317,agree,сговориться,no_equality
1319,1319,alone,таковая,no_equality
1338,1338,exam,экзаменационный,no_equality
1342,1342,exercise,зарядка,no_equality
1343,1343,exercise,занятие,no_equality
1344,1344,exercise,гимнастика,no_equality
1348,1348,exercise,экзерсис,no_equality
1349,1349,exercise,моцион,no_equality
1350,1350,exercise,занятие физкультурой,no_equality
1352,1352,exercise,упражнять,no_equality
1356,1356,exercise,заниматься физическими упражнениями,no_equality
1374,1374,child,потомок,no_equality
1375,1375,child,чадо,no_equality
1377,1377,child,дочерний,no_equality
1378,1378,child,несовершеннолетний,no_equality
1388,1388,school,класс,no_equality
1394,1394,school,учеба,no_equality
1404,1404,band,узы,no_equality
1407,1407,band,зона,no_equality
1410,1410,band,ленточный,no_equality
1411,1411,band,диапазонный,no_equality
1412,1412,band,ленточнопильный,no_equality
1413,1413,band,Band,no_equality
1419,1419,letter,грамота,no_equality
1420,1420,letter,письмена,no_equality
1421,1421,letter,буквенный,no_equality
1422,1422,letter,письменный,no_equality
1423,1423,letter,Letters,no_equality
1424,1424,letter,писать письмо,no_equality
1427,1427,driving,движение,no_equality
1428,1428,driving,руль,no_equality
1429,1429,driving,перегон,no_equality
1430,1430,driving,проходка,no_equality
1431,1431,driving,автовождение,no_equality
1432,1432,driving,забивка,no_equality
1433,1433,driving,движущий,no_equality
1434,1434,driving,движущийся,no_equality
1435,1435,driving,управляющий,no_equality
1436,1436,driving,въезжающий,no_equality
1437,1437,driving,приводящий в движение,no_equality
1438,1438,driving,гоняющий,no_equality
1439,1439,driving,приводной,no_equality
1440,1440,driving,ездовой,no_equality
1445,1445,fishing,удочка,no_equality
1448,1448,fishing,ужение,no_equality
1449,1449,fishing,рыболовный,no_equality
1450,1450,fishing,рыбодобывающий,no_equality
1451,1451,fishing,ловильный,no_equality
1453,1453,adjective,определение,no_equality
1454,1454,adjective,характеристика,no_equality
1464,1464,dinner,обеденный,no_equality
1470,1470,dependable,зависимый,no_equality
1471,1471,dependable,заслуживающий доверия,no_equality
1472,1472,dependable,зависящий,no_equality
1486,1486,finally,конечно,no_equality
1499,1499,almost,без малого,no_equality
1504,1504,secular,долговременный,no_equality
1505,1505,secular,секуляристский,no_equality
1506,1506,secular,мирянин,no_equality
1507,1507,secular,светскость,no_equality
1522,1522,far,на большом расстоянии,no_equality
1523,1523,far,далече,no_equality
1524,1524,far,удаленный,no_equality
1540,1540,exit,съезд,no_equality
1543,1543,exit,свернуть,no_equality
1544,1544,exit,выездной,no_equality
1545,1545,exit,выходной,no_equality
1548,1548,everything,что угодно,no_equality
1551,1551,air,эфир,no_equality
1553,1553,air,авиация,no_equality
1557,1557,air,воздушный транспорт,no_equality
1559,1559,air,атмосферный,no_equality
1560,1560,air,эфирный,no_equality
1562,1562,air,авиатранспортный,no_equality
1563,1563,air,вентиляционный,no_equality
1580,1580,below,под,no_equality
1581,1581,below,нижеуказанный,no_equality
1592,1592,dance,танцулька,no_equality
1595,1595,dance,приплясывать,no_equality
1596,1596,dance,хореографический,no_equality
1597,1597,dance,плясовой,no_equality
1602,1602,mother,материнский,no_equality
1603,1603,mother,родной,no_equality
1609,1609,everywhere,сплошь,no_equality
1610,1610,everywhere,вездесущий,no_equality
1618,1618,order,строй,no_equality
1623,1623,order,упорядочить,no_equality
1624,1624,fail,неудача,no_equality
1627,1627,fail,не удаваться,no_equality
1633,1633,fail,не смочь,no_equality
1635,1635,fail,не справиться,no_equality
1637,1637,fail,не увенчаться успехом,no_equality
1638,1638,fail,не состояться,no_equality
1639,1639,fail,оказаться неудачным,no_equality
1640,1640,fail,окончиться неудачей,no_equality
1641,1641,fail,потерпеть провал,no_equality
1642,1642,fail,потерпеть фиаско,no_equality
1647,1647,envelope,колба,no_equality
1648,1648,envelope,огибающая,no_equality
1649,1649,envelope,габарит,no_equality
1650,1650,envelope,оболочечный,no_equality
1653,1653,freeze,застывать,no_equality
1654,1654,freeze,примерзать,no_equality
1655,1655,freeze,зависать,no_equality
1656,1656,freeze,отморозить,no_equality
1657,1657,freeze,заледенеть,no_equality
1660,1660,freeze,зависание,no_equality
1667,1667,necessary,неизбежный,no_equality
1668,1668,necessary,надобный,no_equality
1671,1671,necessary,надо,no_equality
1672,1672,necessary,надобность,no_equality
1679,1679,size,диаметр,no_equality
1685,1685,size,крупность,no_equality
1686,1686,size,кегль,no_equality
1687,1687,size,разм,no_equality
1688,1688,size,размерный,no_equality
1695,1695,select,отборный,no_equality
1700,1700,read,гласить,no_equality
1702,1702,read,начитаться,no_equality
1703,1703,read,чтение,no_equality
