,word,local_word,pos,examples,local_examples,examples_and_definitions
174,point,очки,noun,ACP Point|bonus point|Reward Point|political point|,зачетные очки ашп | бонусные очки | поощрительные очки | политические очки | ,ACP Point|bonus point|Reward Point|political point|glass | run | sunglasses | score | spectacle | goggle | eyeglass | Lounge Point | 
175,point,балл,noun,penalty point|,штрафные баллы | ,penalty point|magnitude | score | vote | ball | grade | 
176,point,смысл,noun,empty_cell,empty_cell,sense | meaning | way | implication | 
177,point,дело,noun,empty_cell,empty_cell,case | affair | business | thing | matter | cause | work | ministry | 
178,point,очко,noun,first point|,первое очко | ,first point|run | pip | 
179,point,указывать,verb,to point at the map|,указывать на карту | ,to point at the map|indicate | specify | show | suggest | point out | highlight | emphasize | 
180,point,указать,verb,to point dramatically|to point the way|,театрально указать | указать путь | ,to point dramatically|to point the way|specify | indicate | enter | select | define | set | point out | state | 
181,point,направить,verb,empty_cell,empty_cell,send | direct | deploy | focus | forward | aim | channel | turn | steer | 
182,point,отметить,verb,empty_cell,empty_cell,say | note | mark | celebrate | point out | mention | click | observe | notice | 
183,point,ссылаться,verb,empty_cell,empty_cell,invoke | link | refer | refer to | quote | cite | fall back | allege | 
184,point,показывать,verb,empty_cell,empty_cell,show | indicate | suggest | demonstrate | reveal | display | show | 
185,point,обращать,verb,empty_cell,empty_cell,pay | draw | pay | convert | invert | leave aside | 
186,point,отмечать,verb,empty_cell,empty_cell,celebrate | note | mark | point out | observe | 
187,point out,отметить,verb,empty_cell,empty_cell,say | note | mark | celebrate | mention | click | observe | notice | 
188,point out,выявить,verb,empty_cell,empty_cell,reveal | identify | detect | expose | discover | uncover | highlight | identify | 
189,point out,указывать,verb,to sensibly point out gold's risks|to point out gold's risks|to point out the information's absence|,благоразумно указывать на риски золота | указывать на риски золота | указывать на отсутствие информации | ,to sensibly point out gold's risks|to point out gold's risks|to point out the information's absence|point | indicate | specify | show | suggest | point | highlight | emphasize | 
190,point out,отмечать,verb,empty_cell,empty_cell,celebrate | note | mark | observe | 
191,point out,указать,verb,empty_cell,empty_cell,specify | indicate | point | enter | select | define | set | state | 
192,point out,подчеркивать,verb,empty_cell,empty_cell,emphasize | stress | highlight | underscore | underline | note | accentuate | 
193,point out,заметить,verb,empty_cell,empty_cell,notice | note | see | observe | spot | remark | mention | notice | 
194,point out,отмечаться,verb,empty_cell,empty_cell,note | mark | celebrate | state | highlight | mark | 
195,point out,напомнить,verb,empty_cell,empty_cell,remind | recall | remind | recall | resemble | 
196,strength,сила,noun,physical strength|growing strength|political strength|economic strength|,физическая сила | растущая сила | политическая сила | экономической силы | ,physical strength|growing strength|political strength|economic strength|force | power | 
197,strength,прочность,noun,structural strength|,прочность конструкции | ,structural strength|durability | resistance | toughness | solidity | stiffness | resilience | density | 
198,strength,сильная сторона,noun,key strength|,сильная сторона | ,key strength|
199,strength,мощь,noun,industrial strength|,промышленную мощь | ,industrial strength|power | might | capability | muscle | 
200,strength,преимущество,noun,empty_cell,empty_cell,advantage | benefit | edge | 
201,strength,мощность,noun,empty_cell,empty_cell,capacity | power | facility | output | capability | 
202,star,звезда,noun,red star|gold star|rising star|bright star|,красная звезда | золотая звезда | восходящая звезда | яркая звезда | ,red star|gold star|rising star|bright star|
203,star,stars,noun,empty_cell,empty_cell,empty_cell
204,star,стар,noun,empty_cell,empty_cell,historic quarter | 
205,star,сниматься,verb,empty_cell,empty_cell,film | untie | 
206,thing,вещь,noun,interesting thing|different thing|simple thing|important thing|,интересная вещь | разные вещи | простая вещь | важная вещь | ,interesting thing|different thing|simple thing|important thing|stuff | item | belongings | clothes | object | 
207,thing,дело,noun,good thing|first thing|terrible thing|,хорошее дело | Первое дело | ужасное дело | ,good thing|first thing|terrible thing|case | affair | business | matter | cause | work | ministry | point | 
208,thing,штука,noun,rusted circular thing|marvelously constructed thing|little thing|weird thing|,ржавой круглой штукой | изумительно спроектированная штука | маленькими штуками | странные штуки | ,rusted circular thing|marvelously constructed thing|little thing|weird thing|piece | stuff | trick | stunt | 
209,thing,ситуация,noun,empty_cell,empty_cell,situation | condition | environment | 
210,thing,предмет,noun,non-living thing|,неживой предмет | ,non-living thing|item | subject | object | piece | Article | matter | artifact | 
211,thing,событие,noun,empty_cell,empty_cell,event | development | 
212,thing,момент,noun,key thing|very positive thing|second thing|,ключевой момент | очень положительный момент | второй момент | ,key thing|very positive thing|second thing|moment | point | time | date | 
213,thing,объект,noun,empty_cell,empty_cell,object | facility | site | installation | target | property | building | entity | 
214,thing,явление,noun,urban things|common thing|,городские явления | привычное явление | ,urban things|common thing|phenomenon | occurrence | 
215,coincide,совпадать,verb,empty_cell,empty_cell,match | overlap | fit | match up | correspond | concur | converge | clash | 
216,coincide,совпасть,verb,to coincide precisely|,точно совпасть | ,to coincide precisely|match | concur | match up | 
217,coincide,приурочить,verb,empty_cell,empty_cell,time | 
218,dance,танец,noun,folk dance|classical dance|traditional dance|Dance of Fire|,народный танец | классический танец | традиционный танец | танец огня | ,folk dance|classical dance|traditional dance|Dance of Fire|dancing | dancer | 
219,dance,бал,noun,empty_cell,empty_cell,ball | 
220,dance,пляска,noun,wild dance|,беспорядочные пляски | ,wild dance|dancing | 
221,dance,танцевать,verb,to dance together|,танцевать вместе | ,to dance together|remix | 
222,dance,плясать,verb,empty_cell,empty_cell,empty_cell
223,dance,потанцевать,verb,empty_cell,empty_cell,empty_cell
224,countryside,местность,noun,surrounding countryside|Tuscan countryside|beautiful countryside|green countryside|,окружающую загородную местность | тосканскую загородную местность | живописная сельская местность | зеленой загородной местности | ,surrounding countryside|Tuscan countryside|beautiful countryside|green countryside|area | terrain | location | setting | locality | landscape | 
225,countryside,деревня,noun,Andalusian countryside|,андалузская деревня | ,Andalusian countryside|village | 
226,countryside,природа,noun,empty_cell,empty_cell,nature | landscape | 
227,countryside,окрестность,noun,empty_cell,empty_cell,surrounding area | surroundings | neighbourhood | vicinity | surrounding countryside | suburb | outskirt | 
228,countryside,загородный пейзаж,noun,empty_cell,empty_cell,empty_cell
229,countryside,пейзаж,noun,empty_cell,empty_cell,landscape | scenery | surroundings | 
230,countryside,загородные районы,noun,empty_cell,empty_cell,empty_cell
231,break,перерыв,noun,lunch break|winter break|short break|small break|,обеденный перерыв | зимнего перерыва | короткий перерыв | небольшой перерыв | ,lunch break|winter break|short break|small break|interruption | hiatus | interval | pause | recess | closure | adjournment | coffee break | 
232,break,отдых,noun,relaxing break|family break|peaceful break|active break|,расслабляющий отдых | семейный отдых | спокойный отдых | активный отдых | ,relaxing break|family break|peaceful break|active break|holiday | rest | vacation | stay | recreation | relaxation | leisure | activity | 
233,break,разрыв,noun,single-strand breaks|radical break|unrepaired single-strand breaks|,однонитевые разрывы | радикальный разрыв | Неустраненные однонитевые разрывы | ,single-strand breaks|radical break|unrepaired single-strand breaks|gap | rupture | discontinuity | divide | collapse | disconnect | tear | rift | 
234,break,льгота,noun,tax break|,налоговая льгота | ,tax break|benefit | privilege | concession | incentive | perk | exemption | preference | rebate | 
235,break,каникула,noun,summer break|spring break|mid-winter break|,летние каникулы | весенние каникулы | зимние каникулы | ,summer break|spring break|mid-winter break|holiday | vacation | recess | school holiday | 
236,break,перемена,noun,empty_cell,empty_cell,change | shift | recess | transformation | 
237,break,отпуск,noun,empty_cell,empty_cell,holiday | vacation | leave | leaf | 
238,break,прорыв,noun,empty_cell,empty_cell,breakthrough | breakout | advance | rupture | penetration | leap | incursion | 
239,break,пауза,noun,commercial break|,рекламная пауза | ,commercial break|pause | interval | intermission | interruption | 
240,break,сломать,verb,to break his legs|,сломать ногу | ,to break his legs|break down | bring down | fracture | crack | 
241,break,нарушать,verb,to break the law|to break the rules|,нарушать закон | нарушать правил | ,to break the law|to break the rules|violate | infringe | disrupt | disturb | upset | breach | abuse | violate | 
242,break,нарушить,verb,to break with convention|,нарушить данное правило | ,to break with convention|violate | disrupt | disturb | breach | compromise | violate | upset | 
243,break,разбить,verb,to break one transaction|to break my heart|,разбить одну транзакцию | разбить мое сердце | ,to break one transaction|to break my heart|smash | shatter | split | divide | dash | crush | partition | break up | 
244,break,ломать,verb,to mostly break stealth|,ломать защиту самолётов-невидимок | ,to mostly break stealth|rack | wring | wreck | 
245,break,разорвать,verb,to break this vicious circle|,разорвать этот порочный круг | ,to break this vicious circle|tear | sever | break off | disconnect | tore apart | cut off | tear up | sever | 
246,break,побивать,verb,to break the record|to break every record|,побить рекорд | побить все рекорды | ,to break the record|to break every record|beat | hit | beat up | 
247,break,порвать,verb,empty_cell,empty_cell,tear | break up | sever | tear up | 
248,break,разрушить,verb,empty_cell,empty_cell,destroy | demolish | ruin | destroy | shatter | damage | disrupt | break down | 
249,break up,пресечь,verb,empty_cell,empty_cell,break up | thwart | curb | disrupt | undercut | cut off | nip | curtail | 
250,break up,разогнать,verb,empty_cell,empty_cell,disperse | break up | dispel | 
251,break up,ликвидировать,verb,empty_cell,empty_cell,eliminate | liquidate | eliminate | eradicate | bust | break up | dismantle | smash | abolish | 
252,break up,развалиться,verb,empty_cell,empty_cell,fall apart | collapse | break up | fall down | unravel | break down | 
253,break up,раскрыть,verb,empty_cell,empty_cell,reveal | open | disclose | expose | uncover | expand | reveal | bring out | unveil | 
254,break up,распасться,verb,empty_cell,empty_cell,collapse | fall apart | break up | disintegrate | 
255,break up,перекрыть,verb,empty_cell,empty_cell,block | shut down | close | overlap | break up | close down | cut off | 
