,word,local_word,pos,examples,local_examples,examples_and_definitions
22,this,эта,DET,DET,DET,this | This button is located in different places. | This new team is thriving. | This option is only available for drawings. | This system is ready for use. | This paper proves it. | Why would you want this job? | This table contains information about each application. | This part of the plan isn't going so well. | And maybe this whole thing is just going to. | This command is for drawing objects only. | I want you to have this one. | What impact is this problem having on your operating costs? | What does this one do? | This night is finally over. | To accept this would alter our relationship entirely. | 
23,this,эту,DET,DET,DET,"this | You may disable this via the settings. | To solve this problem, please read the instructions below. | Nice of people to bring all this food. | But something is making this water like this. | The following hotfix package resolves this issue in client roles. | Examine this part before creating the assembly. | We do not use this information for advertising. | We should probably wrap this tour up. | Click this button to exit from the application. | What do you want for this bottle? | This library cannot be renamed. | Get this hand up here. | This option is not meant to be used directly. | Repeat this task for each folder. | What do we know about this church? | "
24,not,не,ADV,ADV,ADV,not | don't | does not | no | didn't | won't | isn't | without | She ought not to have said such things. | And not just for you. | I just hope you're not part of that plan. | I do not understand why people break laws. | Do not look at the phone screen more! | The job was started but could not be completed. | She was not responsible. | But it's not just about the clothes. | These things do not work? | Why is it you're not married? | I suspect all is not quite as it seems. | I told her not to get involved. | I am always going to regret just not being there. | Please do not do this. | Base installation directory not found. | 
25,not,нет,ADV,ADV,ADV,"no | not | don't | there | doesn't | none | isn't | I promise you he's not there. | Has there been another phone call today or not? | You do not have permission to edit the element. | Are you still in, or not? | Not that at all. | I propose to vote, meeting with us or not. | Not in my life. | What is it to me whether she dances or not? | Not according to our logs. | Not if we follow the rules. | You want real revenge, or not? | Did we win the election or not? | Did you guys get it on or not? | Not if we keep it. | Not without spies on the inside. | "
26,have,иметь,VERB,VERB,VERB,"have | be | having | keep | bear | I thought you'd like to have this. | You must have document designer privileges. | It is especially important to have pure thoughts and feelings. | You realize we can't have everything. | External content types can have actions. | Objects can have relationships with other objects. | We can both have what we want. | We can be successful and have enemies, right? | What documents should she have? | Without this cable the processor will not have any power. | Unions cannot have base classes. | We have to have faith. | Multiple tasks can have the same sequence number. | How can he have rights? | Or have any family holidays? | "
27,have,есть,VERB,VERB,VERB,"have | has | is | there | got | are | eat | Powerful men have enemies. | Do you have a qualifying upgrade license? | Do you have any particular disabilities? | Does anyone have any idea who this is? | Those parts of the ship have a correct name. | We have everything we need for a delivery. | Do you have any symptoms? | The rooms have comfortable beds. | Good man to have in your corner. | People who have all they need to be happy. | Do you have a needle? | Do you have money for your fare? | The suites have a private outdoor barbecue area. | You also have a gym, no? | I think i have just the thing. | "
28,have,у,VERB,VERB,VERB,"have | at | do | from | 've | got | had | Cats have nine lives. | What have we got? | Do you have a permit? | I mean, have you guys ever. | We have lots of that. | You have no list. | You have no clue, do you? | Do you think we have a leak? | Good question, because we have so many options. | You have two days to agree to my demands. | You do not have permission to edit the element. | And the women have that. | We do have a kid living here with his mother. | But words, words have a totally different power. | I think we have a lot of potential. | "
29,have,должны,VERB,VERB,VERB,"should | must | have | need | You have to protect him. | We have to make a decision here. | We have to take that egg to the real authorities. | And then you have to change gear. | We just have to put it behind us. | But you have to do this. | And we have to bring it, him back home. | We have got to stop this guy. | We have to do something! | We have to be prepared. | Even you have to admit that now. | We have to get him off the street. | We have to put the candidates on a witness stand. | So we must have all the frescoes removed, intact. | You have to protect me. | "
30,have,установлена,VERB,VERB,VERB,have | installed | established | mounted | Most studios have a spa bath. | Apartments also have a washing machine. | Some suites also have a private spa bath. | Some spacious suites also have a spa bath. | Some rooms and cottages have a spa bath. | Some suites have a jacuzzi. | Selected rooms have a spa bath. | All bathrooms have a jet tub. | Some have a private hydromassage tub. | Some bathrooms have a spa bathtub. | Suites have a spa bath. | Some units have a spa bathtub. | Some units also have a spa bath. | Some rooms also have whirlpool bathtubs. | Some kitchenettes have a washing machine. | 
31,have,обладают,VERB,VERB,VERB,"have | possess | exhibit | They have a full set of properties like real components. | The bottles have an excellent design. | They have enormous power. | Federations have jurisdiction to conduct results management. | The administrator and document owner will still have full access. | These original numerical puzzles have a special magical attraction. | These men have a particular set of skills. | They have the same characteristics. | These vessels have several unique features. | Not many people have this quality. | The details themselves have the ability to move people. | Both versions have the same features. | Men sometimes have that ability, you know? | Software systems today have many excellent capabilities. | Its waters have powerful magical properties. | "
32,have,располагают,VERB,VERB,VERB,have | feature | include | offer | Suites have a private terrace. | Most apartments have a private balcony. | Some apartments have a kitchenette and dining table. | Some of the rooms have seafront balconies. | Apartments also have kitchenette facilities and a fridge. | Many have a private balcony. | Some rooms have a balcony or a terrace. | Some rooms have kitchen facilities and a corner spa bath. | Some have a fully equipped kitchen. | The apartments also have a kitchenette plus dining area. | The apartments and some rooms have a balcony. | Most rooms also have a private balcony. | Some also have a private balcony. | Some rooms also have sofa sleepers. | Select suites have a fireplace. | 
33,have,было,VERB,VERB,VERB,was | had | were | been | has been | have | happened | Maybe we should have told you. | Something had to have happened along the way. | I should have talked to him by myself. | You should have worn your normal glasses then. | Maybe he didn't have a chance yet. | You should have stayed away. | So the kids have more space to dance. | What we should have done in the first place. | A body may have been recovered. | What would you expect to have happened? | Things have been tense. | You should have declared it. | I should have kept that money to help you out. | I should have told her sooner. | I should have asked for more money. | 
34,have,быть,VERB,VERB,VERB,"be | have | being | That must have been so painful. | Could not have been nicer. | You must have a great destiny. | I may have changed a few lives today. | And we can have more fun. | He will not allow himself to have her. | A good dairy cow should have, like, four. | I knew you had to have it. | Each profile must have a unique name. | This place has to have a law section, right? | What if you can't have children? | You could have a kid. | It was as fresh as it could have possibly been. | He might have moved her already. | You must have read my mind. | "
35,have,уже,VERB,VERB,VERB,"already | have | 's | 've | has | 're | been | Have you been filming those policemen? | I see you gentlemen have met. | We have waited all day. | We have passed the halfway point and time is unstoppable! | Have you chosen a new dog yet? | Four of you have already quit. | Not meddling, just have time on my hands. | Several years have already passed since this experience. | Do we have any information? | You have done enough damage! | We have discussed it. | How many lessons have you had? | I have bought many templates from you. | Have you ever seen him? | I have already done that. | "
36,have,получить,VERB,VERB,VERB,"get | receive | obtain | have | gain | getting | retrieve | He can have any of these. | I can have a warrant ready in three hours. | You could have it all. | You can have it all. | We should have a report soon. | If you want it, you can have it. | You can have any man you want. | We must now allow her to have this power! | You can have everything you want. | You can have it. | You can have one or the other. | You can have it. | You can have the company. | So he wants to have an exact line. | You can have it back. | "
37,letter,письмо,NOUN,NOUN,NOUN,letter | email | writing | mail | Did your letter arrive yet? | That letter was for you. | Did you get my letter? | I found your letter. | You really didn't write that letter? | I received a letter from home. | I have received a letter from her. | Could you help me write her a letter? | Your letter will be read in the shortest term. | You might have sent your mother at least one letter. | I got a letter with a key in it. | This letter is a very important part of healing. | They wrote you a letter. | That letter was for me. | Think about writing that letter. | 
38,letter,буква,NOUN,NOUN,NOUN,"letter | The current revision number or letter is used. | Each incorrect letter will break one rope of the balloon. | After encrypting, a section letter is deleted from the system ... | Second letter is key code type and four ... | If a letter hit your keyboard, you lose ... | Each letter means some module which user has purchased or ... | If the letter is no there or is assigned to ... | If this letter is repeated several times in a word ... | A letter constraint that specifies a relationship between two ... | This letter is an indication of the severity that ... | Please check that the drive letter or mount point is ... | ... that could be a letter, numeral, or symbol. | ... on the page, and the letter in that line. | ... to delete, assign or change a partition letter. | ... see whether the next letter of the word is there. | "
39,plate,пластины,NOUN,NOUN,NOUN,plate | wafer | fins | Specifies the material standard for the plate or grating. | Specifies the material code for the plate or grating. | Deflection is too large for specified plate dimensions. | Summarizes all parameters necessary for definition of the plate geometry. | Select the shape of plate and support type. | Could not split between bend and plate. | Creates a structural plate or grating. | Creates a plate or grating. | Select a plate thickness and a connection plate thickness. | Select a plate thickness and a connection plate thickness. | Define the web plate thickness and height. | Each iCopy result uses the plate part. | Ring plate minimum width. | Ring plate absolute width. | As for the plate? | 
40,plate,тарелку,NOUN,NOUN,NOUN,plate | dish | bowl | saucer | Hand me your plate. | Let me get another plate. | We give you a plate of your own. | Get a plate and put on some toast. | My knife went right through my plate! | Go find a plate. | I hope you get to keep the plate. | Give me your plate. | Leave my plate alone. | Daily breakfast is served in breakfast plate. | Put down that plate immediately! | I would like a fruit plate. | Give me that plate! | Take his plate out of the refrigerator and put it in ... | A plate of season's fruits can be ordered to wait ... | 
41,plate,плита,NOUN,NOUN,NOUN,"stove | plate | cooker | hob | slab | oven | hotplates | Universal linkage plate for skid steer loaders ... | Plate for under-floor heating system of water heating | And there was one big plate, | ... the following structure types: plate design and shell design. | ... the structure types: plate and shell. | ... and type of configuration: a rectangular plate | ... for only 2 structure types: plate and shell. | universal linkage plate for skid steer loaders; | The top plate is made of wear-resistant material. | ... results for structure models (plate/shell and volumetric ... | Simple bending (plate). | No massive or heavy bed plate required | When Plate is chosen, bending moments in ... | Mounting plate It is intended for cleaning streets ... | A front mounted push plate/counterweight or front ... | "
42,plate,табличка,NOUN,NOUN,NOUN,"plate | plaque | nameplate | decal | If they got the plate, then they found ... | A ""no camping"" plate and a tent under ... | ... tradition and rovatese symbol of his plate: beef oil. | ... a plate, this plate shall be flat and ... | ... — it's not just information plate. | ... -3: Identification plate (sample values) | "
43,plate,латы,NOUN,NOUN,NOUN,"plate | battens | lats | ... to ground balance, Up plate 1.5m from ground ... | ... , Mail, Leather, Plate, Shields | ... , Leather, Mail, Plate | ... , Leather, Mail, Plate, Shields | "
44,plate,лист,NOUN,NOUN,NOUN,"sheet | list | leaf | layout | worksheet | plate | piece | Protective plate, beneath the engine - ... | ... , volume 1, plate 9, no. 25 | ... , volume 1, plate 7, no. 20 | ... , volume 1, plate 8, no. 24 | ... , volume 1, plate 9, no. 26 | ... , volume 1, plate 5, no. 13 | ... , volume 1, plate 9, no. 27 | ... , part 3, plate 3, no. 17 | ... , part 3, plate 2, no. 9 | Material: Steel plate+plastic | "
45,plate,блюдо,NOUN,NOUN,NOUN,"dish | meal | plate | entrée | Guests will receive complimentary fruit plate upon arrival. | A plate of fruit is provided on arrival. | I was putting the cakes onto a plate. | What is this empty plate? | Breakfast plate is served every morning. | Can also be used as a serving plate. | Daily breakfast is served in breakfast plate. | ... breakfast features rice, bread and a one plate dish. | ... , what was the cost per plate? | I'll get you another plate of pasta. | A cold plate is available in the evening on request, ... | ... and put their heads on plate. | "
46,treat,относиться к,VERB,VERB,VERB,"treat | If you want, we'll treat you quite normal. | I have to treat you the same as everyone else. | I know how to treat the poor. | So let's treat her like any other mother. | I can treat women with respect. | Treat it with respect at all times including those ... | We will always treat our patients with the utmost ... | You will treat him with the respect he deserves ... | And we will treat him as we would any ... | I think it prudent to treat a child as if they ... | But to treat you with the respect that service on this ... | ... that what we will treat this article. | ... realize this, you treat the air the same way. | This fact obliges to treat this event seriously. | People will not treat you respectfully. | "
47,treat,лечения,VERB,VERB,VERB,"treatment | treat | cure | therapy | healing | curing | medication | It may not be equipped to treat other species. | Intended to treat cough for children and adults. | Massage is an excellent way to treat soft tissue problems. | This technique is used to treat a cyst when a single ... | The most popular summer treat here is the mango and strawberry ... | As aforementioned, treat your pet like a ... | ... the process of using electrical current to treat chronic pain. | ... and can be adapted to treat cellulite as well. | ... do not use cookies to store or treat personal data. | ... therapy would be used to treat people already diagnosed. | ... used to diagnose or treat any medical conditions. | ... can be used to help treat a variety of conditions. | ... has advanced technology to detect and treat your eyes problems. | Used to treat the entire nail hit by a fungus. | ... uses techniques of massage to treat fabrics to both deep and ... | "
48,treat,побаловать,VERB,VERB,VERB,"treat | pamper | indulge | spoil | pampered | Would you like to treat yourself to something special? | Guests can also treat themselves to a massage or cosmetic ... | Do you want to treat yourself and get a stunning ... | You could even treat yourself to a massage. | Guests can also treat themselves to delicious local foods at the ... | ... in luxury, you can really treat yourself and indulge in ... | Guests can treat themselves to a relaxing massage, or ... | ... , for you to treat yourself to what you ... | "
49,treat,обработать,VERB,VERB,VERB,process | handle | treat | And we can treat that. | He would have tried to treat and reduce the fever by ... | treat all bare metal with primer or sealant | 
50,treat,рассматривать,VERB,VERB,VERB,consider | seen | treat | viewed | regarded | examine | Flag indicating whether to treat space characters as field delimiters ... | Lets you specify how to treat bodies within a part or ... | Treat them as you would like to be ... | ... only a mask if you treat it that way. | ... respect other classes and treat them as enemies. | Treat the following as decimal and thousands separators. | Permission to treat the witness as hostile. | Let's treat it like a real job. | Select Treat closed polylines as polygons. | You dare to treat me like this | still i wanted to treat the situation as it should ... | You can treat it as an anti-theft app. | Treat interference as a shrink/press fit. | true to treat the metadata as a literal value ... | Member shall treat VIP ID and serial numbers ... | 
51,treat,угощение,NOUN,NOUN,NOUN,"treat | refreshments | I just want my treat. | A simple but delightfully sweet treat. | Take the shortcuts and play trick or treat with neighbors! | What about our treat! | Open the door and see your treat. | And she always gets a treat. | I got a special treat for you. | ... guest and they gave me a treat. | ... a restaurant hit, and treat for the family table. | My treat, my treat. | My treat, my treat. | A real chocolate treat for demanding chocolate fans! | This is kind of a treat from the restaurant. | All the kinsfolk and friends gather for the treat. | This morning treat is served in the villas' ancient cellars ... | "
52,treat,удовольствие,NOUN,NOUN,NOUN,"pleasure | fun | treat | enjoyment | delight | satisfaction | joy | We going to treat you like one. | You guys are in for a treat. | I hope it's a treat. | Is this the way to treat people? | Well we have a treat for you. | Each treat is worth points. | Works a treat, many thanks. | ... the character models and textures are a real treat. | ... car then we have a treat for you. | We've got a real treat today. | Browse our shores is a treat not to be missed. | is a treat you can enjoy often | It's such a treat, having you with us tonight ... | ... whenever you're in pain, that is my treat. | ... should be equal and compassionate treat of all animals and ... | "
53,treat,угостить,VERB,VERB,VERB,"buy | treat | I'd like to give the children a treat. | ... are probably very happy to treat rats in public hospitals. | Can I treat you to lunch? | ... I just wanted to treat you. | ""I was going to treat him. | "
54,treat,подарите,VERB,VERB,VERB,"give | treat | Treat yourself to a sea break at great ... | Treat yourself to moments of joy by playing the ... | Treat yourself to the utmost comfort in ... | Treat yourself with a variety of emotions and ... | Treat yourself to a relaxing time in our bar ... | ... your peace of mind, treat yourself to everything you ... | Treat yourself to a stay in a romantic ... | Visit the Cabinet, treat yourself ordinary miracle in ... | "
55,treat,вылечить,VERB,VERB,VERB,"cure | cured | heal | treat | disinfect | We just want to treat you. | I was never able to treat him. | We can treat this. | So they can treat it? | Can you treat it? | I can treat you. | We were hoping you could help us treat her. | I can treat you. | You can treat that, right? | They may be able to help us treat you. | We can treat it. | Can you treat that? | It was thousands of dollars to treat him, and she ... | ... they can give us enough medicine to treat everyone. | ... if you won't let me treat you. | "
56,treat,считать,VERB,VERB,VERB,"considered | take | count | assume | treat | And no one will treat me like a maid anymore? | Treat closed polylines as polygons? | All right, we'll treat that as your go ... | The server may treat all other types as ""Site ... | ... the client computer may still treat that Web site as ... | Modify the Treat wchar_t as Built-in Type property. | ... ), you can treat all messages coming from ... | "
57,dinner,ужин,NOUN,NOUN,NOUN,"dinner | evening meals | supper | dining | meal | The restaurant serves dinner as an open buffet. | I think dinner is ready. | What would you like for dinner? | Your dinner's in the oven. | Early dinner at the hotel and evening performance. | I am cooking dinner. | Then stay for dinner. | I thought we were having dinner. | Does this seem like a business dinner? | We are having family dinner. | Dinner is not served on that day. | How was the dinner with your dad? | I try to make duck dinner, now plaster everywhere. | Dinner and overnight in the tents. | It is also open for lunch and dinner. | "
58,dinner,обед,NOUN,NOUN,NOUN,lunch | dinner | meal | eats | This is just brown dinner! | We were going to buy you dinner. | Dinner at the palace. | You just need to take him to dinner. | We have dinner plans. | The one asking me to bring you some dinner. | The brown thing is my dinner. | Let me take you somewhere special for dinner. | It was the best dinner ever. | You will anyway have time for lunch and dinner. | He says he can't manage dinner. | I made dinner for us. | Your turn to grab dinner. | Dinner with the boss. | If i go to that dinner tomorrow night alone. | 
59,dinner,поужинать,NOUN,NOUN,NOUN,"dinner | dine | evening meals | supper | an evening meal | If you like, we can have dinner. | Dinner meals are also available. | The hotel's restaurant is open for lunch and dinner. | So you could have dinner with them. | In summer, guests can enjoy dinner on the terrace. | Would you like to come have dinner with me? | You want to have dinner with me tonight? | Upon request, you can have dinner in the hotel. | Would you like to join me for dinner? | Dinner possible in a partner restaurant. | It is open at lunch and dinner. | I thought y'all were just going to dinner. | We can have dinner right here. | You can enjoy lunch and dinner at nearby restaurants. | She wants you to come to dinner tomorrow night. | "
60,necessary,необходимые,ADJ,ADJ,ADJ,"necessary | required | needed | essential | appropriate | desired | Continue specifying points to draft the run as necessary. | Make the necessary changes to the display of the part. | Follow the standard installation steps as necessary. | All necessary attribute definitions are automatically placed. | The customer imports the package and installs the necessary certificates. | Check any related items, and perform the necessary procedures. | Includes all necessary mounting for quick installation. | Are you entering all the necessary data? | Create the tasks necessary to implement the change request. | Click edit and make any necessary changes. | Change the sheet properties as necessary. | Choose another file containing all of the necessary data. | Over time, gathered the necessary human potential and knowledge. | Necessary tools of the trade. | Use this time to make necessary changes! | "
61,necessary,обязательно,ADJ,ADJ,ADJ,"necessarily | will definitely | necessary | required | sure | definitely | make sure | Was it absolutely necessary for you to tell my boss? | And it isn't at all necessary. | It is not necessary to be vulgar. | Is it necessary to read every label? | Rebooting is not necessary. | Is this really necessary? | Written consent is not necessary. | I understand that, but it's not necessary. | It is not necessary to make a deposit to register. | Is that absolutely necessary? | It is not necessary to hold down the mouse button. | Is this really necessary? | Is the owner's presence necessary for license renewal? | Is that really necessary? | Are you sure this is even necessary? | "
62,necessary,нужно,ADJ,ADJ,ADJ,"need | should | want | needs | must | needed | gotta | necessary | Therefore it is necessary to analyse our mistakes. | It is to me necessary to think about it. | If necessary, rename the constructs. | If necessary, we can also assemble it. | It is not necessary to activate them. | I knew, it is necessary to look after you. | Why is it necessary to have my clock movement cleaned? | Create the source dataset if necessary. | They are all used when necessary. | It is not necessary to create query. | I will do whatever is necessary. | There are no additional steps necessary. | Is it necessary to meet colleagues coming from other cities? | And very necessary was this. | This is necessary to prevent damage of teeth. | "
63,necessary,требуется,ADJ,ADJ,ADJ,"required | needed | need | takes | necessary | want | This is an informational message, no action necessary. | At times it is necessary to manually add contacts. | User response is not necessary. | Edit the parameters as necessary. | This is only necessary for testing. | No conversion is necessary. | Edit the sketch line as necessary. | An example is necessary to clarify this point. | In that case, no further action is necessary. | No configuration of either solution is necessary. | When using the file, and are not necessary. | No upgrade is necessary at this time. | In that case, no change is necessary. | Modify the categories and filter rules, as necessary. | Normally not necessary to change light intensity. | "
64,necessary,надо,ADJ,ADJ,ADJ,should | necessary | Nothing is necessary to me. | So what you did was necessary. | Also it is necessary to understand that it means. | You are not told in advance where necessary. | After such bath is necessary to have rest. | I you later way to transfer necessary! | It is necessary to say three times. | The doctor said it is necessary. | Is it necessary to buy workbooks? | Only it is not necessary to swear! | He would have written everything that was necessary. | It is necessary to hold an inquiry on the spot. | It is necessary anymore to know about him. | Although he can be very strict when it's necessary. | I said it's not necessary. | 
65,go,пойти,VERB,VERB,VERB,"go | come | Well you can't just go visit him. | I can not go. | Can we go home now? | You should go after her. | I can go now. | Can we go home now? | I think we should go here first. | I should go out there. | We should go upstairs, we shouldn't do this. | I suggest you go home and get some rest. | We can go to a hotel and clean up. | Go and see him, no? | We could go to a hotel. | So we can go any way you want us. | Do you know somewhere we could go? | "
