English,Russian,French
hot,свежий,frais
fly,летать,voler
fly,летать на самолете,voyager par avion
fly,летать на самолете,voyager en avion
fly,пилотировать,piloter
fly,муха,mouche
fly,ширинка,braguette
fly,проходить ,filer
fly,ринуться,se ruer
school,школа,école
school,факультет,département
school,институт,institut
school,"косяк, стая",banc
school,учиться,apprendre à
cafe,кафе,bistrot
cafe,кафе,café
international,международный,international
international,интернациональный,international
fish,рыба,poisson
fish,ловить рыбу,pêcher
fish,выуживать,fouiller pour trouver
benefit,выгода,avantage
benefit,преимущество,avantage
benefit,пособие,allocation
benefit,бенефис,vente de bienfaisance
benefit,приносить пользу,être utile à
benefit,приносить пользу,faire du bien à
benefit,извлекать пользу,se trouver bien de
benefit,извлекать пользу,tirer profit de
benefit,выгода,bienfaits
intelligent,умный,intelligent
journey,путешествие,trajet 
journey,путешествие,périple
journey,путешествие,voyage 
news,новости,nouvelles
write,писать,écrire
write,писать,rédiger
write,писать,composer
approbation,апробация,approbation
approbation,одобрение,approbation
read,читать,lire
read,вычитывать (узнавать),étudier
read,понимать,comprendre
read,понимать,interpréter
right,правильный,exact
right,правильный,juste
right,правильный,bien
right,правильный,bon
right,правый,droit
guru,гуру,gourou
no_equality,эксперт,gourou
beginner,начинающий,débutant
beginner,новичок,débutant
genetically,генетически,génétiquement
precedent,прецедент,précédent
refugee,беженец,réfugié
secular,светский,laïque
secular,мирской,laïque
secular,светский,profane
secular,мирской,profane
pasta,макароны,pâtes
pasta,паста,pâtes
beaver,бобр,castor
tiger,тигр,tigre
lion,лев,lion 
pen,ручка,stylo 
no_equality,ферма,enclos
no_equality,загон для скота,enclos
coconut,кокос,noix de coco
dynamite,динамит,dynamite
spoon,ложка,cuiller
spoon,ложка,cuillerée
spoon,кормить из ложки,nourrir à la cuillère
ocean,океан,océan
mug,кружка,mug
mug,кружка,grande tasse 
mug,ограбить,agresser
shampoo,шампунь,shampooing
shampoo,мыть с шампунем,faire un shampoing
buzzer,гудок,timbre
buzzer,гудок,sonnerie
buzzer,домофон,interphone
exhaustively,исчерпывающе,exhaustivement
exhaustively,ограничительно,limitativement
apoplexy,апоплексия,apoplexie
apoplexy,инсульт,apoplexie
submissively,смиренно,avec soumission
submissively,покорно,avec soumission
typhus,тиф,typhus
ravioli,равиоли,ravioli
meeting,собрание,réunion
meeting,встреча,réunion
meeting,встреча,rencontre
meeting,встреча,rendez-vous
meeting,свидание,"rendez-vous
"
actually,в действительности,véritablement
actually,на самом деле,en réalité
actually,действительно,vraiment
actually,на самом деле,"en fait
"
actually,по правде говоря,"en fait
"
earring,сережка,boucle d’oreille
add,добавлять,ajouter
add,складывать,additionner
adjective,прилагательное,adjectif
drawing,рисунок,dessin
dream,сон,rêve
dream,мечта,rêve
dream,видеть сны,rêver
dream,мечтать,rêver
dressed,одетый,habillé
driving,вождение,conduite
drum,барабан,tambour 
drum,барабанная перепонка,tympan
drum,бочонок,tonneau
drum,бочка,bidon
drum,бить в барабан,battre du tambour
drum,барабанить,tambouriner
dry,сухой,sec
dry,скучный,aride
dry,безалкогольный,sec
dry,сушить,sécher
dry,вытирать,essuyer
duck,утка,canard
duck,нырять,plonger 
duck,окунаться,plonger 
advanced,продвинутый,avancé
advanced,лучший,supérieur
advanced,повышенной сложности,avancé
during,в течение,pendant
during,в течение,durant
during,во время,pendant
during,во время,durant
during,в течение,au cours de
during,во время,au cours de
earn,зарабатывать,gagner
earn,принести доход,rapporter
earn,заслужить,mériter
earn,заслужить,gagner
singular,форма единственного числа,le singulier
singular,единственный,singulier
easily,легко,aisément
easily,легко,facilement
easily,беспрепятственно,aisément
easily,очень вероятно,bien
east,запад,est
eighth,восьмой,huitième
eighth,восьмая часть,huitième
eighty,восемьдесят,quatre-vingts
adverb,наречие,adverbe
electric,электрический,électrique
electric,наэлектризованный (об атмосфере),électrique
advertisement,реклама,publicité
advertisement,реклама,annonce
advertisement,рекламное объявление,annonce
century,век,siècle
size,размер,taille
size,величина,taille
size,размер,grandeur
size,величина,grandeur
size,размер,pointure
size,величина,grosseur
size,измерять,jauger
no_equality,оценивать,jauger
electricity,электричество,électricité
elephant,слон,éléphant
else,еще,d'autre
empty,пустой,vide
empty,опустошенный,vide
empty,опустошать(ся),(se) vider
engine,двигатель,moteur
engine,локомотив,locomotive
engineer,инженер,ingénieur 
engineer,механик,mécanicien
enough,достаточно,assez
enough,достаточно,suffisamment
enter,входить,entrer
enter,приступить к чему-л.,entrer
enter,ввести (информацию),entrer
enter,записаться,s’inscrire
enter,вступить,s’inscrire
entrance,вход,entrée
entrance,выход (на сцену),entrée
advice,совет,avis
advice,мнение,avis
advice,совет,conseils
aeroplane,самолет,avion
aeroplane,аэроплан,avion
envelope,конверт,enveloppe
especially,особенно,particulièrement
especially,в особенности,en particulier
especially,специально,spécialement
especially,особенно,spécialement
euro,евро,euro
even,даже,encore
even,даже,même
afraid,испуганный,effrayé
afraid,обеспокоенныый,anxieux
afterwards,потом,après
afterwards,после,après
afterwards,потом,par la suite
afterwards,после,par la suite
everyone,каждый,chacun
everyone,все,tout le monde
against,против,contre
against,в отношении,à l’encontre de
against,по сравнению с,par rapport à
everything,все,tout
everywhere,везде,partout
aged,пожилой,âgé
aged,в возрасте,âgé
ago,тому назад,il y a
exactly,точно,exactement
exactly,совершенно,exactement
exactly,абсолютно,exactement
exactly,абсолютно,absolument
exam,экзамен,examen
exam,осмотр,examen
exam,обследование,examen
examination,экзамен,examen
examination,изучение,examen
examination,осмотр,examen
examination,осмотр,inspection
examination,обследование,inspection
excellent,отличный,excellent
excellent,превосходный,excellent
except,кроме,sauf
except,за исключением,sauf
except,кроме,excepté
except,за исключением,excepté
exercise,упражнение,exercice
